survey,CFA1_B,CFA1_V,CFA1_R,CFA1_I,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
CFA1_AB,16.648,-99.0,-99.0,-99.0,16.267200469970703,15.631099700927734,15.410699844360352,15.315099716186523,86.59377386,63.36620576
CFA1_AB,17.862000000000002,17.067,16.605,16.134,17.349899291992188,16.812000274658203,16.565399169921875,16.475099563598633,86.59865846,63.38761142
CFA1_AB,18.714000000000002,17.968,17.497,17.03,18.256900787353516,17.706899642944336,17.469600677490234,17.38159942626953,86.59194625,63.38372212
CFA1_AB,19.189,18.187,17.632,17.131,18.60919952392578,17.84510040283203,17.531200408935547,17.392200469970703,86.61552102,63.36946722
CFA1_AB,18.271,17.351,16.861,16.335,17.6835994720459,17.048599243164062,16.784000396728516,16.666099548339844,22.44966248,-1.9695702
CFA1_AB,17.08,15.835,15.075999999999999,14.344,16.363500595092773,15.328100204467773,14.883199691772461,14.671899795532227,22.41764727,-1.94296897
CFA1_AB,16.125,15.074000000000002,14.479000000000001,16.014,15.401200294494629,14.730500221252441,14.507399559020996,14.424099922180176,161.81596992,17.22426239
CFA1_AB,14.197000000000001,13.194,12.684000000000001,12.321,13.496199607849121,-999.0,-999.0,-999.0,187.76014226,0.56900211
CFA1_AB,15.091,14.464,14.084000000000001,13.688,14.601200103759766,14.23069953918457,14.097800254821777,14.07859992980957,187.76476356,0.63692317
CFA1_AB,16.248,15.574000000000002,15.199000000000002,14.843,15.817299842834473,15.396900177001953,15.265199661254883,15.234199523925781,187.81454332,29.16189791
CFA1_AB,16.352,15.181,14.408,13.766,15.718500137329102,14.703499794006348,14.263799667358398,14.076199531555176,187.81711733,29.20862626
CFA1_AB,14.844000000000001,14.205,13.829,13.473,14.436300277709961,14.027999877929688,13.906100273132324,13.866800308227539,187.77577122,29.20671169
CFA1_AB,16.663,15.982000000000001,15.59,15.195,16.20170021057129,15.77340030670166,15.632200241088867,15.595600128173828,200.41053706,-2.17201362
CFA1_AB,17.61,16.772000000000002,16.27,15.833,17.103500366210938,16.491100311279297,16.274799346923828,16.202899932861328,200.42313914,-2.19161708
CFA1_AB,18.548,17.822,17.42,16.902,18.07430076599121,17.588899612426758,17.377899169921875,17.306800842285156,200.41945636,-2.16481155
CFA1_AB,15.177999999999999,14.543,14.163,13.777,14.651100158691406,14.293000221252441,14.164199829101562,14.143799781799316,200.37717648,-2.20952474
CFA1_AB,99.178,14.543,14.163,13.777,14.77750015258789,14.363800048828125,14.212900161743164,14.17609977722168,200.46559612,-2.1281987
CFA1_AB,15.648,15.183,14.894,14.615,15.289600372314453,15.05840015411377,14.998200416564941,15.022100448608398,252.43953743,40.4292663
CFA1_AB,14.767999999999999,14.207,13.868,13.55,14.378800392150879,14.061699867248535,13.950799942016602,13.946399688720703,252.44554988,40.41032175
CFA1_AB,18.048,17.041,16.424,15.964,17.407699584960938,16.72319984436035,16.447200775146484,16.336000442504883,252.43193372,40.45951391
CFA1_AB,15.017999999999999,14.321,-99.0,13.665,14.544099807739258,14.169099807739258,14.044300079345703,14.031999588012695,145.23112826,5.18938243
CFA1_AB,15.397,14.679,14.262,13.919,14.929100036621094,14.477899551391602,14.331899642944336,14.298100471496582,145.17216204,5.13521496
CFA1_AB,15.052,14.136,-99.0,-99.0,14.438799858093262,13.856599807739258,13.629300117492676,13.569999694824219,145.16361709,5.15786324
CFA1_AB,16.651,15.895,15.453,15.109,16.138099670410156,15.67389965057373,15.517000198364258,15.48960018157959,145.2523819,5.1847007
CFA1_AB,15.044,14.380999999999998,14.005,13.687,14.570199966430664,14.200200080871582,14.074199676513672,14.0802001953125,145.26141544,5.1867965
CFA1_AB,16.627,16.038,15.718,15.389,16.208200454711914,15.896499633789062,15.811400413513184,15.815699577331543,118.0209244,73.04695285
CFA1_AB,18.243,17.387999999999998,16.826,16.389,17.73040008544922,17.074199676513672,16.861799240112305,16.783199310302734,117.92319801,73.04927969
CFA1_AB,99.40100000000001,14.902000000000001,14.562000000000001,14.276,15.050800323486328,14.744199752807617,14.661199569702148,14.664899826049805,118.15506798,73.02285757
CFA1_AB,15.164000000000001,14.6,14.273,13.931,14.652999877929688,14.375499725341797,14.263500213623047,14.262399673461914,147.74375192,33.55775621
CFA1_AB,14.757,13.901,13.499,13.086,14.105600357055664,13.543800354003906,-999.0,13.192299842834473,147.81619278,33.58007214
CFA1_AB,15.439,14.755999999999998,14.394,14.019,14.88230037689209,14.512499809265137,14.382499694824219,14.353500366210938,147.68138537,33.61645112
CFA1_AB,16.267,15.533,15.092,14.54,15.854399681091309,15.276300430297852,15.043000221252441,14.954099655151367,341.40930165,-8.74144856
CFA1_AB,17.412,16.781,16.386,15.924,17.024900436401367,16.550100326538086,16.38789939880371,16.344900131225586,341.38929077,-8.76662081
CFA1_AB,18.614,17.958,17.492,16.517,18.222299575805664,17.68239974975586,17.46649932861328,17.38800048828125,341.36825269,-8.76718096
CFA1_AB,16.416,15.627,15.16,14.804,15.878999710083008,15.38379955291748,15.229599952697754,15.197999954223633,41.47191447,3.24378166
CFA1_AB,16.403,15.556,15.044,14.696,15.825599670410156,15.25469970703125,15.055899620056152,15.005900382995605,41.40939531,3.2492013
CFA1_AB,16.407,15.429,-99.0,-99.0,15.754500389099121,15.095999717712402,14.716699600219727,14.555500030517578,71.32829864,11.075205
CFA1_AB,16.053,14.675,-99.0,-99.0,15.210399627685547,14.186100006103516,13.637700080871582,13.36299991607666,71.35110346,11.10463897
CFA1_AB,17.877,16.57,15.734000000000002,14.943,17.081100463867188,16.026399612426758,15.496100425720215,15.188599586486816,71.37007989,11.06576367
CFA1_AB,17.923,16.651,15.905,15.227,17.136899948120117,16.216800689697266,15.722000122070312,15.501199722290039,71.30789367,11.06380064
