survey,NICKEL1MO-B,NICKEL1MO-V,NICKEL1MO-R,NICKEL1MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
NICKEL1MO,14.389264,13.741173999999999,13.30927,12.856404000000001,13.963299751281738,13.47089958190918,-999.0,13.236900329589844,12.02649805,27.65082971
NICKEL1MO,13.670568000000001,13.118238000000002,12.762417,12.385563999999999,-999.0,-999.0,-999.0,-999.0,11.97964653,27.63271106
NICKEL1MO,15.61472,14.89652,14.432028999999998,13.923884,15.138899803161621,14.594400405883789,14.393600463867188,14.325300216674805,12.01954821,27.58329417
NICKEL1MO,18.016720000000003,17.29852,16.770259,16.17868,17.58049964904785,16.956199645996094,16.680400848388672,16.5580997467041,348.70657975,4.51265646
NICKEL1MO,16.078148,15.410393000000001,14.942652,14.386595999999999,15.655500411987305,15.121500015258789,14.901399612426758,14.817700386047363,348.7291692,4.50668649
NICKEL1MO,18.059828,16.785023,15.774958000000002,14.593988,17.2903995513916,16.10140037536621,15.188199996948242,14.77869987487793,21.58575707,-6.05906677
NICKEL1MO,13.56956,12.868459999999999,12.412317,11.876003999999998,-999.0,-999.0,-999.0,-999.0,21.57311035,-6.08589015
NICKEL1MO,18.19594,17.080165,16.278556000000002,15.580719999999998,17.579299926757812,16.45949935913086,15.951299667358398,15.733200073242188,21.56982763,-6.12338997
NICKEL1MO,14.827732,13.905187,13.327819000000002,12.6996,14.309599876403809,13.560799598693848,-999.0,13.091699600219727,103.2078941,50.08866
NICKEL1MO,16.116272000000002,15.616952,15.270794,14.872948,15.799799919128418,15.438799858093262,15.321100234985352,15.300999641418457,103.26880211,50.07898222
NICKEL1MO,18.687228,18.010923000000002,17.59549,17.058632000000003,18.436500549316406,17.84440040588379,17.644500732421875,17.58880043029785,103.26878269,50.0769234
NICKEL1MO,17.209311999999997,16.598842,16.164714999999998,15.630796,16.810300827026367,16.337400436401367,16.130199432373047,16.047399520874023,103.32121649,50.07391675
NICKEL1MO,17.729760000000002,16.90041,16.358882,15.777856,17.243799209594727,16.56450080871582,16.30190086364746,16.197500228881836,103.25293232,50.06385395
NICKEL1MO,16.150136,15.686726,15.346438,14.907364,15.829500198364258,15.484800338745117,15.368900299072266,15.34939956665039,103.32920465,50.06114674
NICKEL1MO,14.085608,13.635877999999998,13.313747,12.946104,13.804900169372559,13.501700401306152,-999.0,13.391400337219238,103.27281988,50.05421328
NICKEL1MO,17.559592,16.384822,15.425597,14.340928000000002,17.057600021362305,15.819499969482422,15.043100357055664,14.698200225830078,103.23831703,50.05482136
NICKEL1MO,17.114228,16.437923,15.952343,15.418816000000001,16.771499633789062,16.244699478149414,16.037900924682617,15.96500015258789,103.23647199,50.0537448
NICKEL1MO,16.133332000000003,15.681036999999998,15.349637,14.977531999999998,15.82349967956543,15.503800392150879,15.395999908447266,15.376700401306152,103.31396337,50.04839824
NICKEL1MO,18.864764,17.682299,16.705288,15.679687999999999,18.25200080871582,17.013599395751953,16.284500122070312,15.969599723815918,103.23233777,50.04449496
NICKEL1MO,15.177164000000001,14.806949000000001,14.527098,14.204580000000002,14.894499778747559,14.671600341796875,14.61769962310791,14.649200439453125,103.30354934,50.03276783
NICKEL1MO,16.656768,16.189937999999998,15.865836,15.45108,16.359100341796875,16.035400390625,15.915900230407715,15.906700134277344,103.21002077,50.03383756
