survey,NICKEL1-B,NICKEL1-V,NICKEL1-R,NICKEL1-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
NICKEL1,15.871306,15.173639,14.7005205,14.174257,15.408599853515625,14.859199523925781,14.657500267028809,14.597900390625,58.57253458,-19.20398083
NICKEL1,17.077614,16.469482,16.05403,15.568412,16.670299530029297,16.2096004486084,16.04450035095215,15.988300323486328,58.5944494,-19.15680187
NICKEL1,17.2271,16.618017,16.201952,15.724586,16.813800811767578,16.362699508666992,16.185300827026367,16.125499725341797,58.6219692,-19.14842837
NICKEL1,18.898945,17.653986,16.823103,15.873837,18.175600051879883,17.05769920349121,16.486000061035156,16.224899291992188,169.88184373,54.46503243
NICKEL1,16.38437,15.727679,15.280983,14.773596,15.94909954071045,15.439499855041504,15.258999824523926,15.202099800109863,45.62614413,-24.47620828
NICKEL1,17.202427,16.829756,16.564774,16.208403,16.899700164794922,16.69610023498535,16.63170051574707,16.633800506591797,45.61747937,-24.4456865
NICKEL1,18.405607,17.998823,17.712149,17.317698,18.11199951171875,17.847999572753906,17.747800827026367,17.765600204467773,45.64260949,-24.46974978
NICKEL1,15.634064,15.133354,14.786763,14.350006,15.272100448608398,14.92590045928955,14.793999671936035,14.767800331115723,7.45812806,31.41760556
NICKEL1,16.593676,15.989351,15.576345,15.109918,16.177400588989258,15.724699974060059,15.56779956817627,15.517600059509277,7.48124086,31.39946456
NICKEL1,16.56501,16.086138,15.753502,15.355589,16.20639991760254,15.890999794006348,15.790900230407715,15.782899856567383,7.48651328,31.39318585
NICKEL1,17.376207,16.581203,16.045118,15.480609,16.87150001525879,16.212600708007812,15.979700088500977,15.878399848937988,7.47606394,31.36011943
NICKEL1,17.60051,17.016163,16.61599,16.131815,17.2052001953125,16.769100189208984,16.592899322509766,16.531999588012695,7.46325177,31.40397212
NICKEL1,17.640867,17.047956,16.642286,16.165567,17.237899780273438,16.791200637817383,16.629199981689453,16.587299346923828,7.43236992,31.37952269
NICKEL1,15.530416,14.489338,13.792784,13.095673,14.892499923706055,13.973299980163574,13.613499641418457,13.37399959564209,121.58522097,-27.55567071
NICKEL1,14.698188,14.335933,14.077569,13.72231,14.401800155639648,14.190600395202637,14.12399959564209,14.121299743652344,121.53420961,-27.53188101
NICKEL1,15.604255,14.973277,14.543134,14.040515,15.167400360107422,14.688400268554688,14.509499549865723,14.450599670410156,121.57299174,-27.56462384
