survey,ASASSN1-B,ASASSN1-V,ASASSN1-r,ASASSN1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
ASASSN1,17.950297044507025,17.070606533012192,16.786017826646553,16.530079933430446,17.39259910583496,16.791799545288086,16.510900497436523,16.394500732421875,87.27714718,17.37352661
ASASSN1,19.446465497947187,18.570582035897228,18.287575631810032,18.0266004975194,18.895999908447266,18.281099319458008,18.02120018005371,17.907800674438477,149.71246473,3.07425199
ASASSN1,19.576745012250058,18.353644718213545,17.926583172454716,17.550071899740868,18.825700759887695,17.908000946044922,17.529199600219727,17.371700286865234,149.27829298,2.61622013
ASASSN1,18.69078104709627,17.917589414768226,17.677288123149875,17.482763666725162,18.206600189208984,17.678199768066406,17.468299865722656,17.397199630737305,149.80204755,3.16807291
ASASSN1,19.184693659508717,18.779101206478487,18.692052393604477,18.62391719310789,18.857999801635742,18.713899612426758,18.628799438476562,18.60140037536621,149.84919823,3.13216921
ASASSN1,18.87215320461349,18.04436363912611,17.78135167039887,17.589526214790567,18.325300216674805,17.779199600219727,17.576000213623047,17.500600814819336,149.34063864,2.6952965
ASASSN1,19.127664846835373,17.86683397101397,17.424149429462847,17.0365575609867,18.365100860595703,17.413999557495117,17.009599685668945,16.819700241088867,149.88133341,3.16192239
ASASSN1,18.916688416780502,18.343499224524844,18.186503973153012,18.0613643574754,18.536800384521484,18.185699462890625,18.055599212646484,18.060800552368164,149.7105318,3.04758495
ASASSN1,19.27661273306213,18.561817607189166,18.345821574499567,18.169978698052617,18.791900634765625,18.33099937438965,18.162099838256836,18.09440040588379,149.73611014,3.08882136
ASASSN1,18.09283824681631,17.525299428811287,17.37066029218942,17.271075308040636,17.684999465942383,17.367300033569336,17.26409912109375,17.243000030517578,149.69134519,2.97470023
ASASSN1,19.59268157693048,18.032912764486113,17.466656974244966,16.696499140910948,18.684900283813477,17.43670082092285,16.658899307250977,16.293100357055664,149.33613649,2.62921419
ASASSN1,18.00365514667545,17.26680776124967,17.041631570186688,16.890481117439368,17.516199111938477,17.057600021362305,16.872699737548828,16.83169937133789,149.47999286,2.84061783
ASASSN1,18.99215762801515,18.216178583941655,17.974717517254643,17.773517737487794,18.49410057067871,17.983800888061523,17.74370002746582,17.67340087890625,149.37051215,2.80308332
ASASSN1,18.824558911521454,18.221775120333998,18.05244173959992,17.95144349771598,18.39310073852539,18.02869987487793,17.941600799560547,17.950700759887695,149.82545209,3.10625836
ASASSN1,18.899010049692478,18.38603378431271,18.254153743885947,18.150634081634728,18.526599884033203,18.24850082397461,18.161699295043945,18.139299392700195,149.69621952,3.10875198
ASASSN1,19.518081625620606,18.63223432447399,18.345086840199507,18.090107851776445,18.941600799560547,18.347200393676758,18.058700561523438,17.956899642944336,149.57763469,2.82865198
ASASSN1,18.06278935399565,17.263928736224436,17.012948487326327,16.809458207875235,17.53660011291504,17.002399444580078,16.799999237060547,16.733400344848633,149.22656438,2.62666412
ASASSN1,18.31737415080529,17.82429301296157,17.70071495793521,17.626039553685693,17.95050048828125,17.70050048828125,17.61389923095703,17.599199295043945,149.20649094,2.64541297
ASASSN1,18.779673497729117,18.286592359885397,18.16301430485904,18.077940035863428,18.410900115966797,18.148000717163086,18.061800003051758,18.050399780273438,149.23884897,2.60017598
ASASSN1,19.86259531841686,18.338178357400768,17.786516700526683,17.231320177584333,18.96339988708496,17.777299880981445,17.20560073852539,16.95009994506836,149.2483825,2.61735142
ASASSN1,18.06209048703494,17.464406535006436,17.297199021556295,17.15265974620739,17.669599533081055,17.295400619506836,17.143400192260742,17.09600067138672,149.67540323,3.0727519
ASASSN1,18.71076897228504,17.889347982419963,17.62898442709248,17.388599916761834,18.188800811767578,17.62849998474121,17.3700008392334,17.265899658203125,149.35325122,2.82520821
ASASSN1,19.149160008161125,18.63916771959777,18.50853274090214,18.417589648279737,18.77440071105957,18.518800735473633,18.40239906311035,18.3710994720459,149.64754435,2.98180554
ASASSN1,17.839493997563963,17.1084411469029,16.885676960606506,16.688874311780825,17.357799530029297,16.87700080871582,16.680599212646484,16.622900009155273,149.65449405,2.89391375
ASASSN1,18.96583086128952,18.46667110498366,18.340556329291083,18.27912886911491,18.58609962463379,18.342100143432617,18.26729965209961,18.32200050354004,149.63032399,2.96992028
ASASSN1,18.41166780484945,17.516859604493074,17.22598824167153,16.99679451329226,17.846099853515625,17.212400436401367,16.9867000579834,16.884000778198242,149.57154766,2.9795283
ASASSN1,18.170457202305325,17.48860035424341,17.28632024202772,17.152888967111394,17.700199127197266,17.28380012512207,17.137399673461914,17.096900939941406,149.51218863,2.85616677
ASASSN1,19.3660248583426,18.34043965979741,17.99526088751148,17.705260124728664,18.743000030517578,17.985700607299805,17.688800811767578,17.56100082397461,149.49108192,2.88686647
ASASSN1,18.105966632455704,17.661132055807684,17.557694131547063,17.486150306812135,17.770299911499023,17.563899993896484,17.477500915527344,17.468700408935547,149.46879711,2.87223681
ASASSN1,18.926048054470048,18.847085345939515,18.896726205527024,18.996446779914177,18.777299880981445,18.9060001373291,18.995500564575195,19.034799575805664,149.66919423,2.90710695
ASASSN1,19.291212093297688,17.937728297829413,17.456704494577075,17.02596611773034,18.47909927368164,17.441200256347656,16.985599517822266,16.81730079650879,149.65204774,3.02021972
