survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,17.711851119995117,17.354612350463867,17.255369186401367,17.230878829956055,17.684999465942383,17.367300033569336,17.26409912109375,17.243000030517578,149.69134355427218,2.974706949973287
DES,17.55374526977539,17.009033203125,16.86823844909668,16.812774658203125,17.516199111938477,17.057600021362305,16.872699737548828,16.83169937133789,149.47998617014787,2.8406269442152223
DES,17.578170776367188,16.966632843017578,16.785367965698242,16.70241928100586,17.53660011291504,17.002399444580078,16.799999237060547,16.733400344848633,149.2265665222198,2.626670315722441
DES,17.9796085357666,17.687650680541992,17.611988067626953,17.605209350585938,17.95050048828125,17.70050048828125,17.61389923095703,17.599199295043945,149.2064954754947,2.6454215292759744
DES,17.694189071655273,17.258638381958008,17.124679565429688,17.07981300354004,17.669599533081055,17.295400619506836,17.143400192260742,17.09600067138672,149.67541262699146,3.072771261431016
DES,17.385286331176758,16.836288452148438,16.67201805114746,16.599163055419922,17.357799530029297,16.87700080871582,16.680599212646484,16.622900009155273,149.65448374799908,2.893939571224083
DES,17.886022567749023,17.175891876220703,16.961973190307617,16.857500076293945,17.846099853515625,17.212400436401367,16.9867000579834,16.884000778198242,149.57155162037316,2.979532674848144
DES,17.74221420288086,17.262989044189453,17.13532066345215,17.090341567993164,17.700199127197266,17.28380012512207,17.137399673461914,17.096900939941406,149.5121932699714,2.856167086675287
DES,17.781837463378906,17.53983497619629,17.480758666992188,17.480440139770508,17.770299911499023,17.563899993896484,17.477500915527344,17.468700408935547,149.46878963248247,2.872243212781108
DES,17.87997817993164,17.50374412536621,17.40697479248047,17.380884170532227,17.857500076293945,17.527099609375,17.39299964904785,17.388200759887695,149.8003564428741,3.04423868629686
DES,17.371713638305664,16.79917335510254,16.617725372314453,16.538522720336914,17.333999633789062,16.838300704956055,16.634899139404297,16.562000274658203,149.3943456691106,2.7602241451516853
DES,17.325008392333984,16.919952392578125,16.806800842285156,16.772563934326172,17.29599952697754,16.949199676513672,16.80769920349121,16.776399612426758,149.69451304627188,2.9314414257928396
DES,17.913665771484375,17.6098690032959,17.53694725036621,17.530263900756836,17.895700454711914,17.634000778198242,17.54680061340332,17.523300170898438,149.3625079099722,2.7628429000211767
DES,17.749404907226562,17.36630630493164,17.27096939086914,17.246379852294922,17.723400115966797,17.393699645996094,17.269100189208984,17.244699478149414,149.91923452899073,2.203730906857895
DES,17.68889808654785,17.12917709350586,16.967771530151367,16.899436950683594,17.653400421142578,17.15850067138672,16.975400924682617,16.91320037841797,150.51499966411717,2.167810777781742
DES,17.818546295166016,17.10344123840332,16.85198211669922,16.729097366333008,17.775299072265625,17.15679931640625,16.877500534057617,16.77720069885254,149.63429286520253,2.0871384079470086
DES,17.86928939819336,17.381288528442383,17.25765037536621,17.207927703857422,17.820199966430664,17.404499053955078,17.26689910888672,17.2101993560791,150.3619115962482,1.6726868394963725
DES,17.881256103515625,17.35199737548828,17.206520080566406,17.146528244018555,17.847999572753906,17.388399124145508,17.211200714111328,17.157800674438477,150.92193930176717,1.7348123356211205
DES,17.49247169494629,17.089632034301758,16.966697692871094,16.9239559173584,17.463300704956055,17.113100051879883,16.962799072265625,16.936199188232422,150.66388068998995,2.671299766286317
DES,17.51009750366211,16.92630386352539,16.769556045532227,16.70150375366211,17.47319984436035,16.965900421142578,16.78380012512207,16.725299835205078,149.51298200525068,2.667806728653731
DES,17.687820434570312,17.63505744934082,17.68073081970215,17.72096824645996,17.70240020751953,17.60890007019043,17.652999877929688,17.747800827026367,150.34816152829308,2.326969096150377
DES,17.34607696533203,17.081771850585938,17.0211181640625,17.01876449584961,17.32379913330078,17.0939998626709,17.01889991760254,17.012500762939453,150.47845254035255,2.2400729688413916
