survey,CFA2_B,CFA2_V,CFA2_R,CFA2_I,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
cfa2,15.077,14.402,13.975,13.556,14.640700340270994,14.181599617004395,13.982999801635742,13.928600311279295,101.86421,74.500722
cfa2,15.854,15.139,14.703,14.276,15.398599624633787,14.913900375366213,14.71720027923584,14.655500411987305,101.96833000000001,74.531278
cfa2,16.479,15.895,15.53,15.148,16.08639907836914,15.71780014038086,15.579299926757812,15.554400444030762,101.82670999999999,74.52797199999999
cfa2,16.356,15.41,14.871,14.389,15.74429988861084,15.088000297546387,14.837499618530273,14.74590015411377,101.84966999999999,74.517111
cfa2,16.265,15.358,14.847,14.39,15.688799858093262,15.062600135803224,14.843700408935547,14.757800102233887,101.75163,74.470417
cfa2,15.885,15.152,14.713,14.275,15.419400215148926,14.92020034790039,14.718000411987305,14.654399871826172,101.764,74.485111
cfa2,16.014,15.181,14.7,14.251,15.487099647521973,14.917400360107422,14.690699577331545,14.62880039215088,101.70617,74.488111
cfa2,16.962,16.15,15.674,15.224,16.447399139404293,15.897000312805176,15.671099662780762,15.589500427246096,101.85562,74.445444
cfa2,16.375,15.718,15.319,14.918,15.946800231933596,15.52400016784668,15.360899925231935,15.300700187683105,101.9525,74.42752800000001
cfa2,16.852,16.029,15.559,15.083,16.31399917602539,15.783699989318848,15.543600082397461,15.447999954223633,191.43372,54.756193999999994
cfa2,16.94,16.174,15.749,15.304,16.403799057006836,15.926199913024902,15.736900329589846,15.664799690246582,191.35858000000002,54.772778
cfa2,18.061,16.562,15.621,14.613,17.179399490356445,15.967100143432615,15.192500114440918,14.844300270080565,191.27496000000002,54.7505
cfa2,19.147,18.317,17.868,17.409,18.6117000579834,18.089799880981445,17.881799697875977,17.800800323486328,191.3497,54.746
cfa2,16.9,16.15,15.703,15.251,16.439300537109375,15.926300048828125,15.703800201416016,15.607399940490724,191.76926,-11.600222
cfa2,15.857,15.227,14.819,14.395,15.4576997756958,15.033300399780273,14.84980010986328,14.77560043334961,191.78987,-11.593639
cfa2,16.835,16.201,15.822,15.464,16.428800582885742,16.018699645996097,15.894800186157227,15.867799758911133,191.78278999999998,-11.605389
cfa2,17.307,16.722,16.366,16.031,16.922100067138672,16.56879997253418,16.462900161743164,16.43160057067871,191.7377,-11.635556
cfa2,16.479,15.948,15.604,15.261,16.151599884033207,15.81719970703125,15.7076997756958,15.687899589538574,154.32596,73.427306
cfa2,17.648,16.633,16.013,15.492,17.068700790405273,16.271799087524414,15.982099533081055,15.85569953918457,154.336,73.42705600000001
cfa2,17.731,17.225,16.876,16.501,17.443700790405273,17.077999114990234,16.957500457763672,16.92930030822754,154.38754,73.430778
cfa2,17.361,16.621,16.19,15.794,16.902799606323242,16.41860008239746,16.246700286865234,16.191600799560547,154.35326,73.418944
cfa2,18.581,17.991,17.512,17.991,18.294099807739254,17.76259994506836,17.587699890136722,17.480499267578125,154.40704,73.412778
cfa2,16.672,15.928,15.483,15.051,16.215099334716793,15.70829963684082,15.512900352478027,15.441200256347654,154.37462,73.405
cfa2,18.939,17.971,17.43,16.921,18.381000518798828,17.692899703979492,17.439800262451172,17.322399139404293,154.40633,73.404444
cfa2,17.178,16.432,15.973,15.542,16.711299896240234,16.180099487304688,15.99590015411377,15.916299819946287,154.41862,73.40375
cfa2,16.82,16.004,15.542,15.092,16.327400207519528,15.779199600219727,15.57409954071045,15.48799991607666,154.44104,73.399028
cfa2,18.892,18.017,18.017,17.474,18.44260025024414,17.7549991607666,17.528900146484375,17.460899353027347,154.12346000000002,73.392667
cfa2,16.953,16.036,15.499,15.0,16.37150001525879,15.722999572753904,15.47189998626709,15.371000289916992,348.73233,4.5156111
cfa2,18.307,17.539,17.069,16.612,17.815500259399414,17.273199081420902,17.069000244140625,16.99839973449707,348.70975,4.5563332999999995
cfa2,18.553,17.367,16.622,15.966,17.84440040588379,16.859399795532227,16.457099914550778,16.274499893188473,3.6166251000000003,-0.74663889
cfa2,17.726,16.248,15.265,14.124,16.846099853515625,15.637100219726562,14.735300064086914,14.315199851989744,3.614125,-0.75905556
cfa2,18.091,17.374,16.964,16.565,17.609800338745114,17.168800354003903,16.97450065612793,16.91390037536621,3.6597082999999997,-0.78238889
cfa2,18.012,16.705,15.876,15.124,17.26059913635254,16.172000885009766,15.659600257873535,15.416500091552734,3.6109583,-0.68775
cfa2,17.161,16.125,15.507,14.979,16.518999099731445,15.729700088500975,15.432499885559082,15.309599876403807,21.551374,-6.1002778
cfa2,17.999,16.953,16.324,15.772,17.356000900268555,16.55430030822754,16.234399795532227,16.111799240112305,21.537916,-6.0995
cfa2,19.093,17.633,16.703,15.758,18.27120018005371,17.04170036315918,16.337099075317386,16.00950050354004,21.529791,-6.0924167
cfa2,18.568,17.742,17.285,16.832,18.02400016784668,17.475299835205078,17.27750015258789,17.209800720214847,21.524042,-6.099694400000001
cfa2,15.912,15.238,14.857,14.485,15.471799850463867,15.05459976196289,14.924599647521973,14.88379955291748,21.519333,-6.0350833
cfa2,18.17,16.699,15.717,14.582,17.290399551391598,16.10140037536621,15.188199996948242,14.77869987487793,21.585832999999997,-6.0590278
cfa2,16.038,15.413,15.045,14.679,15.619799613952635,15.23989963531494,15.102999687194824,15.068400382995605,272.77155,49.839110999999995
cfa2,16.488,15.808,15.41,15.027,16.042900085449222,15.616999626159668,15.454899787902832,15.40820026397705,272.78604,49.828833
cfa2,17.713,16.869,16.389,15.978,17.158599853515625,16.604400634765625,16.4281005859375,16.367399215698242,272.82355,49.829889
cfa2,17.1,16.36,15.939,15.56,16.608600616455078,16.147899627685547,15.991600036621096,15.948800086975098,272.87201,49.834416999999995
cfa2,17.031,16.429,16.065,15.709,16.624700546264652,16.271299362182614,16.144599914550778,16.119800567626953,272.87607,49.864971999999995
