survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,18.187103271484375,16.98069190979004,16.57027816772461,16.317869186401367,18.130699157714844,17.092100143432617,16.645999908447266,16.4197998046875,87.0206553595196,17.360779412385575
DES,17.383869171142578,16.941877365112305,16.79522132873535,16.685443878173828,17.38010025024414,16.98150062561035,16.830900192260742,16.750999450683594,87.05330803200991,17.2928654541324
DES,18.175214767456055,17.642887115478516,17.444272994995117,17.35782814025879,18.157699584960938,17.681800842285156,17.48509979248047,17.40410041809082,87.68091303779715,17.519357501696895
DES,17.071012496948242,16.445316314697266,16.248998641967773,16.149564743041992,17.077299118041992,16.533700942993164,16.252500534057617,16.16990089416504,87.68207106889419,17.446556482906608
DES,15.313020706176758,14.617536544799805,14.399747848510742,14.2840576171875,15.303799629211426,14.678600311279297,14.411700248718262,14.333000183105469,87.02410087600501,17.383119664159782
DES,15.5704927444458,15.058989524841309,14.887147903442383,14.786911010742188,15.559800148010254,15.120800018310547,14.914999961853027,14.827899932861328,87.40265133003231,17.5610530274662
DES,15.161919593811035,14.656288146972656,14.5136079788208,14.450660705566406,15.146100044250488,14.703499794006348,14.531599998474121,14.481100082397461,87.20341757794101,17.341708244062833
DES,17.011507034301758,16.43233299255371,16.203245162963867,16.06760025024414,17.002500534057617,16.488300323486328,16.220300674438477,16.113399505615234,87.4125299959831,17.543890925574964
DES,17.379188537597656,16.825918197631836,16.645790100097656,16.530868530273438,17.358600616455078,16.90559959411621,16.697599411010742,16.594200134277344,87.4800929438969,17.492907270680078
DES,18.42335319519043,17.89615249633789,17.717390060424805,17.59137725830078,18.41200065612793,17.978500366210938,17.756900787353516,17.681800842285156,87.47985805378659,17.52817551422743
DES,17.124170303344727,16.34923553466797,16.080856323242188,15.927735328674316,17.10890007019043,16.428199768066406,16.130199432373047,15.996500015258789,86.92009092697249,17.208597166053853
DES,18.687767028808594,17.713211059570312,17.4261531829834,17.236499786376953,18.565500259399414,17.85650062561035,17.49959945678711,17.335399627685547,87.49589565640512,17.44675487862534
DES,13.494696617126465,13.519207000732422,13.61536693572998,13.636089324951172,13.509900093078613,13.546899795532227,13.593899726867676,13.657400131225586,87.50041461803977,17.530217917531772
