survey,CFA4natp2_B,CFA4natp2_V,CFA4natp2_r,CFA4natp2_i,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
CFA4,14.611245199999999,13.7762748,13.4560068,13.179341099999998,14.107099533081055,13.510499954223633,-999.0,13.077099800109863,44.62781335,6.54698469
CFA4,16.2260888,15.2967912,14.9169862,14.5339857,15.693900108337402,14.924200057983398,14.566100120544434,14.395700454711914,44.62006715,6.62347924
CFA4,16.920360000000002,16.22164,15.986571500000002,15.754741600000001,16.418699264526367,15.929499626159668,15.69540023803711,15.598299980163574,44.55633829,6.52149241
CFA4,17.196430300000003,16.4898497,16.2414367,15.995306,16.708099365234375,16.215499877929688,15.985899925231934,15.89900016784668,44.54786147,6.60659701
CFA4,16.2038679,15.560172099999999,15.3558986,15.1352536,15.75570011138916,15.285499572753906,15.07859992980957,15.015399932861328,44.5167774,6.54704508
CFA4,16.4764002,15.9471198,15.7818533,15.627663,16.1481990814209,15.774499893188477,15.642999649047852,15.619099617004395,39.60883829,-1.26425512
CFA4,16.357836300000002,15.4940437,15.1501662,14.8837993,15.849900245666504,15.147500038146973,14.891599655151367,14.79800033569336,39.58249084,-1.37461059
CFA4,15.1995982,14.7227218,14.5759323,14.429886400000001,14.912699699401855,14.588600158691406,14.458800315856934,14.440699577331543,39.55138277,-1.25155508
CFA4,15.6717431,15.1538169,15.008053900000002,14.875316100000001,15.33590030670166,14.981399536132812,14.85200023651123,14.8326997756958,39.52313633,-1.35239072
CFA4,13.545916700000001,13.0210033,12.875240300000002,12.7599088,-999.0,-999.0,-999.0,-999.0,39.49451148,-1.28237745
CFA4,14.8191534,14.1186866,13.8969626,13.707078800000001,14.348899841308594,13.868300437927246,13.756600379943848,13.635499954223633,39.48570719,-1.3719362
CFA4,17.1678134,16.6420266,16.4777866,16.330761000000003,16.837499618530273,16.482900619506836,16.361000061035156,16.332000732421875,39.48481744,-1.24320134
CFA4,16.4609669,15.8434731,15.6217491,15.3898854,16.08609962463379,15.609600067138672,15.423299789428711,15.349200248718262,306.68465834,2.93795539
CFA4,17.657397299999996,16.942082699999997,16.678272199999995,16.459825799999997,17.17300033569336,16.648799896240234,16.471200942993164,16.400800704956055,306.68388386,2.90641034
CFA4,16.6474819,15.6369581,15.232517099999999,14.8127186,16.058900833129883,15.235099792480469,14.841300010681152,14.656499862670898,306.6763303,2.96956906
CFA4,17.4909884,16.7468516,16.4491666,16.1632286,17.045299530029297,16.44879913330078,16.183700561523438,16.055200576782227,306.67503622,2.96402303
CFA4,14.0704834,13.4573566,13.2582156,13.0938721,13.69279956817627,-999.0,-999.0,13.09220027923584,306.67375958,2.89671936
CFA4,16.2021448,15.5523352,15.3347172,15.1376557,15.786299705505371,15.321399688720703,15.141799926757812,15.09570026397705,306.66889335,2.87178661
CFA4,17.284623999999997,16.655776,16.442264,16.2277858,16.894699096679688,16.42770004272461,16.243200302124023,16.171499252319336,306.66571223,2.95012955
CFA4,17.568542300000004,17.420937700000003,17.532826200000006,17.5632598,17.34939956665039,17.429800033569336,17.553499221801758,17.611799240112305,306.66506668,2.85998847
CFA4,17.5317359,16.8531041,16.6149561,16.3995164,17.091299057006836,16.597700119018555,16.41699981689453,16.342899322509766,306.66131504,2.90706785
CFA4,15.0327229,13.8213171,13.2331326,12.5998044,14.403800010681152,13.231399536132812,12.631099700927734,12.394800186157227,306.6611566,2.91414236
CFA4,15.934909499999998,15.249290499999999,15.001904,14.774200899999999,15.494600296020508,14.985799789428711,14.777099609375,14.715299606323242,306.65843641,2.87573194
CFA4,17.056918099999997,16.3206419,16.049645899999998,15.795381199999998,16.585800170898438,16.02589988708496,15.818300247192383,15.723199844360352,306.65827109,2.83699944
CFA4,17.661207900000004,16.842832100000003,16.529749600000002,16.2469223,17.118000030517578,16.4950008392334,16.24090003967285,16.135900497436523,306.65681571,2.92622385
CFA4,17.5240917,16.7808283,16.510858799999998,16.2586393,17.00860023498535,16.48710060119629,16.251399993896484,16.16860008239746,306.65436896,2.91814159
