survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
CFA3S,15.6592,14.9595,14.5006,14.1303,15.210399627685547,14.734000205993652,14.555800437927246,14.53439998626709,74.18950814144246,-4.690351651092579
CFA3S,16.4172,15.8785,15.497,15.169,16.050800323486328,15.7076997756958,15.602499961853027,15.583600044250488,74.1650584074692,-4.751898088856551
CFA3S,18.0186,17.1949,16.686700000000002,16.2991,17.31679916381836,16.874799728393555,16.706300735473633,16.6466007232666,74.15619579139258,-4.796765931399935
CFA3S,18.0811,17.33,16.8312,16.435699999999997,17.630800247192383,17.096099853515625,16.894699096679688,16.83690071105957,144.56557211534079,25.522868923941104
CFA3S,17.9091,16.9943,16.3115,15.8065,17.3794002532959,16.60610008239746,16.290000915527344,16.167200088500977,144.5601215115575,25.548794386684307
CFA3S,15.5934,14.6858,14.0,13.4547,15.070599555969238,14.28499984741211,13.9399995803833,13.784600257873535,144.52316473283284,25.536225507594057
CFA3S,17.8474,17.2148,16.7713,16.4165,17.453800201416016,17.010099411010742,16.841299057006836,16.815399169921875,144.52042067356405,25.575302491775425
CFA3S,16.5258,15.4645,14.681,14.1214,15.931599617004395,14.970499992370605,14.606499671936035,14.463800430297852,144.51454225368596,25.5199629038506
CFA3S,18.3921,17.9695,17.6424,17.3052,18.144500732421875,17.838199615478516,17.737600326538086,17.736299514770508,144.50336688898096,25.543900748839853
CFA3S,18.3715,17.5204,16.8827,16.4024,17.87299919128418,17.176599502563477,16.891300201416016,16.7810001373291,144.48949973689636,25.427637133308398
CFA3S,15.6533,15.1085,14.7254,14.4654,15.281599998474121,14.912300109863281,14.782699584960938,14.788299560546875,144.47959973457657,25.417446843511076
CFA3S,15.0514,14.2963,13.784,13.385,14.538100242614746,13.998900413513184,13.800000190734863,13.756099700927734,144.4788690432248,25.53862108657261
CFA3S,16.3231,15.4745,14.8942,14.4064,15.78499984741211,15.150699615478516,14.865099906921387,14.751999855041504,144.46221077086068,25.47600558827205
CFA3S,15.9393,15.3595,14.9392,14.5919,15.57390022277832,15.159299850463867,15.01159954071045,14.984000205993652,144.40920025102807,25.48547828949383
CFA3S,17.422,16.4725,15.7963,15.264,16.75029945373535,16.06570053100586,15.711600303649902,15.538399696350098,320.1864776171746,44.32137440244532
CFA3S,16.8995,16.129,15.527300000000002,15.0551,16.466999053955078,15.845600128173828,15.553000450134277,15.419099807739258,320.1451456262844,44.48829888997679
CFA3S,17.678,16.898,16.3038,15.8606,17.180299758911133,16.58300018310547,16.323299407958984,16.18779945373535,320.0863060252506,44.46744729331676
CFA3S,15.293,14.5225,13.9233,13.441,14.84589958190918,14.216899871826172,13.941499710083008,13.78279972076416,320.0787074858156,44.47865622849976
CFA3S,15.3442,14.7763,14.3653,14.0463,15.005000114440918,14.611300468444824,14.47659969329834,14.4552001953125,149.8309071859116,17.794803463370954
CFA3S,14.6092,14.0953,13.7263,13.4413,14.291099548339844,13.950900077819824,13.857199668884277,13.854100227355957,149.80443426133047,17.784584182317197
CFA3S,17.7082,17.2513,16.9233,16.5793,17.428300857543945,17.13759994506836,17.02899932861328,17.01889991760254,149.7689519532747,17.771676393076095
CFA3S,14.7982,14.2853,13.9183,13.6313,14.470399856567383,14.141500473022461,14.032299995422363,14.030799865722656,149.73533878528997,17.78042800202184
CFA3S,17.0072,16.5003,16.121299999999998,15.8093,16.699899673461914,16.35810089111328,16.226200103759766,16.190799713134766,149.7217884897846,17.813844929148534
CFA3S,15.3032,14.7773,14.3843,14.0653,14.97189998626709,14.625699996948242,14.479700088500977,14.444000244140625,149.688361670069,17.805710437140032
CFA3S,15.1992,14.6813,14.2973,14.0123,14.873000144958496,14.536800384521484,14.407899856567383,14.395600318908691,149.68104414095447,17.791283110262636
CFA3S,18.6848,18.066,17.6454,17.2437,18.345600128173828,17.877199172973633,17.69580078125,17.626800537109375,347.7519039736302,7.524468732283323
CFA3S,18.0598,17.357,16.8354,16.3627,17.66309928894043,17.085500717163086,16.83340072631836,16.740999221801758,347.73155514547295,7.491697111575475
CFA3S,17.3218,16.779,16.3724,16.0007,17.00790023803711,16.58639907836914,16.45199966430664,16.3882999420166,347.69735244829235,7.654501268938765
CFA3S,18.6478,17.897,17.408399999999997,16.987699999999997,18.288299560546875,17.75670051574707,17.605300903320312,17.506399154663086,347.6115674716746,7.5517881555639095
CFA3S,16.9183,16.3725,15.9738,15.6375,16.556800842285156,16.19890022277832,16.068199157714844,16.058700561523438,154.34408184159955,60.303577675620225
CFA3S,15.401,14.9525,14.6154,14.3062,15.081199645996094,14.820099830627441,14.720000267028809,14.715900421142578,196.98809615444875,34.15542435303729
CFA3S,16.7837,16.1782,15.7384,15.3643,16.384000778198242,15.957799911499023,15.802399635314941,15.777199745178223,196.98104102481267,34.009570117917264
CFA3S,16.197,15.6565,15.2641,14.9279,15.843000411987305,15.483699798583984,15.365500450134277,15.346599578857422,196.96768232269415,34.13735445251683
CFA3S,18.2587,17.3865,16.7311,16.244200000000003,17.72879981994629,16.980100631713867,16.70490074157715,16.61039924621582,196.9297780713739,34.06036357213874
CFA3S,16.525,15.8112,15.3151,14.9153,16.071800231933594,15.541600227355957,15.353099822998047,15.303000450134277,196.9230104841903,34.06977388185346
CFA3S,18.5027,18.1172,17.7884,17.4649,18.240100860595703,18.03700065612793,17.904600143432617,17.896299362182617,196.8887347673102,34.175204943671375
CFA3S,15.6024,14.9421,14.473,14.0846,15.18529987335205,14.698399543762207,14.530699729919434,14.46619987487793,154.57299023170458,21.819446075164468
CFA3S,15.1261,14.6496,14.3002,13.9894,14.801799774169922,14.494799613952637,14.416099548339844,14.402299880981445,154.55698389054663,21.767547073037875
CFA3S,15.1486,14.4476,13.9407,13.6136,14.695099830627441,14.19219970703125,14.059399604797363,13.984600067138672,154.50287401284737,21.826065287257094
CFA3S,17.958,17.4162,17.0361,16.7172,17.58329963684082,17.239500045776367,17.099700927734375,17.072599411010742,154.49128038506709,21.748121724994352
CFA3S,16.2457,15.6739,15.2863,14.9702,15.839599609375,15.478099822998047,15.359100341796875,15.32979965209961,154.47835758459533,21.785464303052287
CFA3S,14.9662,14.3662,13.9204,13.611,14.568300247192383,14.162500381469727,14.044899940490723,14.005499839782715,154.46875938638544,21.86266827623883
CFA3S,17.037699999999997,16.4182,15.9516,15.560199999999998,16.65239906311035,16.190500259399414,16.00860023498535,15.958700180053711,154.45049864330915,21.900134498049905
CFA3S,15.0817,14.5799,14.1686,13.8704,14.739299774169922,14.390999794006348,14.26449966430664,14.254400253295898,154.4372371743276,21.860193966766094
CFA3S,17.2811,16.4808,15.891899999999998,15.441999999999998,16.807199478149414,16.139799118041992,15.889100074768066,15.77929973602295,216.24965875035605,26.656421177421837
CFA3S,18.1618,17.8138,17.4746,17.1777,17.88680076599121,17.672100067138672,17.598100662231445,17.611099243164062,216.2326235323805,26.685617333685425
CFA3S,16.7673,16.0718,15.5871,15.1915,16.33099937438965,15.823200225830078,15.624300003051758,15.552900314331055,216.1959706463955,26.674163599427136
CFA3S,17.575400000000002,16.9402,16.4857,16.1001,17.178300857543945,16.717599868774414,16.535999298095703,16.472700119018555,216.1880840752034,26.688572367466406
CFA3S,17.7934,16.8253,16.1222,15.5019,17.229900360107422,16.421300888061523,16.01409912109375,15.81410026550293,306.0671623450746,58.30691371066838
CFA3S,16.9564,16.0168,15.3767,14.8462,16.495399475097656,15.708100318908691,15.3302001953125,15.153300285339355,306.0648153539779,58.377656351744655
CFA3S,17.1829,16.2319,15.5454,14.9709,16.633499145507812,15.842300415039062,15.45419979095459,15.27079963684082,306.0506950264461,58.434095696542926
CFA3S,16.1301,14.9345,14.1051,13.4244,15.454899787902832,14.443300247192383,13.94279956817627,13.683300018310547,306.03489591897437,58.345235298938256
CFA3S,17.5427,16.5921,15.927499999999998,15.3977,16.99180030822754,16.218700408935547,15.856300354003906,15.699299812316895,305.9853587088185,58.39151476985122
CFA3S,15.5897,14.8176,14.2564,13.7972,15.128499984741211,14.520899772644043,14.23799991607666,14.128499984741211,305.9774929405669,58.38720032092636
CFA3S,15.8912,15.2353,14.7594,14.3542,15.503800392150879,15.013400077819824,14.785900115966797,14.695099830627441,305.94518432689785,58.40329785696771
CFA3S,17.5117,16.4918,15.7534,15.1649,16.901500701904297,16.04490089416504,15.634499549865723,15.43970012664795,305.9054178630608,58.292883883628576
CFA3S,17.764699999999998,16.8326,16.1577,15.6115,17.196399688720703,16.43239974975586,16.06329917907715,15.888099670410156,305.85250849351587,58.311703289169756
CFA3S,16.8119,15.5069,14.6341,13.9663,16.06290054321289,14.956100463867188,14.484600067138672,14.214500427246094,305.83332417246,58.413867453149045
CFA3S,16.8119,15.5069,14.6341,13.9663,16.02989959716797,14.971199989318848,14.479999542236328,14.20680046081543,305.8333345507026,58.413861501246785
CFA3S,17.829,16.9006,16.2318,15.6673,17.297100067138672,16.52720069885254,16.148300170898438,15.96660041809082,305.80205791471315,58.42393398406317
CFA3S,15.9679,15.1929,14.6344,14.1379,15.542499542236328,14.951700210571289,14.659700393676758,14.526599884033203,305.7906933505951,58.39226652486494
CFA3S,16.2911,15.5204,14.9635,14.5183,15.815400123596191,15.226900100708008,14.978099822998047,14.877799987792969,236.80913595706213,-1.0652022570195736
CFA3S,16.134,15.4832,15.0103,14.6093,15.712699890136719,15.236599922180176,15.032999992370605,14.9576997756958,236.73807063921453,-1.0722687840514025
