survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,20.99418830871582,19.558319091796875,18.47631072998047,18.0222225189209,21.106199264526367,19.79590034484864,18.65019989013672,18.12719917297364,150.1300658378378,2.8981353243243246
DES,21.713525772094727,20.67559242248535,20.322093963623047,20.141582489013672,22.05349922180176,20.87420082092285,20.4419002532959,20.305700302124023,150.23008114893616,2.2342104680851063
DES,21.910144805908203,20.5662899017334,19.861553192138672,19.53868293762207,22.037799835205078,20.73900032043457,19.964599609375,19.62719917297364,150.44392804545453,1.2890794772727274
DES,21.03860092163086,19.632856369018555,18.88070106506348,18.544885635375977,20.45669937133789,19.73819923400879,18.95989990234375,18.60140037536621,37.37166826086956,1.720282913043478
DES,21.656890869140625,20.272361755371094,19.49593162536621,19.158647537231445,21.62540054321289,20.470600128173828,19.615800857543945,19.235300064086914,150.62948523529414,2.2616669411764705
DES,20.90683364868164,20.379291534423828,20.206430435180664,20.139158248901367,21.00979995727539,20.560100555419922,20.250600814819336,20.13159942626953,150.49268073684212,2.707675
DES,19.677410125732425,19.0090446472168,18.811628341674805,18.720142364501953,19.63249969482422,19.059999465942386,18.816499710083008,18.761699676513672,149.22037593333332,2.547239333333333
DES,21.193702697753906,20.7172794342041,20.56633758544922,20.50851249694824,21.084999084472656,20.73270034790039,20.70330047607422,20.65019989013672,149.95218439999996,1.7780072666666666
DES,19.40798759460449,18.17864990234375,17.718082427978516,17.493446350097653,19.358699798583984,18.278499603271484,17.790300369262695,17.572500228881836,149.4499830909091,2.8565685454545457
DES,21.30101776123047,19.728872299194336,18.175334930419922,17.515373229980472,21.4060001373291,20.07029914855957,18.36849975585937,17.686199188232422,149.38616429411766,2.657248156862745
DES,22.085407257080078,20.55674362182617,19.52460479736328,19.08482360839844,22.02910041809082,20.80900001525879,19.70330047607422,19.26919937133789,150.0721031111111,2.5923627111111114
DES,19.533222198486328,18.671899795532227,18.363548278808594,18.202579498291016,19.4817008972168,18.733999252319336,18.412700653076172,18.229799270629886,150.2106871489362,2.408583638297872
DES,22.251466751098636,20.78557586669922,19.63168334960937,19.15226173400879,22.81719970703125,20.908899307250977,19.824899673461914,19.271900177001953,150.66433482,2.5083845200000003
DES,22.01373863220215,20.58243179321289,19.41671371459961,18.928878784179688,22.00589942932129,20.748199462890625,19.578500747680664,19.035200119018555,150.73378242857146,1.6814422857142857
DES,18.723255157470703,17.301984786987305,16.464912414550778,16.106603622436527,18.66889953613281,17.440900802612305,16.590200424194336,16.205499649047848,150.05546747058824,2.6734805294117647
DES,22.401411056518555,21.00209617614746,19.69365119934082,19.13841438293457,23.18180084228516,21.38949966430664,19.87310028076172,19.260799407958984,150.53926662790698,1.989898651162791
DES,20.587554931640625,19.12015724182129,18.1762638092041,17.769168853759766,20.573999404907227,19.31419944763184,18.323200225830078,17.889799118041992,150.42439693333333,1.5172727333333331
DES,21.221111297607425,20.926959991455078,20.858583450317386,20.851463317871094,21.241899490356445,20.90139961242676,20.85759925842285,20.736799240112305,150.53501252083333,1.6301425833333336
DES,19.2560977935791,17.953060150146484,17.397193908691403,17.13698387145996,19.187599182128906,18.048799514770508,17.471900939941403,17.200700759887695,149.66173468421053,2.2151165789473684
DES,21.6148681640625,20.14365577697754,18.83198547363281,18.279436111450195,21.60280036926269,20.38039970397949,19.01880073547364,18.45159912109375,150.09884793617024,2.3576143191489365
DES,18.40640640258789,17.15291976928711,16.676471710205078,16.44388198852539,18.342899322509766,17.241300582885742,16.737199783325195,16.52389907836914,150.32568227777782,2.124118555555556
DES,22.303998947143555,20.825773239135746,20.066776275634766,19.727893829345703,22.15900039672852,20.96179962158203,20.13789939880371,19.875600814819336,149.47498857446809,2.2628162340425533
DES,21.41029357910156,20.804973602294922,20.59836196899414,20.507835388183594,21.351299285888672,20.849000930786133,20.620100021362305,20.33839988708496,150.47560902083333,1.351792916666667
DES,19.7854118347168,19.018218994140625,18.76692771911621,18.64326286315918,19.728099822998047,19.077899932861328,18.797700881958008,18.69109916687012,150.33660545652177,2.6142383260869564
DES,22.084278106689453,20.662071228027344,19.735280990600586,19.34029960632324,21.640899658203125,20.783199310302734,19.910499572753906,19.44659996032715,149.7301133404255,2.0694256170212766
DES,21.476051330566406,19.986909866333008,19.01602554321289,18.603391647338867,21.47209930419922,20.21299934387207,19.178800582885746,18.71649932861328,150.03921742553192,2.3275248723404256
DES,19.615253448486328,18.86825561523437,18.643898010253906,18.52775382995605,19.56209945678711,18.904499053955078,18.70439910888672,18.56439971923828,150.4549320769231,1.479725480769231
DES,21.87137031555176,20.398935317993164,19.601886749267575,19.239370346069336,22.02440071105957,20.61989974975586,19.714399337768555,19.372800827026367,150.21490482222225,2.5034758666666668
DES,21.87969398498535,20.42628288269043,19.193666458129886,18.691184997558594,21.75200080871582,20.666799545288086,19.402099609375,18.803699493408203,150.20284683333333,2.8262581250000003
DES,18.983301162719727,18.487457275390625,18.33904838562012,18.275915145874023,18.972000122070312,18.524599075317386,18.356599807739254,18.31450080871582,150.4204750588235,2.0541015294117644
DES,18.97715950012207,18.14797019958496,17.89584732055664,17.7695255279541,18.95359992980957,18.22130012512207,17.92169952392578,17.820199966430664,149.71198521999997,2.97055978
DES,21.833049774169922,20.524423599243164,19.939655303955078,19.666990280151367,21.6781005859375,20.59480094909668,20.07830047607422,19.738399505615234,149.65122821052628,2.034894157894737
DES,21.90624046325684,20.83673667907715,20.456485748291016,20.267183303833008,21.86319923400879,20.54199981689453,20.58049964904785,20.31430053710937,149.74614887096774,1.833577451612903
DES,20.62862968444824,20.315187454223636,20.244184494018555,20.239553451538086,20.61160087585449,20.38820075988769,20.311500549316406,20.136699676513672,149.2178434901961,2.3152335098039214
DES,20.716510772705078,20.290897369384766,20.17864799499512,20.152217864990234,20.763399124145508,20.366600036621094,20.10980033874512,20.07379913330078,150.00063196153846,2.8987106538461536
DES,19.63520050048828,18.15137481689453,17.083503723144528,16.638864517211914,19.54019927978516,18.31100082397461,17.24220085144043,16.748199462890625,150.87238175555558,1.6815128888888886
DES,21.00138282775879,19.599409103393555,18.76021385192871,18.389862060546875,20.958200454711914,19.68090057373047,18.868999481201172,18.451900482177734,149.89570168292684,1.8159307073170727
DES,22.142547607421875,20.63304328918457,19.56635284423828,19.11943817138672,22.05820083618164,20.78759956359864,19.755199432373047,19.32110023498535,150.01068705882352,2.9722120000000003
DES,21.115068435668945,19.79288673400879,19.21578788757324,18.936912536621094,21.117599487304688,19.92300033569336,19.305200576782227,18.973899841308594,149.62932213636367,2.5854138181818183
DES,18.88413429260254,18.315216064453125,18.122257232666016,18.034521102905273,18.867300033569336,18.351200103759766,18.15880012512207,18.05299949645996,150.17016596,2.43899404
DES,21.56881523132324,20.034433364868164,18.910911560058594,18.437053680419922,21.45800018310547,20.21339988708496,19.081499099731445,18.564599990844727,149.87784610526313,2.062052763157895
DES,20.11741065979004,18.673734664916992,17.330211639404293,16.753482818603516,20.12120056152344,18.89590072631836,17.527700424194336,16.907699584960938,149.51266,2.7066014090909096
