survey,CFA4natp1_B,CFA4natp1_V,CFA4natp1_r,CFA4natp1_i,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
CFA4,16.5082278,15.8446362,15.611725,15.4238133,16.107900619506836,15.625699996948242,15.444000244140625,15.378700256347656,182.56596393,47.17429692
CFA4,13.2498632,12.6773528,12.510682399999999,12.3875891,-999.0,-999.0,-999.0,-999.0,182.55940261,47.04633103
CFA4,16.2844576,15.6450304,15.4505816,15.296904399999999,15.874099731445312,15.461099624633789,15.30270004272461,15.26710033416748,182.53983296,47.03007778
CFA4,16.7691387,15.6715173,15.1960793,14.8237281,16.168500900268555,15.244999885559082,14.87600040435791,14.709600448608398,182.4458771,47.15294111
CFA4,15.693545899999998,15.2130461,15.0891117,14.9662862,15.380200386047363,15.086299896240234,14.987899780273438,14.979399681091309,182.42382109,47.12160034
CFA4,16.228888,14.890552,14.254853999999998,13.5605059,15.4891996383667,14.298100471496582,13.605600357055664,13.289999961853027,182.42181646,47.07377635
CFA4,14.853538400000001,14.117453600000001,13.8685164,13.693559,14.42199993133545,13.911499977111816,13.749899864196777,13.700699806213379,182.41021345,47.1616439
CFA4,14.551282200000001,14.0066538,13.844257,13.7250813,14.190099716186523,13.850600242614746,13.744099617004395,13.71720027923584,182.39234316,47.10852157
CFA4,17.4231943,16.8571897,16.6723565,16.5233983,17.047700881958008,16.659400939941406,16.54800033569336,16.51490020751953,174.36846356,15.45143037
CFA4,14.4896736,13.775894399999999,13.535504399999999,13.365310499999998,14.046500205993652,13.548399925231934,13.445699691772461,13.341099739074707,174.3661588,15.43108043
CFA4,13.0751403,12.5277237,12.3685321,12.246151199999998,-999.0,-999.0,-999.0,-999.0,174.35192996,15.43819475
CFA4,14.708686599999998,13.818321399999999,13.509553799999999,13.244937399999998,14.170000076293945,13.525199890136719,-999.0,13.178400039672852,174.31121186,15.46374206
CFA4,13.0790792,12.4322168,12.2548624,12.132214100000002,-999.0,-999.0,-999.0,-999.0,174.25225597,15.40274685
CFA4,17.5929566,16.6096514,16.231437800000002,15.9185189,17.0177001953125,16.277799606323242,15.96660041809082,15.815099716186523,174.24007903,15.47610422
CFA4,14.7749239,14.1643081,13.977338099999999,13.8090148,14.397700309753418,13.989700317382812,13.848600387573242,13.798500061035156,6.36626441,12.90898322
