survey,Foundation_g,Foundation_r,Foundation_i,Foundation_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
Foundation_AB,18.021499633789062,17.663700103759766,17.519500732421875,17.50349998474121,18.014999389648438,17.655000686645508,17.521699905395508,17.549999237060547,37.2455563,-3.54806494
Foundation_AB,18.56450080871582,18.18280029296875,18.0039005279541,17.97909927368164,18.56170082092285,18.20359992980957,18.015100479125977,17.97369956970215,37.18177046,-3.45407585
Foundation_AB,17.410900115966797,17.105100631713867,16.98940086364746,16.964099884033203,17.42289924621582,17.107999801635742,16.988100051879883,16.957399368286133,37.23519703,-3.4634985
Foundation_AB,18.490400314331055,17.938400268554688,17.669099807739258,17.590900421142578,18.495899200439453,17.912200927734375,17.650299072265625,17.55419921875,37.3140493,-3.62419141
Foundation_AB,18.0625,17.556499481201172,17.32379913330078,17.251399993896484,18.04450035095215,17.555500030517578,17.3346004486084,17.25160026550293,37.04337001,-3.59303385
Foundation_AB,18.73349952697754,17.66069984436035,17.163999557495117,16.954500198364258,18.722000122070312,17.653400421142578,17.16320037841797,16.961700439453125,37.23559698,-3.56238908
Foundation_AB,18.86440086364746,17.861499786376953,17.435300827026367,17.2367000579834,18.85260009765625,17.867599487304688,17.435400009155273,17.247600555419922,37.06445107,-3.70179031
Foundation_AB,18.61199951171875,18.248899459838867,18.078399658203125,18.03809928894043,18.58930015563965,18.24880027770996,18.07740020751953,18.047399520874023,37.0842999,-3.60947533
Foundation_AB,18.140300750732422,17.321399688720703,16.98270034790039,16.850900650024414,18.12350082397461,17.32080078125,16.97800064086914,16.84950065612793,37.27975398,-3.79814346
Foundation_AB,18.9158992767334,17.749900817871094,17.17490005493164,16.937000274658203,18.918699264526367,17.75160026550293,17.176300048828125,16.936800003051758,37.29137218,-3.80347061
Foundation_AB,17.726499557495117,17.434499740600586,17.352100372314453,17.33690071105957,17.71299934387207,17.438600540161133,17.351499557495117,17.35689926147461,37.11207749,-3.72262884
Foundation_AB,18.90880012512207,17.70829963684082,17.00349998474121,16.68560028076172,18.92530059814453,17.707799911499023,17.006799697875977,16.689599990844727,37.25285134,-3.73556636
Foundation_AB,18.32080078125,18.18429946899414,18.085100173950195,18.11669921875,18.307199478149414,18.156299591064453,18.1112003326416,18.127700805664062,37.16669521,-3.74209476
Foundation_AB,18.563499450683594,18.287099838256836,18.164899826049805,18.145299911499023,18.562599182128906,18.273300170898438,18.168500900268555,18.152299880981445,37.16722302,-3.75551347
Foundation_AB,17.391799926757812,17.443700790405273,17.278900146484375,17.101999282836914,17.383699417114258,17.407800674438477,17.276199340820312,17.1072998046875,37.22171334,-3.62697958
Foundation_AB,18.53860092163086,17.990800857543945,17.78510093688965,17.7052001953125,18.564800262451172,18.00309944152832,17.776899337768555,17.71150016784668,37.2261381,-3.67380408
Foundation_AB,18.07699966430664,17.31570053100586,17.007299423217773,16.885400772094727,18.079700469970703,17.321199417114258,17.003999710083008,16.88409996032715,37.293722,-3.84086595
Foundation_AB,18.01609992980957,17.466299057006836,17.20400047302246,17.102699279785156,18.00309944152832,17.47089958190918,17.21969985961914,17.12660026550293,37.25419819,-3.70386876
Foundation_AB,17.858299255371094,17.652299880981445,17.585500717163086,17.59119987487793,17.859600067138672,17.640600204467773,17.582500457763672,17.59510040283203,37.35385722,-3.68295645
Foundation_AB,18.38330078125,18.076000213623047,17.94099998474121,17.93429946899414,18.38719940185547,18.075599670410156,17.947599411010742,17.92690086364746,37.32920838,-3.82647351
Foundation_AB,18.859899520874023,18.622499465942383,18.542400360107422,18.53219985961914,18.855600357055664,18.6289005279541,18.52869987487793,18.516599655151367,37.36740279,-3.71206861
Foundation_AB,18.63050079345703,18.042699813842773,17.786699295043945,17.69700050354004,18.617599487304688,18.036800384521484,17.781600952148438,17.702600479125977,37.35840521,-3.88679199
Foundation_AB,18.439899444580078,18.100500106811523,17.941200256347656,17.901199340820312,18.377899169921875,18.086299896240234,17.903400421142578,17.906299591064453,37.33221636,-3.89418031
Foundation_AB,18.80229949951172,17.920700073242188,17.58049964904785,17.444599151611328,18.82670021057129,17.91200065612793,17.58530044555664,17.43939971923828,37.37049162,-3.94124112
Foundation_AB,18.47909927368164,18.003599166870117,17.791400909423828,17.716999053955078,18.48780059814453,17.986900329589844,17.78580093383789,17.716699600219727,37.36976288,-3.90371151
Foundation_AB,18.932899475097656,18.230100631713867,17.934099197387695,17.824600219726562,18.940399169921875,18.234699249267578,17.93560028076172,17.83340072631836,37.35298089,-3.93575898
Foundation_AB,18.6835994720459,18.405000686645508,18.289499282836914,18.274099349975586,18.69070053100586,18.404300689697266,18.2947998046875,18.278900146484375,37.3646,-3.93835672
Foundation_AB,17.582199096679688,17.047700881958008,16.838300704956055,16.788799285888672,17.57390022277832,17.047100067138672,16.843799591064453,16.78459930419922,37.37626533,-3.83805417
Foundation_AB,18.764299392700195,17.777999877929688,17.357500076293945,17.185400009155273,18.79129981994629,17.775299072265625,17.36440086364746,17.19059944152832,37.34115861,-3.83979677
Foundation_AB,18.405099868774414,17.85580062866211,17.617399215698242,17.534900665283203,18.374900817871094,17.85099983215332,17.622600555419922,17.516199111938477,37.38066436,-3.84036208
Foundation_AB,18.644500732421875,18.15730094909668,17.998300552368164,17.956600189208984,18.633100509643555,18.157499313354492,17.992000579833984,17.96310043334961,37.38952478,-3.84783609
Foundation_AB,17.445199966430664,17.018199920654297,16.8533992767334,16.831100463867188,17.423999786376953,16.995500564575195,16.851299285888672,16.828800201416016,37.37277322,-3.95946514
Foundation_AB,18.82710075378418,18.048599243164062,17.696500778198242,17.554500579833984,18.85219955444336,18.051000595092773,17.718700408935547,17.560100555419922,37.3948865,-3.87345841
Foundation_AB,18.658199310302734,18.208099365234375,18.027999877929688,18.000999450683594,18.671600341796875,18.18470001220703,18.03619956970215,18.013700485229492,37.39165182,-3.85893874
Foundation_AB,18.038000106811523,17.479999542236328,17.23270034790039,17.138999938964844,18.031400680541992,17.48040008544922,17.23579978942871,17.136199951171875,37.04562125,-3.8208477
Foundation_AB,17.799299240112305,17.473400115966797,17.356300354003906,17.351999282836914,17.786399841308594,17.47960090637207,17.35689926147461,17.34819984436035,37.06286928,-3.86381853
Foundation_AB,18.992900848388672,17.82229995727539,17.238300323486328,16.97599983215332,18.99530029296875,17.813499450683594,17.22610092163086,16.965999603271484,37.11845511,-3.81532667
Foundation_AB,17.868999481201172,17.5398006439209,17.39579963684082,17.362499237060547,17.86079978942871,17.531999588012695,17.393699645996094,17.367300033569336,37.1767111,-3.87064792
Foundation_AB,18.76729965209961,17.869199752807617,17.48259925842285,17.299800872802734,18.760499954223633,17.86870002746582,17.48040008544922,17.2908992767334,37.08597363,-3.77969855
Foundation_AB,18.2367000579834,17.67799949645996,17.47279930114746,17.386600494384766,18.23189926147461,17.684900283813477,17.466899871826172,17.408300399780273,37.05226592,-3.77672851
Foundation_AB,17.81439971923828,17.181100845336914,16.893400192260742,16.788700103759766,17.816099166870117,17.17300033569336,16.88479995727539,16.7908992767334,37.17659392,-3.8644857
Foundation_AB,18.442800521850586,17.770999908447266,17.495100021362305,17.388099670410156,18.43720054626465,17.76799964904785,17.50189971923828,17.40719985961914,37.14395451,-3.80488667
Foundation_AB,17.69969940185547,17.27910041809082,17.12529945373535,17.098100662231445,17.693099975585938,17.280899047851562,17.133100509643555,17.08329963684082,37.1791116,-3.82372466
Foundation_AB,18.194599151611328,17.957500457763672,17.899499893188477,17.92020034790039,18.17009925842285,17.941200256347656,17.901399612426758,17.915300369262695,37.04036761,-3.87757876
Foundation_AB,18.89579963684082,18.589500427246094,18.484600067138672,18.484899520874023,18.86400032043457,18.59269905090332,18.484899520874023,18.475299835205078,37.07766632,-3.76230841
Foundation_AB,18.997800827026367,18.660400390625,18.51180076599121,18.495500564575195,19.006099700927734,18.67009925842285,18.517499923706055,18.48240089416504,37.069405,-3.79013316
Foundation_AB,17.9596004486084,17.69230079650879,17.582799911499023,17.57349967956543,17.94409942626953,17.67889976501465,17.58340072631836,17.585599899291992,37.13316259,-3.97993146
