survey,KAIT1MO-B,KAIT1MO-V,KAIT1MO-R,KAIT1MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
KAIT1MO,14.38699,13.721466,13.193169999999999,12.834561,13.963299751281738,13.47089958190918,-999.0,13.236900329589844,12.02649805,27.65082971
KAIT1MO,13.66863,13.101442000000002,12.667107,12.367500999999999,-999.0,-999.0,-999.0,-999.0,11.97964653,27.63271106
KAIT1MO,15.6122,14.87468,14.307558999999998,13.899880999999999,15.138899803161621,14.594400405883789,14.393600463867188,14.325300216674805,12.01954821,27.58329417
KAIT1MO,18.014200000000002,17.276680000000002,16.626889,16.15087,17.58049964904785,16.956199645996094,16.680400848388672,16.5580997467041,348.70657975,4.51265646
KAIT1MO,16.075805,15.390087000000001,14.816291999999999,14.361189,15.655500411987305,15.121500015258789,14.901399612426758,14.817700386047363,348.7291692,4.50668649
KAIT1MO,18.055355,16.746257,15.499018000000001,14.539367,17.2903995513916,16.10140037536621,15.188199996948242,14.77869987487793,21.58575707,-6.05906677
KAIT1MO,13.5671,12.84714,12.290007,11.851460999999999,-999.0,-999.0,-999.0,-999.0,21.57311035,-6.08589015
KAIT1MO,18.192024999999997,17.046235,16.061476000000003,15.543729999999998,17.579299926757812,16.45949935913086,15.951299667358398,15.733200073242188,21.56982763,-6.12338997
KAIT1MO,14.824494999999999,13.877132999999999,13.173649000000001,12.6699,14.309599876403809,13.560799598693848,-999.0,13.091699600219727,103.2078941,50.08866
KAIT1MO,16.114520000000002,15.601767999999998,15.177374,14.854506999999998,15.799799919128418,15.438799858093262,15.321100234985352,15.300999641418457,103.26880211,50.07898222
KAIT1MO,18.684855000000002,17.990357,17.48479,17.035088000000002,18.436500549316406,17.84440040588379,17.644500732421875,17.58880043029785,103.26878269,50.0769234
KAIT1MO,17.207169999999998,16.580278,16.047264999999996,15.606739,16.810300827026367,16.337400436401367,16.130199432373047,16.047399520874023,103.32121649,50.07391675
KAIT1MO,17.726850000000002,16.87519,16.213622,15.750154,17.243799209594727,16.56450080871582,16.30190086364746,16.197500228881836,103.25293232,50.06385395
KAIT1MO,16.148509999999998,15.672633999999999,15.254097999999999,14.887951,15.829500198364258,15.484800338745117,15.368900299072266,15.34939956665039,103.32920465,50.06114674
KAIT1MO,14.08403,13.622201999999998,13.226537,12.928986,13.804900169372559,13.501700401306152,-999.0,13.391400337219238,103.27281988,50.05421328
KAIT1MO,17.55547,16.349098,15.162887,14.289952000000001,17.057600021362305,15.819499969482422,15.043100357055664,14.698200225830078,103.23831703,50.05482136
KAIT1MO,17.111855000000002,16.417357,15.820853000000001,15.393544,16.771499633789062,16.244699478149414,16.037900924682617,15.96500015258789,103.23647199,50.0537448
KAIT1MO,16.131745000000002,15.667283,15.259727,14.960062999999998,15.82349967956543,15.503800392150879,15.395999908447266,15.376700401306152,103.31396337,50.04839824
KAIT1MO,18.860615,17.646341000000003,16.437448,15.629791999999998,18.25200080871582,17.013599395751953,16.284500122070312,15.969599723815918,103.23233777,50.04449496
KAIT1MO,15.175865,14.795691000000001,14.450958,14.189595,14.894499778747559,14.671600341796875,14.61769962310791,14.649200439453125,103.30354934,50.03276783
KAIT1MO,16.65513,16.175742,15.778356,15.43272,16.359100341796875,16.035400390625,15.915900230407715,15.906700134277344,103.21002077,50.03383756
KAIT1MO,17.309540000000002,16.723035999999997,16.262124999999997,15.888898,16.943899154663086,16.509700775146484,16.367700576782227,16.343399047851562,103.32638741,50.02548792
KAIT1MO,18.53018,17.866412,17.194088,16.798561999999997,18.079500198364258,17.57110023498535,17.319299697875977,17.247800827026367,103.28277012,50.02470693
KAIT1MO,16.226715000000002,15.697280999999998,15.233400999999999,14.886318,15.892900466918945,15.49530029296875,15.362000465393066,15.334500312805176,103.31160579,50.0191028
KAIT1MO,17.459979999999998,16.831332,16.299446,15.923070000000001,17.083099365234375,16.62190055847168,16.457000732421875,16.405000686645508,103.22330536,50.01877675
KAIT1MO,16.806695,16.175413,15.669428000000002,15.298129000000001,16.415700912475586,15.963700294494629,15.771499633789062,15.71150016784668,103.29746876,50.01820659
KAIT1MO,18.274725000000004,17.357215,16.589693999999998,16.051296999999998,17.789199829101562,16.953800201416016,16.635099411010742,16.488300323486328,103.30866688,50.01503254
KAIT1MO,17.77036,16.969624,16.355680999999997,15.969319000000002,17.35219955444336,16.761199951171875,16.50119972229004,16.408700942993164,103.2488764,50.01347127
KAIT1MO,16.961440000000003,16.216896000000002,15.592871,15.178691999999998,16.511600494384766,15.912500381469727,15.706000328063965,15.613100051879883,103.3407443,50.01147721
KAIT1MO,14.2672,13.880880000000001,13.499346999999998,13.182489,14.004599571228027,13.759099960327148,13.649299621582031,13.684200286865234,15.81254678,32.28583625
KAIT1MO,16.153295000000004,15.592253,15.164012000000001,14.766395000000001,15.833100318908691,15.441100120544434,15.297599792480469,15.247400283813477,15.81609878,32.26435029
KAIT1MO,16.72542,16.054628,15.491920999999998,15.078668,16.297800064086914,15.780500411987305,15.571999549865723,15.488699913024902,15.89354492,32.25403916
KAIT1MO,18.48151,17.830033999999998,17.279731,16.757207,18.1294002532959,17.601999282836914,17.356300354003906,17.243799209594727,15.82078449,32.24815378
KAIT1MO,15.715399999999999,15.11836,14.598075000000001,14.192863000000001,15.357799530029297,14.901200294494629,14.68220043182373,14.602800369262695,15.86697698,32.24737048
KAIT1MO,18.132965000000002,17.384031,16.837816999999998,16.436727,17.69540023803711,17.126100540161133,16.938800811767578,16.896799087524414,15.84108559,32.21970291
KAIT1MO,18.294705,17.450947,16.704590000000003,16.105527999999996,17.806699752807617,17.0664005279541,16.755399703979492,16.632299423217773,15.90914974,32.20273774
KAIT1MO,17.918499999999998,17.3039,16.797247,16.383218,17.555599212646484,17.10770034790039,16.92569923400879,16.865699768066406,15.85206676,32.19539612
KAIT1MO,16.416674999999998,15.683544999999999,15.134274,14.646763,15.992199897766113,15.45460033416748,15.249799728393555,15.173199653625488,15.82914396,32.1945079
KAIT1MO,17.737485,17.002599,16.356432,15.943272,17.312999725341797,16.707300186157227,16.416799545288086,16.29210090637207,339.92023921,8.63441635
KAIT1MO,15.410775,14.835685,14.340876000000002,13.945135,15.056500434875488,14.617199897766113,14.434200286865234,14.378499984741211,339.87559935,8.62301144
KAIT1MO,18.880435,17.978729,17.340423,16.915343000000004,18.406299591064453,17.68910026550293,17.424699783325195,17.309900283813477,339.84758619,8.61564846
KAIT1MO,17.552115,16.776841,16.089278,15.615597999999999,17.073299407958984,16.437400817871094,16.15220069885254,16.025299072265625,339.84262825,8.5866169
KAIT1MO,17.94762,17.241708,16.646034000000004,16.064390999999997,17.569700241088867,16.982999801635742,16.72170066833496,16.60059928894043,339.86280472,8.57519568
KAIT1MO,17.25544,16.510896,16.004971,15.452342999999999,16.80470085144043,16.268400192260742,16.006900787353516,15.904500007629395,339.88330821,8.56097099
KAIT1MO,14.51074,13.889116,13.410591,13.014270999999999,14.124099731445312,13.690099716186523,13.564800262451172,13.528900146484375,24.34538743,5.92575642
KAIT1MO,17.198575,16.658604999999998,16.174324,15.741288999999998,16.83639907836914,16.43910026550293,16.286800384521484,16.239500045776367,24.36600956,5.89682854
KAIT1MO,17.84788,17.061192,16.347296,15.847118999999998,17.343700408935547,16.67930030822754,16.401199340820312,16.26460075378418,24.36958647,5.8989581
KAIT1MO,17.99048,16.747232,15.650823999999998,14.832608,17.350799560546875,16.168100357055664,15.544099807739258,15.265700340270996,24.32387924,5.84748937
KAIT1MO,16.035025,15.416035,14.884445999999999,14.512354,15.628399848937988,15.183099746704102,15.010299682617188,14.980799674987793,126.93598241,21.51992159
