survey,NICKEL2MO-B,NICKEL2MO-V,NICKEL2MO-R,NICKEL2MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
NICKEL2MO,14.490836000000002,13.763155999999999,13.310559999999999,12.856404000000001,13.963299751281738,13.47089958190918,-999.0,13.236900329589844,12.02649805,27.65082971
NICKEL2MO,13.757132,13.136972000000002,12.763476,12.385563999999999,-999.0,-999.0,-999.0,-999.0,11.97964653,27.63271106
NICKEL2MO,15.72728,14.92088,14.433411999999999,13.923884,15.138899803161621,14.594400405883789,14.393600463867188,14.325300216674805,12.01954821,27.58329417
NICKEL2MO,18.12928,17.32288,16.771852,16.17868,17.58049964904785,16.956199645996094,16.680400848388672,16.5580997467041,348.70657975,4.51265646
NICKEL2MO,16.182802,15.433042000000002,14.944056,14.386595999999999,15.655500411987305,15.121500015258789,14.901399612426758,14.817700386047363,348.7291692,4.50668649
NICKEL2MO,18.259622,16.828262,15.778024,14.593988,17.2903995513916,16.10140037536621,15.188199996948242,14.77869987487793,21.58575707,-6.05906677
NICKEL2MO,13.67944,12.89224,12.413676,11.876003999999998,-999.0,-999.0,-999.0,-999.0,21.57311035,-6.08589015
NICKEL2MO,18.37081,17.118009999999998,16.280968,15.580719999999998,17.579299926757812,16.45949935913086,15.951299667358398,15.733200073242188,21.56982763,-6.12338997
NICKEL2MO,14.972318,13.936478,13.329532,12.6996,14.309599876403809,13.560799598693848,-999.0,13.091699600219727,103.2078941,50.08866
NICKEL2MO,16.194528000000002,15.633887999999999,15.271832,14.872948,15.799799919128418,15.438799858093262,15.321100234985352,15.300999641418457,103.26880211,50.07898222
NICKEL2MO,18.793222,18.033862000000003,17.59672,17.058632000000003,18.436500549316406,17.84440040588379,17.644500732421875,17.58880043029785,103.26878269,50.0769234
NICKEL2MO,17.304987999999998,16.619547999999998,16.16602,15.630796,16.810300827026367,16.337400436401367,16.130199432373047,16.047399520874023,103.32121649,50.07391675
NICKEL2MO,17.859740000000002,16.92854,16.360496,15.777856,17.243799209594727,16.56450080871582,16.30190086364746,16.197500228881836,103.25293232,50.06385395
NICKEL2MO,16.222763999999998,15.702444,15.347463999999999,14.907364,15.829500198364258,15.484800338745117,15.368900299072266,15.34939956665039,103.32920465,50.06114674
NICKEL2MO,14.156092000000001,13.651131999999999,13.314716,12.946104,13.804900169372559,13.501700401306152,-999.0,13.391400337219238,103.27281988,50.05421328
NICKEL2MO,17.743708,16.424668,15.428516,14.340928000000002,17.057600021362305,15.819499969482422,15.043100357055664,14.698200225830078,103.23831703,50.05482136
NICKEL2MO,17.220222,16.460862000000002,15.953804,15.418816000000001,16.771499633789062,16.244699478149414,16.037900924682617,15.96500015258789,103.23647199,50.0537448
NICKEL2MO,16.204218,15.696378,15.350636,14.977531999999998,15.82349967956543,15.503800392150879,15.395999908447266,15.376700401306152,103.31396337,50.04839824
NICKEL2MO,19.050086,17.722406000000003,16.708264,15.679687999999999,18.25200080871582,17.013599395751953,16.284500122070312,15.969599723815918,103.23233777,50.04449496
NICKEL2MO,15.235186,14.819506,14.527944000000002,14.204580000000002,14.894499778747559,14.671600341796875,14.61769962310791,14.649200439453125,103.30354934,50.03276783
NICKEL2MO,16.729932,16.205772,15.866807999999999,15.45108,16.359100341796875,16.035400390625,15.915900230407715,15.906700134277344,103.21002077,50.03383756
NICKEL2MO,17.401056,16.759776,16.3645,15.909472,16.943899154663086,16.509700775146484,16.367700576782227,16.343399047851562,103.32638741,50.02548792
NICKEL2MO,18.633752,17.907992,17.344784,16.824968,18.079500198364258,17.57110023498535,17.319299697875977,17.247800827026367,103.28277012,50.02470693
NICKEL2MO,16.309326000000002,15.730445999999999,15.336867999999999,14.906352,15.892900466918945,15.49530029296875,15.362000465393066,15.334500312805176,103.31160579,50.0191028
NICKEL2MO,17.558072,16.870712,16.417928,15.945480000000002,17.083099365234375,16.62190055847168,16.457000732421875,16.405000686645508,103.22330536,50.01877675
NICKEL2MO,16.905198,16.214958,15.781904,15.319756,16.415700912475586,15.963700294494629,15.771499633789062,15.71150016784668,103.29746876,50.01820659
NICKEL2MO,18.417890000000003,17.41469,16.760592,16.083508,17.789199829101562,16.953800201416016,16.635099411010742,16.488300323486328,103.30866688,50.01503254
