survey,KAIT4-B,KAIT4-V,KAIT4-R,KAIT4-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
KAIT4,15.095536,14.269392,13.6992235,13.151441,14.582500457763672,13.863100051879883,13.613699913024902,13.526200294494629,182.04883618,65.20134351
KAIT4,15.978179,15.292246,14.815395,14.312349,15.53439998626709,14.963000297546387,14.744500160217285,14.639300346374512,182.04696055,65.16362366
KAIT4,16.675386,16.03852,15.594174,15.137499,16.57939910888672,15.964300155639648,15.623600006103516,15.413800239562988,182.05284964,65.17133478
KAIT4,14.372144,13.958181,13.660489,13.281318,14.06089973449707,13.770400047302246,13.675999641418457,13.613900184631348,85.51950818,18.52127602
KAIT4,15.095086,14.483644,14.056107,13.560084,14.689900398254395,14.169099807739258,13.962499618530273,13.870200157165527,85.46379734,18.5208303
KAIT4,15.007581,14.475953,14.101052,13.6657915,14.639100074768066,14.226200103759766,14.066900253295898,13.996899604797363,85.49188146,18.47180309
KAIT4,16.060305,15.077995,14.403139,13.673506,15.482199668884277,14.576399803161621,14.137299537658691,13.910900115966797,85.43646507,18.5051138
KAIT4,15.788357,15.120603,14.655804,14.134505,15.35509967803955,14.804699897766113,14.556400299072266,14.445500373840332,85.4805157,18.4771788
KAIT4,15.73089,15.196544,14.819854,14.370564,15.358099937438965,14.956399917602539,14.773099899291992,14.691499710083008,85.47793823,18.51201936
KAIT4,16.267954,15.457307,14.897485,14.336143,15.768899917602539,15.059300422668457,14.777099609375,14.643500328063965,85.45905098,18.47581677
KAIT4,16.443727,15.533625,14.907272,14.211871,15.898099899291992,15.087400436401367,14.672200202941895,14.444499969482422,85.43915169,18.52216029
KAIT4,16.222187,15.589864,15.148522,14.632067,15.810099601745605,15.291299819946289,15.048399925231934,14.9399995803833,85.50957791,18.49344677
KAIT4,16.186749,15.6360855,15.2486515,14.817742,15.805399894714355,15.389599800109863,15.218899726867676,15.14780044555664,85.46778096,18.4771388
KAIT4,15.880945,15.555494,15.315576,15.023695,15.614399909973145,15.44320011138916,15.397899627685547,15.377400398254395,85.51841975,18.50883106
KAIT4,16.55812,15.88673,15.419523,14.873281,16.12310028076172,15.561599731445312,15.2923002243042,15.1673002243042,85.46029692,18.52062439
