survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
DES,17.822525024414062,16.723421096801758,16.34653663635254,16.143043518066406,17.77669906616211,16.797300338745117,16.400400161743164,16.221500396728516,42.1072906966565,0.7369725250893572
DES,16.069664001464844,15.538540840148926,15.33785629272461,15.231752395629883,16.0531005859375,15.59000015258789,15.35890007019043,15.261300086975098,42.74605811996619,0.8587385929813255
DES,15.965237617492676,15.148560523986816,14.917381286621094,14.791160583496094,15.909000396728516,15.208700180053711,14.940699577331543,14.830599784851074,42.678766751091445,0.9565750010539873
DES,18.4593505859375,17.44900894165039,17.073089599609375,16.86431121826172,18.37649917602539,17.515600204467773,17.12019920349121,16.935400009155273,41.949913871198405,0.9413893509067321
DES,17.827674865722656,17.388643264770508,17.25568962097168,17.195741653442383,17.77560043334961,17.410499572753906,17.256500244140625,17.218399047851562,42.46329874284227,0.4813671034121267
DES,16.372970581054688,15.788654327392578,15.612436294555664,15.534760475158691,16.3356990814209,15.815899848937988,15.619999885559082,15.558899879455566,42.62647756324948,0.7335461679891426
DES,17.601137161254883,16.335298538208008,15.82815170288086,15.585740089416504,17.53260040283203,16.433399200439453,15.884900093078613,15.657999992370605,42.61709610616333,0.7478019222292951
DES,17.919971466064453,16.496448516845703,15.663880348205566,15.283931732177734,17.84269905090332,16.62660026550293,15.779899597167969,15.384699821472168,42.62803470052673,0.793604982907049
DES,18.1555118560791,17.562101364135742,17.387428283691406,17.29943084716797,18.13089942932129,17.587099075317383,17.405099868774414,17.325300216674805,42.038065372698995,0.9332611623391194
DES,18.221025466918945,16.79730987548828,16.10158920288086,15.77331829071045,18.133800506591797,16.89539909362793,16.19890022277832,15.869400024414062,42.62930463656361,0.9950626459749888
DES,18.97422218322754,17.826026916503906,17.386873245239258,17.15669822692871,18.9197998046875,17.908300399780273,17.443300247192383,17.23200035095215,42.51364401970623,0.975398501252763
DES,18.687849044799805,17.922475814819336,17.652400970458984,17.502885818481445,18.610000610351562,17.986900329589844,17.68600082397461,17.566600799560547,42.62083617080202,0.9875362731839168
DES,18.786081314086914,17.513208389282227,17.007007598876953,16.741819381713867,18.704700469970703,17.60420036315918,17.07990074157715,16.799400329589844,42.4891483273527,0.9778419474248541
DES,18.55160140991211,18.23029899597168,18.132307052612305,18.10174560546875,18.49220085144043,18.245899200439453,18.136600494384766,18.102800369262695,42.54377208367669,0.9731972475161307
DES,18.279863357543945,17.614166259765625,17.405303955078125,17.29677391052246,18.247800827026367,17.66119956970215,17.435699462890625,17.34079933166504,42.61946535602,0.977562153303082
DES,18.47320556640625,17.899524688720703,17.724864959716797,17.633913040161133,18.435300827026367,17.937000274658203,17.742700576782227,17.66950035095215,41.87818211730077,0.9884250869719533
