survey,KAIT3-B,KAIT3-V,KAIT3-R,KAIT3-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
KAIT3,15.001595,14.394176,14.007398,13.623063,14.578900337219238,14.171500205993652,14.04699993133545,14.00879955291748,171.23075099,-9.78913328
KAIT3,15.907925,15.089341,14.576522,14.088258,15.37909984588623,14.75529956817627,14.539400100708008,14.453200340270996,171.28428367,-9.82314189
KAIT3,16.596804,16.051153,15.70101,15.318214,16.20439910888672,15.861000061035156,15.72920036315918,15.712800025939941,171.23108421,-9.76853449
KAIT3,17.141403,16.590694,16.237553,15.868481,16.735599517822266,16.38759994506836,16.268999099731445,16.25979995727539,171.22199909,-9.79062898
KAIT3,17.42468,16.813211,16.424026,16.034454,17.000900268554688,16.587099075317383,16.454700469970703,16.424699783325195,171.27741083,-9.75346046
KAIT3,17.58391,16.962303,16.567095,16.14892,17.17099952697754,16.72450065612793,16.582300186157227,16.529600143432617,171.27316416,-9.84321402
KAIT3,17.852821,17.055595,16.555582,16.087517,17.26810073852539,16.645200729370117,16.473100662231445,16.43600082397461,171.26213166,-9.82007499
KAIT3,17.863419,16.63027,15.866447,15.109862,17.09480094909668,16.062599182128906,15.607000350952148,15.40999984741211,195.74460089,50.65731867
KAIT3,18.473278,17.331278,16.623041,15.92223,17.78820037841797,16.84469985961914,16.437000274658203,16.24970054626465,195.8160269,50.59777387
KAIT3,18.504599,17.715504,17.220362,16.694687,18.0039005279541,17.413400650024414,17.14620018005371,17.050500869750977,195.76592659,50.61860429
KAIT3,16.616455,15.635894,15.025561,14.399361,16.01020050048828,15.231200218200684,14.886899948120117,14.734000205993652,160.09723527,9.17816537
KAIT3,17.171152,16.112997,15.455696,14.798334,16.521900177001953,15.659500122070312,15.286999702453613,15.116299629211426,160.13474122,9.1808413
KAIT3,17.351465,16.876616,16.568333,16.21366,17.004600524902344,16.742300033569336,16.62310028076172,16.595399856567383,160.13321949,9.22096237
KAIT3,17.766115,17.18098,16.807432,16.393341,17.336599349975586,16.9689998626709,16.808900833129883,16.77829933166504,160.13553906,9.18588257
KAIT3,14.971208,14.196344,13.709724,13.2308855,14.468600273132324,13.883600234985352,13.666500091552734,13.549699783325195,127.86270941,-1.20055081
KAIT3,15.399496,14.670352,14.21107,13.754799,14.886799812316895,14.323800086975098,14.137900352478027,14.07800006866455,127.87176127,-1.19865645
KAIT3,15.692254,15.124336,14.760998,14.378923,15.289400100708008,14.921899795532227,14.794099807739258,14.775199890136719,127.85904013,-1.19037568
KAIT3,15.781116,15.195981,14.8224325,14.439372,15.375,14.98449993133545,14.856599807739258,14.834099769592285,127.87040009,-1.23150464
KAIT3,15.933129,15.449181,15.135526,14.7923355,15.577099800109863,15.280500411987305,15.201000213623047,15.195099830627441,127.9005704,-1.24547001
KAIT3,16.25665,15.602604,15.188102,14.793109,15.817099571228027,15.357099533081055,15.224200248718262,15.199700355529785,127.86646694,-1.21540935
KAIT3,16.838402,16.312992,15.974831,15.622231,16.457500457763672,16.133899688720703,16.037799835205078,16.027599334716797,127.88983047,-1.24149189
KAIT3,17.65063,16.757742,16.200277,15.663899,17.091699600219727,16.391000747680664,16.13409996032715,16.020200729370117,127.88801472,-1.16631567
KAIT3,16.851652,16.197603,15.7831,15.311032,16.415800094604492,15.933600425720215,15.73009967803955,15.649900436401367,6.9118938,-1.15459774
KAIT3,16.50155,16.14785,15.910866,15.648401,16.188400268554688,16.03260040283203,16.034500122070312,16.066299438476562,6.9649423,-1.24343056
KAIT3,18.14471,17.201885,16.614336,16.040213,17.54640007019043,16.80769920349121,16.515300750732422,16.38249969482422,6.94923666,-1.23336173
KAIT3,18.249878,17.48721,17.00789,16.507704,17.743200302124023,17.176799774169922,16.947900772094727,16.892000198364258,6.9239656,-1.18264426
KAIT3,18.74036,18.300873,18.013445,17.669846,18.402799606323242,18.145700454711914,18.054399490356445,18.020999908447266,6.98209633,-1.24403182
KAIT3,15.573032,14.463767,13.77544,13.150416,14.892499923706055,13.973299980163574,13.613499641418457,13.37399959564209,121.58522097,-27.55567071
KAIT3,14.713017,14.327036,14.0710945,13.746658,14.401800155639648,14.190600395202637,14.12399959564209,14.121299743652344,121.53420961,-27.53188101
KAIT3,15.630084,14.95778,14.532403,14.077322,15.167400360107422,14.688400268554688,14.509499549865723,14.450599670410156,121.57299174,-27.56462384
KAIT3,15.62694,14.9820175,14.572946,14.138432,15.186200141906738,14.716300010681152,14.554900169372559,14.516799926757812,121.56962514,-27.54185756
KAIT3,15.798028,15.525946,15.336764,15.121216,15.53339958190918,15.476099967956543,15.5,15.53030014038086,121.5759259,-27.56094009
