survey,PS1_AB_g,PS1_AB_r,PS1_AB_i,PS1_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC
PS1_AB,18.021499633789062,17.663700103759766,17.519500732421875,17.50349998474121,18.014999389648438,17.655000686645508,17.521699905395508,17.549999237060547,37.24555360382307,-3.5480628749570826
PS1_AB,18.56450080871582,18.18280029296875,18.0039005279541,17.97909927368164,18.56170082092285,18.20359992980957,18.015100479125977,17.97369956970215,37.18176839264892,-3.454074101689673
PS1_AB,17.410900115966797,17.105100631713867,16.98940086364746,16.964099884033203,17.42289924621582,17.107999801635742,16.988100051879883,16.957399368286133,37.23519304406139,-3.4634936640151124
PS1_AB,18.490400314331055,17.938400268554688,17.669099807739258,17.590900421142578,18.495899200439453,17.912200927734375,17.650299072265625,17.55419921875,37.31405157597131,-3.6241930822730946
PS1_AB,18.0625,17.556499481201172,17.32379913330078,17.251399993896484,18.04450035095215,17.555500030517578,17.3346004486084,17.25160026550293,37.043369386247484,-3.593031778967485
PS1_AB,18.73349952697754,17.66069984436035,17.163999557495117,16.954500198364258,18.722000122070312,17.653400421142578,17.16320037841797,16.961700439453125,37.235595827577384,-3.562386501956812
PS1_AB,18.86440086364746,17.861499786376953,17.435300827026367,17.2367000579834,18.85260009765625,17.867599487304688,17.435400009155273,17.247600555419922,37.06444616293645,-3.7017843373398986
PS1_AB,18.61199951171875,18.248899459838867,18.078399658203125,18.03809928894043,18.58930015563965,18.24880027770996,18.07740020751953,18.047399520874023,37.08430160170292,-3.609475122403229
PS1_AB,18.140300750732422,17.321399688720703,16.98270034790039,16.850900650024414,18.12350082397461,17.32080078125,16.97800064086914,16.84950065612793,37.279751737920265,-3.7981379939971704
PS1_AB,18.9158992767334,17.749900817871094,17.17490005493164,16.937000274658203,18.918699264526367,17.75160026550293,17.176300048828125,16.936800003051758,37.29136601956282,-3.8034745038728164
PS1_AB,17.726499557495117,17.434499740600586,17.352100372314453,17.33690071105957,17.71299934387207,17.438600540161133,17.351499557495117,17.35689926147461,37.11207037257875,-3.7226224914864496
PS1_AB,18.90880012512207,17.70829963684082,17.00349998474121,16.68560028076172,18.92530059814453,17.707799911499023,17.006799697875977,16.689599990844727,37.2528507947383,-3.735564493859275
PS1_AB,18.32080078125,18.18429946899414,18.085100173950195,18.11669921875,18.307199478149414,18.156299591064453,18.1112003326416,18.127700805664062,37.16669133352691,-3.742094582429617
PS1_AB,18.563499450683594,18.287099838256836,18.164899826049805,18.145299911499023,18.562599182128906,18.273300170898438,18.168500900268555,18.152299880981445,37.16721712163587,-3.7555095723294634
PS1_AB,17.391799926757812,17.443700790405273,17.278900146484375,17.101999282836914,17.383699417114258,17.407800674438477,17.276199340820312,17.1072998046875,37.22171190863158,-3.6269797654818365
PS1_AB,18.53860092163086,17.990800857543945,17.78510093688965,17.7052001953125,18.564800262451172,18.00309944152832,17.776899337768555,17.71150016784668,37.2261338815505,-3.673804923188623
