,B,I,R,V,shifts
0,-2.468458488689331,-0.12456821978061006,-2.6667467936679823,0.4596194077712524,-50
1,-2.4725258202649947,-0.12456821978061006,-2.6047294263733782,0.4949747468305837,-49
2,-2.443663651156843,-0.08304547985374004,-2.5427120590787737,0.5303300858899072,-48
3,-2.424422205084742,-0.08304547985374004,-2.5427120590787737,0.5656854249492386,-47
4,-2.405180759012641,-0.04152273992687002,-2.5427120590787737,0.601040764008562,-46
5,-2.398962924062659,-0.04152273992687002,-2.4806946917841697,0.6363961030678933,-45
6,-2.379538123058103,-0.04152273992687002,-2.418677324489565,0.7071067811865481,-44
7,-2.350400921551269,0.0,-2.418677324489565,0.7071067811865481,-43
8,-2.3533936216582085,0.0,-2.418677324489565,0.777817459305203,-42
9,-2.3337820081443903,0.04152273992687002,-2.2946425899003566,0.777817459305203,-41
10,-2.3141703946305716,0.04152273992687002,-2.2946425899003566,0.8485281374238578,-40
11,-2.2945587811167534,0.04152273992687002,-2.2946425899003566,0.8485281374238578,-39
12,-2.287128712871287,0.08304547985374004,-2.2326252226057526,0.9192388155425126,-38
13,-2.257425742574257,0.08304547985374004,-2.170607855311148,0.9192388155425126,-37
14,-2.2376237623762374,0.12456821978061006,-2.170607855311148,0.954594154601836,-36
15,-2.2395521343552156,0.12456821978061006,-2.170607855311148,0.9899494936611674,-35
16,-2.2195561331556157,0.12456821978061006,-2.0465731207219395,1.0253048327204908,-34
17,-2.1995601319560154,0.16609095970748008,-2.0465731207219395,1.0606601717798223,-33
18,-2.1695661301566154,0.16609095970748008,-2.0465731207219395,1.0960155108391456,-32
19,-2.170831389209961,0.20761369963435009,-1.9845557534273353,1.1313708498984771,-31
20,-2.150637608845217,0.20761369963435009,-1.922538386132731,1.1667261889578004,-30
21,-2.130443828480473,0.201948097930505,-1.922538386132731,1.2020815280171318,-29
22,-2.121124242764812,0.24233771751660602,-1.922538386132731,1.2374368670764553,-28
23,-2.0905311046480115,0.24233771751660602,-1.8605210188381267,1.2727922061357866,-27
24,-2.0701356792368113,0.28272733710270703,-1.7985036515435224,1.3081475451951101,-26
25,-2.049740253825611,0.28272733710270703,-1.7985036515435224,1.3435028842544414,-25
26,-2.049804286445928,0.28272733710270703,-1.7985036515435224,1.378858223313765,-24
27,-2.0292032383409437,0.323116956688808,-1.6744689169543139,1.4495689014324198,-23
28,-2.008602190235959,0.323116956688808,-1.6744689169543139,1.4495689014324198,-22
29,-1.9978333868626432,0.363506576274909,-1.6744689169543139,1.5202795795510746,-21
30,-1.9770226224161573,0.363506576274909,-1.6124515496597114,1.5202795795510746,-20
31,-1.9458064757464286,0.363506576274909,-1.550434182365107,1.5909902576697295,-19
32,-1.9249957112999427,0.40389619586101,-1.550434182365107,1.5909902576697295,-18
33,-1.9237595802890488,0.40389619586101,-1.550434182365107,1.6263455967290608,-17
34,-1.902734885422502,0.44428581544711104,-1.4263994477758986,1.6617009357883843,-16
35,-1.8817101905559548,0.44428581544711104,-1.4263994477758986,1.6970562748477156,-15
36,-1.8889818700749146,0.44428581544711104,-1.4263994477758986,1.7324116139070391,-14
37,-1.8675161670058815,0.48467543503321203,-1.3643820804812943,1.7677669529663704,-13
38,-1.8460504639368482,0.48467543503321203,-1.30236471318669,1.8031222920256937,-12
39,-1.8245847608678152,0.5250650546193131,-1.30236471318669,1.8384776310850253,-11
40,-1.8113693227857794,0.5250650546193131,-1.30236471318669,1.8738329701443486,-10
41,-1.7896762770039139,0.5250650546193131,-1.2403473458920857,1.9091883092036799,-9
42,-1.7571367083311153,0.5654546742054141,-1.1783299785974815,1.9445436482630034,-8
43,-1.7540106324883973,0.605844293791515,-1.1783299785974815,1.9798989873223347,-7
44,-1.7320854995822923,0.605844293791515,-1.1783299785974815,2.0152543263816582,-6
45,-1.7101603666761873,0.605844293791515,-1.054295244008273,2.0506096654409895,-5
46,-1.6882352337700823,0.605844293791515,-1.054295244008273,2.0859650045003133,-4
47,-1.6843203872761583,0.6462339133776149,-1.054295244008273,2.1213203435596446,-3
48,-1.6621582769172614,0.6462339133776149,-0.9922778767136685,2.156675682618968,-2
49,-1.6289151113789162,0.6866235329637159,-0.9302605094190642,2.192031021678299,-1
50,-1.613097353510825,0.6866235329637159,-0.9302605094190642,2.192031021678299,0
51,-1.5906932236009526,0.6866235329637159,-0.9302605094190642,2.2627416997969503,1
52,-1.56828909369108,0.7270131525498169,-0.86824314212446,2.2980970388562776,2
53,-1.5458849637812073,0.7674027721359179,-0.8062257748298557,2.333452377915605,3
54,-1.5402917636898923,0.7674027721359179,-0.8062257748298557,2.368807716974932,4
55,-1.5176404142238644,0.7674027721359179,-0.8062257748298557,2.40416305603426,5
56,-1.4836633900248228,0.7674027721359179,-0.6821910402406471,2.4395183950935873,6
57,-1.461012040558795,0.8077923917220189,-0.6821910402406471,2.4748737341529146,7
58,-1.4543997691572255,0.8481820113081199,-0.6821910402406471,2.510229073212242,8
59,-1.4314958357846708,0.8481820113081199,-0.6201736729460429,2.545584412271569,9
60,-1.408591902412116,0.8481820113081199,-0.5581563056514386,2.580939751330897,10
61,-1.3897231638362384,0.8481820113081199,-0.5581563056514386,2.6162950903902242,11
62,-1.3665611111056344,0.888571630894221,-0.5407575913134992,2.6516504294495515,12
63,-1.3433990583750304,0.928961250480322,-0.4806734145008882,2.687005768508879,13
64,-1.3086559792791244,0.928961250480322,-0.42058923768827716,2.7223611075682066,14
65,-1.300136658182223,0.928961250480322,-0.42058923768827716,2.757716446627534,15
66,-1.27671077244921,0.928961250480322,-0.42058923768827716,2.793071785686861,16
