,B,V,g,i,m,n,o,r,shifts
0,-1.6098338682511197,-0.037877700953924336,-3.0678599553894825,-1.116312611302876,1.893885047696427,1.893885047696427,1.893885047696427,-2.066164449649379,-50
1,-1.5923861991801644,0.0,-2.9911634565047454,-1.116312611302876,1.9317627486503557,1.9317627486503557,1.9317627486503557,-1.99491739966147,-49
2,-1.5684405420496357,0.037877700953932746,-2.914466957620008,-1.116312611302876,1.9696404496042843,1.9696404496042843,1.9696404496042843,-1.99491739966147,-48
3,-1.544494884919107,0.07575540190785708,-2.8761187081776396,-1.0542952440082718,2.0453958515121413,2.0453958515121413,2.0453958515121413,-1.9236703496735603,-47
4,-1.520549227788578,0.11363310286178983,-2.837770458735271,-0.9922778767136676,2.0453958515121413,2.0453958515121413,2.0453958515121413,-1.8524232996856507,-46
5,-1.5139563922889845,0.18938850476964691,-2.7610739598505343,-0.9922778767136676,2.1211512534199986,2.1211512534199986,2.1211512534199986,-1.8524232996856507,-45
6,-1.494936398257409,0.18938850476964691,-2.773500981126146,-0.9922778767136676,2.1211512534199986,2.1211512534199986,2.1211512534199986,-1.781176249697741,-44
7,-1.4704292441876154,0.265143906677504,-2.694258095951113,-0.9922778767136676,2.1969066553278553,2.1969066553278553,2.1969066553278553,-1.7099291997098314,-43
8,-1.4506485601950605,0.265143906677504,-2.6546366533635966,-0.9922778767136676,2.1969066553278553,2.1969066553278553,2.1969066553278553,-1.7099291997098314,-42
9,-1.4258511489096748,0.3408993085853611,-2.575393768188564,-0.8682431421244591,2.2726620572357126,2.2726620572357126,2.2726620572357126,-1.6386821497219217,-41
10,-1.401053737624289,0.3408993085853611,-2.496150883013531,-0.8682431421244591,2.2726620572357126,2.2726620572357126,2.2726620572357126,-1.5674350997340118,-40
11,-1.3762563263389034,0.37877700953928545,-2.539618953609026,-0.8682431421244591,2.34841745914357,2.34841745914357,2.34841745914357,-1.5674350997340118,-39
12,-1.3676382960476516,0.41665471049321817,-2.4576957615571215,-0.8682431421244591,2.34841745914357,2.34841745914357,2.34841745914357,-1.4961880497461024,-38
13,-1.3425440153862267,0.4545324114471425,-2.4167341655311696,-0.8682431421244591,2.4241728610514266,2.4241728610514266,2.4241728610514266,-1.4249409997581928,-37
14,-1.2923554540633773,0.49241011240107524,-2.3348109734792657,-0.8682431421244591,2.4241728610514266,2.4241728610514266,2.4241728610514266,-1.4249409997581928,-36
15,-1.2672611734019523,0.5302878133549996,-2.2528877814273613,-0.7442084075352507,2.499928262959284,2.499928262959284,2.499928262959284,-1.4249409997581928,-35
16,-1.2571998743031088,0.6060432152628566,-2.1709645893754574,-0.7442084075352507,2.5378059639132124,2.5378059639132124,2.5378059639132124,-1.2824468997823737,-34
17,-1.2318018970444602,0.6060432152628566,-2.160939352895882,-0.7442084075352507,2.575683664867141,2.575683664867141,2.575683664867141,-1.2824468997823737,-33
18,-1.2064039197858114,0.6817986171707138,-2.1926450482675723,-0.7371541402007414,2.6135613658210652,2.6135613658210652,2.6135613658210652,-1.2824468997823737,-32
19,-1.1954557048950674,0.6817986171707138,-2.148792147302221,-0.7371541402007414,2.6135613658210652,2.6135613658210652,2.6135613658210652,-1.1399527998065542,-31
20,-1.1697469800586142,0.7575540190785709,-2.061086345371518,-0.6757246285173463,2.6893167677289225,2.6893167677289225,2.6893167677289225,-1.1399527998065542,-30
21,-1.1311838928039346,0.7575540190785709,-1.973380543440815,-0.6142951168339511,2.6893167677289225,2.6893167677289225,2.6893167677289225,-1.1399527998065542,-29
22,-1.092620805549255,0.8333094209864279,-1.9525294195019494,-0.6142951168339511,2.7650721696367793,2.7650721696367793,2.7650721696367793,-0.997458699830735,-28
23,-1.0801103841729827,0.8333094209864279,-1.8617140976646493,-0.6142951168339511,2.7650721696367793,2.7650721696367793,2.7650721696367793,-0.997458699830735,-27
24,-1.0540836279278505,0.909064822894285,-1.8617140976646493,-0.6142951168339511,2.8408275715446365,2.8408275715446365,2.8408275715446365,-0.997458699830735,-26
25,-1.0280568716827183,0.909064822894285,-1.7708987758273493,-0.6142951168339511,2.8408275715446365,2.8408275715446365,2.8408275715446365,-0.8549645998549157,-25
26,-1.0145640826373559,0.9848202248021422,-1.6800834539900493,-0.49143609346716094,2.9165829734524937,2.9165829734524937,2.9165829734524937,-0.8549645998549157,-24
27,-0.9882117688026193,1.0226979257560707,-1.5892681321527493,-0.49143609346716094,2.9165829734524937,2.9165829734524937,2.9165829734524937,-0.8549645998549157,-23
28,-0.9618594549678827,1.0605756267099993,-1.5521894328329355,-0.49143609346716094,2.9923383753603505,2.9923383753603505,2.9923383753603505,-0.7124704998790964,-22
29,-0.922330984215778,1.0984533276639277,-1.5051533894137556,-0.49143609346716094,2.9923383753603505,2.9923383753603505,2.9923383753603505,-0.7124704998790964,-21
30,-0.9073120959469602,1.1363310286178563,-1.4581173459945758,-0.49143609346716094,3.0680937772682078,3.0680937772682078,3.0680937772682078,-0.7124704998790964,-20
31,-0.8672836211257707,1.174208729571785,-1.364045259156216,-0.49143609346716094,3.1059714782221404,3.1059714782221404,3.1059714782221404,-0.5699763999032771,-19
32,-0.8405979712449778,1.2120864305257133,-1.2699731723178576,-0.3685770701003706,3.143849179176065,3.143849179176065,3.143849179176065,-0.5699763999032771,-18
33,-0.8139123213641849,1.249964131479642,-1.1759010854794978,-0.3685770701003706,3.1817268801299976,3.1817268801299976,3.1817268801299976,-0.5699763999032771,-17
34,-0.7972972972972979,1.2878418324335705,-1.1696884291885914,-0.3685770701003706,3.219604581083922,3.219604581083922,3.219604581083922,-0.4987293499153675,-16
35,-0.7702702702702708,1.325719533387499,-1.0722143934228754,-0.3685770701003706,3.257482282037855,3.257482282037855,3.257482282037855,-0.42748229992745784,-15
36,-0.7432432432432438,1.3635972343414275,-1.0234773755400175,-0.3685770701003706,3.295359982991779,3.295359982991779,3.295359982991779,-0.42748229992745784,-14
37,-0.7117946873727581,1.4014749352953562,-0.9260033397743016,-0.24571804673358047,3.3332376839457116,3.3332376839457116,3.3332376839457116,-0.35623524993954814,-13
38,-0.684417968627652,1.4772303372032132,-0.8285293040085856,-0.24571804673358047,3.3711153848996362,3.3711153848996362,3.3711153848996362,-0.28498819995163854,-12
39,-0.6433528905099929,1.4772303372032132,-0.7797922861257276,-0.24571804673358047,3.408993085853569,3.408993085853569,3.408993085853569,-0.28498819995163854,-11
40,-0.6159761717648868,1.5529857391110702,-0.7071067811865481,-0.24571804673358047,3.408993085853569,3.408993085853569,3.408993085853569,-0.28498819995163854,-10
41,-0.33194182931086064,1.893885047696427,0.10468478451804283,0.0,3.8256477963467788,3.8256477963467788,3.8256477963467788,0.28498819995163843,-9
42,-0.5685677011308603,1.6287411410189274,-0.5555838995037164,-0.1819017187772497,3.484748487761426,3.484748487761426,3.484748487761426,-0.14249409997581927,-8
43,-0.5408326913195988,1.6287411410189274,-0.45456864504849526,-0.12126781251816639,3.560503889669283,3.560503889669283,3.560503889669283,-0.14249409997581927,-7
44,-0.5198906407900096,1.7044965429267844,-0.40406101782088466,-0.12126781251816639,3.560503889669283,3.560503889669283,3.560503889669283,0.0,-6
45,-0.4983753003347776,1.7044965429267844,-0.3030457633656635,-0.12126781251816639,3.63625929157714,3.63625929157714,3.63625929157714,0.0,-5
46,-0.45565741744893956,1.742374243880713,-0.20936956903608567,-0.12126781251816639,3.6741369925310643,3.6741369925310643,3.6741369925310643,0.0,-4
47,-0.4271788288583808,1.7802519448346414,-0.10468478451804283,-0.12126781251816639,3.7120146934849974,3.7120146934849974,3.7120146934849974,0.14249409997581927,-3
48,-0.3896708431040538,1.81812964578857,-0.10468478451804283,0.0,3.7498923944389215,3.7498923944389215,3.7498923944389215,0.14249409997581927,-2
49,-0.3608063362074572,1.8560073467424987,0.0,0.0,3.787770095392854,3.787770095392854,3.787770095392854,0.14249409997581927,-1
50,-0.33194182931086064,1.893885047696427,0.10468478451804283,0.0,3.8256477963467788,3.8256477963467788,3.8256477963467788,0.28498819995163843,0
51,-0.30307732241426405,1.9317627486503557,0.20936956903608567,0.0,3.8635254973007114,3.8635254973007114,3.8635254973007114,0.28498819995163843,1
52,-0.27797272459081035,1.9696404496042843,0.3140543535541285,0.0,3.9014031982546356,3.9014031982546356,3.9014031982546356,0.28498819995163843,2
53,-0.24871243779177765,2.0453958515121413,0.3796283011826486,0.0606339062590833,3.9392808992085686,3.9392808992085686,3.9392808992085686,0.42748229992745784,3
54,-0.219452150992745,2.0453958515121413,0.4338609156373127,0.1212678125181666,3.977158600162493,3.977158600162493,3.977158600162493,0.42748229992745784,4
55,-0.19019186419371234,2.1211512534199986,0.5423261445466402,0.1212678125181666,4.015036301116425,4.015036301116425,4.015036301116425,0.42748229992745784,5
56,-0.14833138649666172,2.1211512534199986,0.6507913734559684,0.1212678125181666,4.05291400207035,4.05291400207035,4.05291400207035,0.569976399903277,6
57,-0.11866510919732937,2.1969066553278553,0.7592566023652958,0.1212678125181666,4.090791703024283,4.090791703024283,4.090791703024283,0.569976399903277,7
