,B,V,g,i,m,n,o,r,shifts
54,4.0625,-3.5000000000000004,0.2857142857142857,0.7,-1.0999999999999999,-1.0999999999999999,-1.0999999999999999,1.6,4
55,4.1875,-3.4000000000000004,0.35714285714285715,0.7,-1.0,-1.0,-1.0,1.6,5
56,4.25,-3.4000000000000004,0.42857142857142855,0.7,-1.0,-1.0,-1.0,1.7000000000000002,6
57,4.375,-3.3000000000000003,0.5,0.7,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,1.7000000000000002,7
58,4.437499999999999,-3.3000000000000003,0.5714285714285714,0.7,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,1.7000000000000002,8
59,4.5625,-3.2,0.6428571428571428,0.8,-0.8,-0.8,-0.8,1.7999999999999998,9
60,4.6875,-3.2,0.7142857142857143,0.8,-0.8,-0.8,-0.8,1.7999999999999998,10
61,4.75,-3.1,0.7857142857142857,0.8,-0.7,-0.7,-0.7,1.7999999999999998,11
62,4.8125,-3.1,0.8571428571428571,0.8,-0.7,-0.7,-0.7,1.7999999999999998,12
63,4.9375,-3.1,0.9285714285714285,0.8,-0.6,-0.6,-0.6,1.9,13
64,5.0,-3.0,1.0,0.8,-0.6,-0.6,-0.6,1.9,14
65,5.125,-3.0,1.0714285714285714,0.8999999999999999,-0.5,-0.5,-0.5,1.9,15
66,5.1875,-2.9,1.1428571428571428,0.8999999999999999,-0.5,-0.5,-0.5,2.0,16
67,5.3125,-2.9,1.2142857142857144,0.8999999999999999,-0.4,-0.4,-0.4,2.0,17
68,5.374999999999999,-2.8,1.2857142857142856,0.8999999999999999,-0.4,-0.4,-0.4,2.0,18
69,5.5,-2.8,1.357142857142857,0.8999999999999999,-0.3,-0.3,-0.3,2.0,19
70,5.5625,-2.6999999999999997,1.4285714285714286,0.8999999999999999,-0.3,-0.3,-0.3,2.1,20
71,5.6875,-2.6999999999999997,1.5,1.0,-0.2,-0.2,-0.2,2.1,21
72,5.75,-2.5999999999999996,1.5714285714285714,1.0,-0.2,-0.2,-0.2,2.1,22
73,5.875,-2.5999999999999996,1.6428571428571428,1.0,-0.1,-0.1,-0.1,2.1,23
74,5.9375,-2.5,1.7142857142857142,1.0,-0.1,-0.1,-0.1,2.1999999999999997,24
