survey,ZTF-g,ZTF-r,ZTF-i,ZTF-G,ZTF-R,ZTF-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_ZTF-g,GAIA_ZTF-r,GAIA_ZTF-i,GAIA_ZTF-G,GAIA_ZTF-R,GAIA_ZTF-I
ZTF,17.4364,16.989,16.8083,99,99,99,17.3899,17.022,16.8606,16.8357,263.17,78.418,0.1672,0.110332,0.0802881,0.1676,0.109901,0.0802373,0.1626,0.115732,0.0858305,0.0683054,1705523030682400640,17.4633,17.0062,16.8604,17.4752,17.0037,16.8603
ZTF,99,99,99,16.3611,15.9331,15.7621,16.3482,15.9729,15.814,15.7775,230.035,20.4386,0.203806,0.134851,0.0977966,0.204294,0.134324,0.0977345,0.1982,0.141451,0.104571,0.0832069,-999,-999,-999,-999,-999,-999,-999
ZTF,17.3559,16.5175,99,99,99,99,17.3137,16.5742,16.2811,16.1617,308.515,-27.2612,0.189975,0.125592,0.0907966,0.190425,0.125113,0.0907345,0.1848,0.131592,0.0975706,0.0769064,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.6378,99,99,17.6096,17.0479,16.8317,16.7286,283.301,31.0885,0.46305,0.30622,0.22161,0.46415,0.30507,0.221463,0.4504,0.32062,0.237621,0.188616,-999,-999,-999,-999,-999,-999,-999
ZTF,16.8657,16.3856,99,99,99,99,16.8227,16.4001,16.2264,16.169,331.649,36.4365,0.459106,0.303961,0.21961,0.460194,0.302859,0.219463,0.4466,0.317761,0.235621,0.186616,1954646763236336896,16.8536,16.3672,16.215,16.8668,16.3645,16.2147
ZTF,99,99,99,17.701,16.7899,16.4385,17.6103,16.8415,16.5093,16.3568,71.1895,75.225,0.577812,0.381775,0.276136,0.579187,0.380338,0.275955,0.562,0.399775,0.295842,0.23502,550187307780000128,17.7028,16.7957,16.4673,17.7234,16.7907,16.4668
ZTF,99,99,99,17.1418,15.988,15.5634,17.0667,16.0684,15.6475,15.4344,73.9659,10.0264,1.01614,0.672476,0.485492,1.01856,0.669986,0.485169,0.9884,0.703676,0.520593,0.413734,3291421631509220096,17.1786,15.9926,15.5823,17.2049,15.9862,15.5816
ZTF,99,99,99,17.0396,16.5136,99,16.9962,16.541,16.3581,16.299,97.997,62.9656,0.303737,0.200887,0.145322,0.304462,0.200169,0.145226,0.2954,0.209887,0.155791,0.12331,1007229586793971712,17.0387,16.507,16.3556,17.053,16.5044,16.3554
ZTF,16.382,15.8084,15.6095,99,99,99,16.343,15.8534,15.6588,15.6124,142.852,23.7426,0.0979312,0.0652958,0.0465254,0.0981687,0.0650563,0.0464915,0.0952,0.0682958,0.0502203,0.0401034,644418752813117184,16.38,15.8118,15.6446,16.396,15.809,15.6443
ZTF,99,99,99,17.1495,16.7166,99,17.1095,16.7455,16.6089,16.5884,117.441,32.5271,0.231525,0.15311,0.110305,0.232075,0.152535,0.110232,0.2252,0.16031,0.118311,0.0938079,881747581755427968,17.1359,16.7215,16.6059,17.1482,16.7197,16.6058
ZTF,99,99,99,17.1303,16.4203,16.144,17.082,16.4671,16.2104,16.0989,44.0442,37.9591,0.327512,0.216406,0.156576,0.328288,0.215592,0.156475,0.3186,0.226606,0.167661,0.133611,143039526403656320,17.1478,16.4284,16.1797,17.1675,16.425,16.1793
ZTF,99,99,99,17.4163,16.92,99,17.3708,16.9478,16.7762,16.7272,254.99,2.85055,0.318625,0.211146,0.152576,0.319375,0.21038,0.152475,0.31,0.220746,0.163661,0.129611,4385277715070523904,17.4217,16.9273,16.7637,17.4348,16.9247,16.7634
ZTF,99,99,99,17.54,16.5361,99,17.4242,16.5785,16.1548,15.9468,84.0811,-3.49016,1.56229,1.03347,0.747119,1.56601,1.02969,0.746627,1.5196,1.08087,0.800695,0.636153,3215914182300264704,17.5617,16.5499,16.1222,17.5857,16.5432,16.1215
ZTF,99,99,99,15.8722,15.428,15.2693,15.8434,15.4473,15.2927,15.2687,196.686,-10.7055,0.141481,0.0938141,0.0680339,0.141819,0.0934789,0.0679887,0.1376,0.0980141,0.0729605,0.0577044,3622916725060615936,15.8715,15.4296,15.2957,15.8842,15.4273,15.2955
ZTF,99,99,99,17.5591,17.1185,16.9568,17.5304,17.157,17.0062,16.9649,135.381,-1.04788,0.0999312,0.0662958,0.0482712,0.100169,0.0660563,0.0482429,0.0972,0.0692958,0.0513503,0.0411034,-999,-999,-999,-999,-999,-999,-999
ZTF,17.7227,17.1934,99,99,99,99,17.6905,17.2168,17.0138,16.9359,231.882,0.149617,0.2543,0.168369,0.121559,0.2549,0.167746,0.12148,0.2474,0.176169,0.130181,0.103409,-999,-999,-999,-999,-999,-999,-999
ZTF,17.6294,17.1048,16.8941,99,99,99,17.5951,17.1347,16.9507,16.8755,262.221,78.4981,0.174144,0.115332,0.0832881,0.174556,0.114901,0.0832373,0.1694,0.120732,0.0888305,0.0706059,1705569141451274240,17.6477,17.1037,16.9347,17.6632,17.1009,16.9345
ZTF,99,99,99,16.7947,16.3907,99,16.7738,16.4221,16.2904,16.2692,232.472,27.8516,0.0979875,0.0652958,0.0472712,0.0982125,0.0650563,0.0472429,0.0954,0.0682958,0.0503503,0.0401034,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,15.5737,15.0925,14.9277,15.5565,15.1402,14.9742,14.939,257.076,18.4633,0.231525,0.15311,0.111051,0.232075,0.152535,0.110983,0.2252,0.16031,0.118441,0.0945074,-999,-999,-999,-999,-999,-999,-999
ZTF,17.5705,99,99,99,99,99,17.5328,16.8139,16.4766,16.3237,333.91,45.2099,1.11607,0.738772,0.533763,1.11872,0.736042,0.533412,1.0856,0.772972,0.571944,0.454138,-999,-999,-999,-999,-999,-999,-999
ZTF,16.5771,16.125,15.9597,99,99,99,16.5678,16.162,16.0116,15.9747,334.603,36.0152,0.354175,0.233665,0.169085,0.355025,0.232803,0.168972,0.3444,0.244465,0.181401,0.144212,-999,-999,-999,-999,-999,-999,-999
ZTF,16.011,15.401,15.2018,99,99,99,15.9798,15.4414,15.2556,15.1883,270.45,30.6926,0.149369,0.0988141,0.0710339,0.149731,0.0984789,0.0709887,0.1452,0.103014,0.0759605,0.0610049,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.0028,16.5441,99,16.9741,16.5724,16.4205,16.378,309.894,-3.28526,0.244413,0.16211,0.117305,0.244987,0.161535,0.117232,0.2378,0.16931,0.125311,0.0998079,4224645457162546944,17.0159,16.5528,16.4047,17.0291,16.5504,16.4045
ZTF,17.6733,16.9748,99,99,99,99,17.6354,17.0169,16.7792,16.7022,156.133,-26.6442,0.224581,0.148851,0.107305,0.225119,0.148324,0.107232,0.2184,0.155451,0.115311,0.0915074,5468976338413021184,17.6916,16.9883,16.765,17.7116,16.9847,16.7647
ZTF,99,99,99,17.8478,17.3196,99,17.8043,17.3508,17.1638,17.1003,184.552,5.6124,0.0662688,0.0437775,0.0317627,0.0664312,0.0436338,0.0317458,0.0644,0.0455775,0.0336102,0.027202,-999,-999,-999,-999,-999,-999,-999
ZTF,17.8375,17.0097,99,99,99,99,17.7965,17.0651,16.7327,16.5875,192.46,-12.5604,0.1672,0.111073,0.0802881,0.1676,0.11069,0.0802373,0.1626,0.115873,0.0858305,0.0683054,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,16.1934,15.7417,99,16.1693,15.7779,15.6368,15.6019,310.061,-3.34506,0.194919,0.128592,0.0927966,0.195381,0.128113,0.0927345,0.1896,0.134592,0.0995706,0.0792069,4224630682474979200,16.1923,15.7448,15.6184,16.2055,15.7423,15.6182
ZTF,99,99,99,15.879,15.3365,15.166,15.8509,15.379,15.2193,15.1894,140.994,49.3396,0.062325,0.0410366,0.0297627,0.062475,0.0408451,0.0297458,0.0606,0.0434366,0.0316102,0.025202,1018110422581112064,15.8921,15.3481,15.2078,15.9082,15.3455,15.2076
ZTF,99,99,99,16.8017,16.0638,15.7671,16.7746,16.1132,15.8489,15.7328,4.73118,24.1448,0.159312,0.105332,0.0762881,0.159688,0.104901,0.0762373,0.155,0.110732,0.0818305,0.0653054,2849154280509444608,16.8237,16.0718,15.8191,16.8425,16.0678,15.8187
ZTF,16.344,15.9513,99,99,99,99,16.3153,15.9814,15.8719,15.8657,83.3868,-27.9476,0.0771562,0.0510366,0.0370169,0.0773438,0.0508451,0.0369944,0.075,0.0534366,0.0394802,0.0315025,2908249182213572864,16.3386,15.9593,15.8666,16.3504,15.9574,15.8665
ZTF,99,99,99,17.9633,17.263,17.0069,17.9305,17.3274,17.0753,16.9602,247.54,26.4804,0.1682,0.111332,0.0802881,0.1686,0.110901,0.0802373,0.1636,0.116732,0.0858305,0.0686059,-999,-999,-999,-999,-999,-999,-999
ZTF,17.8073,17.4564,17.3426,99,99,99,17.7664,17.4674,17.3474,17.3215,74.7779,7.30145,0.330456,0.218406,0.157831,0.331244,0.217592,0.157723,0.3214,0.228606,0.169531,0.134611,3288432952746494848,17.8158,17.4576,17.3649,17.8253,17.4559,17.3649
ZTF,99,99,99,17.1221,16.2877,16.0139,17.0969,16.3435,16.0857,15.982,250.969,33.9567,0.0702687,0.0467775,0.0340169,0.0704313,0.0466338,0.0339944,0.0684,0.0485775,0.0364802,0.0285025,1326478629073673728,17.1568,16.3024,16.0545,17.178,16.2985,16.0542
ZTF,15.6566,15.2176,99,99,99,99,15.6412,15.2487,15.111,15.1018,181.74,8.92626,0.0534375,0.0355183,0.0257627,0.0535625,0.0354225,0.0257458,0.052,0.0367183,0.0276102,0.0219015,-999,-999,-999,-999,-999,-999,-999
ZTF,17.1221,16.7273,16.5913,99,99,99,17.0896,16.7529,16.6297,16.6005,114.675,30.9035,0.142481,0.0940732,0.0680339,0.142819,0.0936901,0.0679887,0.1386,0.0988732,0.0729605,0.0580049,880176375342945920,17.1336,16.7481,16.6244,17.1458,16.7457,16.6243
ZTF,99,99,99,15.5281,15.1227,99,15.5048,15.1519,15.0283,15.0109,135.164,34.4648,0.0919875,0.0602958,0.0435254,0.0922125,0.0600563,0.0434915,0.0894,0.0632958,0.0472203,0.0371034,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,16.4913,15.9022,99,16.4033,15.9027,15.6359,15.5469,100.662,19.6217,0.80045,0.529625,0.383186,0.80235,0.527662,0.382938,0.7786,0.554225,0.410282,0.326227,-999,-999,-999,-999,-999,-999,-999
ZTF,16.5172,16.0999,99,99,99,99,16.494,16.1202,16.0155,15.9949,212.646,78.5489,0.0949875,0.0622958,0.0452712,0.0952125,0.0620563,0.0452429,0.0924,0.0652958,0.0483503,0.038803,1715327341507817984,16.5271,16.1068,16.0108,16.5395,16.1045,16.0107
ZTF,99,99,99,16.1493,15.7307,99,16.1262,15.77,15.6533,15.6397,140.494,-3.3475,0.117762,0.0785549,0.0565254,0.118037,0.0782676,0.0564915,0.1146,0.0821549,0.0602203,0.0484039,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.3782,16.7077,16.4549,17.33,16.7561,16.5142,16.4432,43.8556,38.3507,0.273075,0.180628,0.130814,0.273725,0.179958,0.130729,0.2656,0.189028,0.140051,0.110709,143107897987803520,17.3962,16.7125,16.4949,17.4154,16.7092,16.4945
ZTF,16.3206,15.5743,15.2686,99,99,99,16.2837,15.6382,15.3547,15.2347,44.4174,31.2431,0.748012,0.494848,0.357678,0.749788,0.493028,0.357441,0.7276,0.517648,0.383542,0.304325,135419086188938112,16.3353,15.59,15.3165,16.355,15.5857,15.3161
ZTF,17.6978,99,99,99,99,99,17.661,17.0469,16.8403,16.7548,283.039,30.6136,0.484769,0.320479,0.231864,0.485931,0.319282,0.231712,0.4714,0.335479,0.248492,0.196916,-999,-999,-999,-999,-999,-999,-999
ZTF,16.5408,16.0831,15.9201,99,99,99,16.5175,16.1135,15.9717,15.9519,270.224,30.9946,0.139537,0.0928141,0.0670339,0.139863,0.0924789,0.0669887,0.1358,0.0970141,0.0719605,0.0570049,4602795711002691712,16.5567,16.0865,15.9693,16.571,16.0842,15.9692
ZTF,99,99,99,17.6394,16.5217,99,17.5564,16.5913,16.1469,15.9056,83.3948,-3.32769,1.30705,0.865104,0.624559,1.31015,0.861944,0.624147,1.2714,0.904704,0.669514,0.532044,3215979465803020672,17.645,16.5332,16.0761,17.6704,16.5263,16.0754
ZTF,99,99,99,16.0838,15.5633,15.3528,16.0505,15.6001,15.4085,15.3436,343.64,11.2499,0.368063,0.243924,0.176085,0.368937,0.243014,0.175972,0.358,0.255324,0.188401,0.149813,-999,-999,-999,-999,-999,-999,-999
ZTF,99,99,99,17.4236,16.5496,16.2056,17.3765,16.5991,16.2943,16.1521,342.652,4.84408,0.207806,0.137592,0.0990508,0.208294,0.137113,0.0989831,0.2022,0.143592,0.106441,0.0845074,2705175225717248512,17.4105,16.6574,16.2586,17.4311,16.6495,16.2581
