survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-g_AV,GAIA-b_AV,GAIA-r_AV,GAIA_SNLS-g,GAIA_SNLS-r,GAIA_SNLS-i,GAIA_SNLS-z,SOURCEID
SNLS_AB,17.8275,17.2328,17.0025,16.8991,17.8503,17.2555,17.0183,16.9328,36.8154,-4.91194,0.0843025,0.0596197,0.0434275,0.0345616,0.0846,0.0602958,0.0443503,0.035803,17.2914,16.677,17.7698,0,0,0,17.8488,17.2426,17.0184,16.9265,2489159703830223104
SNLS_AB,17.8634,17.4783,17.3383,17.2848,17.8611,17.4794,17.3357,17.2827,36.5071,-4.91344,0.089085,0.0626197,0.0464275,0.0356552,0.0894,0.0632958,0.0473503,0.0371034,17.5002,16.9898,17.8515,0,0,0,17.883,17.4754,17.3453,17.2875,2488798376821746688
SNLS_AB,18.6945,17.98,17.7048,17.5797,18.7059,18.0027,17.7088,17.6178,36.853,-4.90917,0.0883025,0.0626197,0.0454275,0.0356552,0.0886,0.0632958,0.0463503,0.0371034,18.0505,17.3878,18.6124,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,18.617,18.3452,18.2602,18.2374,18.6125,18.3409,18.2654,18.2741,36.7178,-4.90884,0.0777375,0.0548958,0.0404275,0.031468,0.078,0.0554366,0.0413503,0.0325025,18.3498,17.9214,18.6333,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.3113,17.0709,16.997,16.9814,17.3072,17.0696,16.9967,16.9849,36.5354,-4.90171,0.0863025,0.0606197,0.0444275,0.0345616,0.0866,0.0612958,0.0453503,0.035803,17.0612,16.6568,17.3168,0,0,0,17.324,17.0893,16.9987,16.9914,2488799824225883136
SNLS_AB,17.9697,17.3862,17.1548,17.0554,17.9697,17.4155,17.1735,17.0871,36.8552,-4.89963,0.0893025,0.0636197,0.0464275,0.0365616,0.0896,0.0642958,0.0473503,0.037803,17.4397,16.8079,17.9214,0,0,0,17.9927,17.39,17.1585,17.0706,2489159776845002368
SNLS_AB,18.7762,18.4751,18.3709,18.3384,18.7535,18.4473,18.362,18.3544,36.0774,-4.90021,0.0863025,0.0608958,0.0444275,0.0345616,0.0866,0.0614366,0.0453503,0.035803,18.4738,18.0387,18.7898,0,0,0,-999,-999,-999,-999,-999
SNLS_AB,17.9624,17.5401,17.3965,17.3386,17.9504,17.5482,17.4022,17.3425,36.4574,-4.89572,0.0863025,0.0616197,0.0454275,0.0355616,0.0866,0.0622958,0.0463503,0.036803,17.574,17.0572,17.9561,0,0,0,17.9687,17.5489,17.4045,17.327,2488799304534686464
SNLS_AB,17.8357,17.3459,17.1737,17.1058,17.8313,17.357,17.1815,17.13,36.6319,-4.89367,0.0807375,0.0568958,0.041742,0.0325616,0.081,0.0574366,0.0424802,0.033803,17.3905,16.8346,17.8321,0,0,0,17.87,17.3692,17.1765,17.1131,2488797105511431296
SNLS_AB,17.5771,17.3453,17.2756,17.2639,17.5749,17.356,17.2756,17.2724,36.4406,-4.89289,0.0863025,0.0608958,0.0444275,0.0345616,0.0866,0.0614366,0.0453503,0.035803,17.3325,16.9279,17.5984,0,0,0,17.6047,17.3372,17.2747,17.2775,2488799343189529984
