survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3S-B,GAIA_CFA3S-V,GAIA_CFA3S-R,GAIA_CFA3S-I
CFA3S,18.2637,17.8328,17.5363,17.2092,18.0125,17.7343,17.6282,17.5988,216.542,26.2768,0.0640929,0.0503613,0.0379022,0.027875,0.0579512,0.0405775,0.0306102,0.024202,-999,-999,-999,-999,-999
CFA3S,15.8443,15.3228,14.9383,14.6272,15.4948,15.141,15.0177,14.9945,216.507,26.178,0.0594744,0.0463612,0.0349161,0.025875,0.0539512,0.0377183,0.0286102,0.022202,-999,-999,-999,-999,-999
CFA3S,15.7946,15.2287,14.8245,14.486,15.4219,15.0481,14.8898,14.8676,248.746,76.0129,0.180042,0.13996,0.10572,0.076875,0.16204,0.114873,0.0848305,0.0676059,1703379807642116352,15.7,15.2289,15.0074,14.8831
CFA3S,18.0404,17.5391,17.1649,16.8607,17.723,17.4012,17.2641,17.2319,248.591,75.9432,0.169423,0.131713,0.0997344,0.071875,0.152413,0.107873,0.0798305,0.0633054,-999,-999,-999,-999,-999
CFA3S,18.3121,17.5802,16.989,16.5487,17.8595,17.2687,17.0007,16.8834,270.478,26.2764,0.340465,0.265301,0.199483,0.145625,0.306011,0.216746,0.160791,0.127611,-999,-999,-999,-999,-999
CFA3S,18.0964,17.5019,17.0077,16.6298,17.6824,17.2217,17.0388,16.9785,270.473,26.3317,0.312228,0.243682,0.183525,0.133625,0.280942,0.199887,0.147921,0.11701,-999,-999,-999,-999,-999
CFA3S,17.2327,16.4312,15.854,15.4354,16.7157,16.1055,15.8814,15.7943,270.47,26.2055,0.358083,0.278796,0.210455,0.152625,0.322266,0.228606,0.169531,0.134611,4582677985408778112,17.1231,16.4098,16.0377,15.8345
CFA3S,18.4211,17.5889,17.0774,16.6831,17.8512,17.3157,17.1363,17.0627,270.46,26.3279,0.327846,0.255178,0.192497,0.13975,0.295198,0.209746,0.154791,0.12331,-999,-999,-999,-999,-999
CFA3S,18.0794,17.5152,17.0757,16.6837,17.6714,17.2932,17.1227,17.0575,270.43,26.3349,0.317228,0.24693,0.186511,0.135625,0.28557,0.202887,0.149921,0.11901,-999,-999,-999,-999,-999
CFA3S,17.1307,16.3882,15.8603,15.4591,16.6763,16.1287,15.9249,15.8403,270.424,26.2926,0.340465,0.265425,0.200469,0.145625,0.306825,0.217746,0.160791,0.127611,4582682623973503488,17.0637,16.4104,16.0692,15.8833
CFA3S,18.7767,18.1972,17.7373,17.3907,18.3747,17.9464,17.79,17.7557,270.407,26.3172,0.338465,0.263425,0.199469,0.144625,0.304825,0.215746,0.159791,0.12731,-999,-999,-999,-999,-999
CFA3S,17.7716,17.1105,16.6231,16.2201,17.3375,16.886,16.6892,16.6238,270.407,26.2408,0.351083,0.273549,0.206455,0.149625,0.315639,0.223746,0.165661,0.131611,4582681249583955584,17.6595,17.1437,16.8737,16.7026
CFA3S,17.7431,17.2142,16.7863,16.4251,17.3927,17.0101,16.8483,16.8061,270.388,26.3414,0.321846,0.250054,0.189497,0.137625,0.289384,0.204887,0.151921,0.12101,-999,-999,-999,-999,-999
