survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3S-B,GAIA_CFA3S-V,GAIA_CFA3S-R,GAIA_CFA3S-I
CFA3S,18.5027,18.1172,17.7884,17.4649,18.2401,18.037,17.9046,17.8963,196.889,34.1752,0.0408558,0.03199,0.0239441,0.017875,0.03751,0.0267183,0.0197401,0.015601,-999,-999,-999,-999,-999
CFA3S,17.958,17.4162,17.0361,16.7172,17.5833,17.2395,17.0997,17.0726,154.491,21.7481,0.0887115,0.06898,0.0518742,0.037875,0.08002,0.0564366,0.0423503,0.0335025,-999,-999,-999,-999,-999
CFA3S,16.2457,15.6739,15.2863,14.9702,15.8396,15.4781,15.3591,15.3298,154.478,21.7855,0.0893301,0.0698562,0.0528602,0.038,0.0802063,0.0574366,0.0423503,0.033803,-999,-999,-999,-999,-999
CFA3S,17.0377,16.4182,15.9516,15.5602,16.6524,16.1905,16.0086,15.9587,154.45,21.9001,0.0897115,0.06998,0.0528602,0.038,0.08102,0.0574366,0.0423503,0.033803,-999,-999,-999,-999,-999
CFA3S,17.2811,16.4808,15.8919,15.442,16.8072,16.1398,15.8891,15.7793,216.25,26.6564,0.0680929,0.053485,0.0399022,0.029,0.061765,0.0435775,0.0324802,0.0255025,-999,-999,-999,-999,-999
CFA3S,18.1618,17.8138,17.4746,17.1777,17.8868,17.6721,17.5981,17.6111,216.233,26.6856,0.0680929,0.052485,0.0399022,0.029,0.060765,0.0435775,0.0324802,0.0255025,-999,-999,-999,-999,-999
CFA3S,16.7673,16.0718,15.5871,15.1915,16.331,15.8232,15.6243,15.5529,216.196,26.6742,0.0670929,0.052485,0.0398882,0.028875,0.060765,0.0425775,0.0316102,0.025202,1256460800903423744,16.6887,16.076,15.767,15.5845
CFA3S,17.5754,16.9402,16.4857,16.1001,17.1783,16.7176,16.536,16.4727,216.188,26.6886,0.0690929,0.054485,0.0408882,0.029875,0.062765,0.0445775,0.0326102,0.026202,1256461556817668864,17.494,16.9569,16.6831,16.5082
CFA3S,17.7934,16.8253,16.1222,15.5019,17.2299,16.4213,16.0141,15.8141,306.067,58.3069,1.47181,1.14693,0.865735,0.6285,1.32495,0.940282,0.696124,0.552946,2188285291856072320,17.7184,16.8372,16.3116,15.9226
CFA3S,17.1829,16.2319,15.5454,14.9709,16.6335,15.8423,15.4542,15.2708,306.051,58.4341,1.62161,1.26314,0.953498,0.692375,1.45911,1.0353,0.766215,0.608951,2188290651975383936,17.093,16.2564,15.7335,15.3719
CFA3S,17.5427,16.5921,15.9275,15.3977,16.9918,16.2187,15.8563,15.6993,305.985,58.3915,1.50504,1.17267,0.884694,0.6425,1.35483,0.961,0.711864,0.565547,-999,-999,-999,-999,-999
CFA3S,17.5117,16.4918,15.7534,15.1649,16.9015,16.0449,15.6345,15.4397,305.905,58.2929,1.41833,1.10469,0.833819,0.6055,1.27581,0.905563,0.670514,0.532744,-999,-999,-999,-999,-999
CFA3S,17.7647,16.8326,16.1577,15.6115,17.1964,16.4324,16.0633,15.8881,305.853,58.3117,1.40771,1.09657,0.827833,0.6015,1.267,0.898704,0.665644,0.528744,-999,-999,-999,-999,-999
CFA3S,17.829,16.9006,16.2318,15.6673,17.2971,16.5272,16.1483,15.9666,305.802,58.4239,1.46219,1.1388,0.859749,0.6245,1.31613,0.933423,0.691254,0.549645,2188477568951296768,17.7524,16.9178,16.4157,16.07
CFA3S,16.2911,15.5204,14.9635,14.5183,15.8154,15.2269,14.9781,14.8778,236.809,-1.0652,0.363083,0.28292,0.213441,0.154625,0.32708,0.231606,0.171531,0.135911,4404209346796884864,16.2038,15.5277,15.1536,14.9248
CFA3S,16.134,15.4832,15.0103,14.6093,15.7127,15.2366,15.033,14.9577,236.738,-1.07227,0.342465,0.267425,0.201469,0.146625,0.308825,0.218746,0.161791,0.128611,4404197733205321984,16.031,15.478,15.1818,14.9961
CFA3S,17.3276,16.5885,16.0609,15.6496,16.8455,16.293,16.0696,15.9754,236.68,-1.07222,0.345465,0.269425,0.203469,0.147625,0.310825,0.220746,0.163661,0.129611,4404197595766375424,17.2042,16.5737,16.2311,16.0192
CFA3S,16.4604,15.9379,15.5462,15.2258,16.1192,15.7684,15.6632,15.6413,211.718,-5.49285,0.0893301,0.0698562,0.0528602,0.037875,0.0802063,0.0572958,0.0423503,0.0335025,3643688939250704128,16.3784,15.934,15.7416,15.6446
CFA3S,17.3564,16.8099,16.4039,16.0781,16.9846,16.618,16.4861,16.4678,211.687,-5.46974,0.0883301,0.0688562,0.0518602,0.037875,0.0792063,0.0564366,0.0414802,0.032803,3643692027331536000,17.2525,16.8016,16.589,16.4676
CFA3S,16.5891,15.9499,15.4916,15.1305,16.1856,15.7269,15.558,15.5016,211.682,-5.34674,0.0837115,0.0648563,0.0488742,0.035875,0.0752063,0.0534366,0.0394802,0.0315025,-999,-999,-999,-999,-999
CFA3S,17.2851,16.7359,16.2842,15.9058,16.9434,16.525,16.339,16.2884,211.643,-5.49268,0.0893301,0.0698562,0.0528602,0.038,0.0802063,0.0574366,0.0423503,0.033803,-999,-999,-999,-999,-999
CFA3S,16.824,16.3395,15.9588,15.6727,16.4813,16.1641,16.0643,16.06,211.619,-5.45926,0.0873301,0.0678563,0.0508742,0.037,0.0782063,0.0554366,0.0413503,0.032803,3643692615742711680,16.7262,16.3363,16.1492,16.0608
CFA3S,17.0707,16.6435,16.2932,15.9961,16.7654,16.4887,16.3955,16.3835,211.584,-5.40442,0.0857115,0.0668563,0.0508602,0.036875,0.0772063,0.0544366,0.0404802,0.0325025,3643881108971667840,16.9667,16.6356,16.4854,16.3829
CFA3S,17.2994,16.8932,16.5552,16.2674,17.0124,16.7596,16.6707,16.6598,211.584,-5.45349,0.0857115,0.0668563,0.0508602,0.036875,0.0772063,0.0552958,0.0404802,0.0325025,3643692783245781760,17.2092,16.8844,16.7435,16.6709
CFA3S,16.2867,15.7332,15.3299,15.0074,15.9178,15.5481,15.4161,15.3881,211.563,-5.39208,0.0857115,0.0668563,0.0498742,0.036875,0.0772063,0.0544366,0.0404802,0.0325025,-999,-999,-999,-999,-999
CFA3S,17.2777,16.7597,16.3826,16.0233,16.933,16.6064,16.4859,16.479,244.233,35.6734,0.0494744,0.03899,0.0289301,0.021,0.04451,0.0317183,0.0236102,0.0189015,-999,-999,-999,-999,-999
CFA3S,17.264,16.633,16.1799,15.779,16.8442,16.4162,16.2449,16.1955,244.22,35.7945,0.0454744,0.03499,0.0269301,0.019,0.04051,0.0287183,0.0216102,0.0169015,1329888901826509440,17.1809,16.6377,16.3757,16.2202
CFA3S,16.5696,15.9793,15.5515,15.1729,16.1813,15.7838,15.6319,15.5948,244.211,35.7788,0.0454744,0.03499,0.0269301,0.019,0.04051,0.0287183,0.0216102,0.0169015,1329888661308340608,16.4637,15.9752,15.741,15.6074
CFA3S,16.0016,15.4303,15.0225,14.6513,15.6039,15.2285,15.0829,15.0528,244.131,35.638,0.0544744,0.0422375,0.0319161,0.023,0.0491375,0.0347183,0.0256102,0.020202,-999,-999,-999,-999,-999
CFA3S,17.3383,16.777,16.3765,-982.223,16.9478,16.5829,16.4621,16.4469,244.126,35.6901,0.0670929,0.0523612,0.0389022,0.028875,0.0599512,0.0425775,0.0316102,0.025202,-999,-999,-999,-999,-999
CFA3S,16.5537,15.8467,15.3439,14.9223,16.0989,15.5822,15.3778,15.3078,244.086,35.759,0.0620929,0.0483613,0.0369022,0.026875,0.0559513,0.0395775,0.0296102,0.023202,-999,-999,-999,-999,-999
CFA3S,17.297,16.7407,16.3392,15.969,16.9186,16.5501,16.419,16.3866,244.076,35.7406,0.0620929,0.0483613,0.0369022,0.026875,0.0559513,0.0395775,0.0296102,0.023202,-999,-999,-999,-999,-999
CFA3S,18.3287,17.7117,17.2822,16.9413,17.9052,17.494,17.3402,17.3226,244.067,35.7195,0.0650929,0.0503613,0.0379022,0.027875,0.0579512,0.0415775,0.0306102,0.024202,-999,-999,-999,-999,-999
CFA3S,18.2989,17.6943,17.2815,16.8946,17.9053,17.5071,17.3536,17.3355,244.044,35.7418,0.0590929,0.0462375,0.0349022,0.025,0.0531375,0.0375775,0.0276102,0.022202,-999,-999,-999,-999,-999
CFA3S,18.0726,17.4905,17.0664,16.7217,17.7318,17.3555,17.1917,17.154,198.303,-19.5218,0.338465,0.263301,0.198483,0.144625,0.304011,0.215746,0.159791,0.12731,-999,-999,-999,-999,-999
CFA3S,18.0333,17.4278,16.9737,16.573,17.6765,17.2389,17.0664,16.9972,198.279,-19.499,0.338465,0.263301,0.198483,0.144625,0.304011,0.215746,0.159791,0.12731,-999,-999,-999,-999,-999
CFA3S,17.8157,17.0712,16.5478,16.1238,17.3796,16.8277,16.6211,16.5407,198.245,-19.4679,0.339465,0.264425,0.199483,0.14475,0.305825,0.216746,0.160661,0.127611,-999,-999,-999,-999,-999
CFA3S,17.4738,16.7541,16.2259,15.8284,17.0466,16.5132,16.2996,16.2165,198.185,-19.5707,0.322846,0.25193,0.189511,0.13775,0.29057,0.205887,0.152791,0.12131,3507316683856363392,17.4054,16.7849,16.4612,16.262
CFA3S,18.1926,17.5229,16.9645,16.5747,17.7882,17.2646,17.0162,16.8949,299.171,40.42,1.03039,0.802399,0.606406,0.44,0.927289,0.658239,0.487113,0.387532,-999,-999,-999,-999,-999
CFA3S,17.7446,16.9509,16.3775,15.9247,17.338,16.6872,16.426,16.308,299.17,40.368,1.04563,0.814646,0.614392,0.446,0.940916,0.667099,0.493983,0.392833,-999,-999,-999,-999,-999
CFA3S,16.6729,16.0189,15.5209,15.1223,16.3244,15.8195,15.5915,15.5052,298.978,40.5098,0.996157,0.775656,0.585476,0.425,0.896406,0.63638,0.471243,0.373931,-999,-999,-999,-999,-999
CFA3S,17.3813,16.6926,16.1899,15.7583,16.9613,16.4546,16.2316,16.1462,298.962,40.5138,0.96992,0.755038,0.570504,0.414,0.872337,0.619521,0.458503,0.36433,2073600972060382976,17.2912,16.6964,16.3778,16.1886
CFA3S,16.5332,15.8026,15.2891,14.7898,16.0774,15.5397,15.3051,15.2031,352.086,22.4721,0.173423,0.134836,0.101734,0.073875,0.156226,0.110873,0.0818305,0.0653054,2827547949311565056,16.4609,15.8237,15.4836,15.2571
CFA3S,18.1792,17.6166,17.2281,16.7768,17.8366,17.492,17.3555,17.3402,352.072,22.4804,0.174042,0.135713,0.10272,0.07475,0.156413,0.110873,0.0819605,0.0653054,-999,-999,-999,-999,-999
CFA3S,16.7002,16.0596,15.6161,15.2138,16.283,15.8342,15.6658,15.6227,352.039,22.3616,0.174042,0.135836,0.102734,0.07475,0.157226,0.110873,0.0828305,0.0653054,-999,-999,-999,-999,-999
CFA3S,16.5382,15.9106,15.4471,14.9998,16.1467,15.6837,15.4884,15.4224,352.036,22.4436,0.173423,0.134836,0.101734,0.073875,0.156226,0.110873,0.0818305,0.0653054,2827547468275228160,16.4801,15.908,15.6268,15.4604
CFA3S,17.2122,16.4636,15.8801,15.3368,16.7548,16.1367,15.8609,15.7345,352.025,22.5163,0.175042,0.136712,0.102734,0.074875,0.157413,0.111873,0.0828305,0.0656059,-999,-999,-999,-999,-999
CFA3S,17.4154,16.9826,16.6497,16.3832,17.4896,17.068,16.8992,16.8366,51.0694,40.5743,0.673929,0.524602,0.395966,0.287375,0.606023,0.430493,0.318452,0.252921,-999,-999,-999,-999,-999
CFA3S,18.6287,17.8969,17.347,16.8935,18.1488,17.5935,17.3693,17.2621,51.0669,40.4962,0.627455,0.488613,0.369035,0.267375,0.564512,0.400775,0.296712,0.235719,-999,-999,-999,-999,-999
CFA3S,17.1311,16.2326,15.608,15.0799,16.5957,15.9045,15.5749,15.424,51.0647,40.6098,0.680929,0.530726,0.400952,0.29125,0.612836,0.435493,0.322452,0.255921,236144831014149376,17.0434,16.2477,15.8024,15.4997
CFA3S,17.8574,17.0386,16.456,15.9846,17.3712,16.7069,16.4764,16.3646,51.0632,40.5994,0.680929,0.530726,0.400952,0.29125,0.612836,0.435493,0.322452,0.255921,236144831014150912,17.774,17.0639,16.6619,16.4283
CFA3S,17.346,16.4959,15.9043,15.4039,16.8342,16.1678,15.8962,15.7672,51.0578,40.5437,0.650074,0.506107,0.382008,0.277375,0.584767,0.414775,0.307582,0.24432,236144384337558784,17.2495,16.5163,16.1036,15.8456
CFA3S,16.802,15.7879,15.0783,14.4839,16.2099,15.398,15.0035,14.814,51.0517,40.6335,0.705167,0.549221,0.41491,0.30125,0.634091,0.450352,0.333322,0.264522,236145655648026880,16.731,15.8136,15.2839,14.9172
CFA3S,18.1547,17.3276,16.767,16.2862,17.6618,17.0409,16.7723,16.6504,51.0481,40.5266,0.650074,0.506107,0.382008,0.277375,0.584767,0.414775,0.307582,0.24432,-999,-999,-999,-999,-999
CFA3S,18.0131,17.1226,16.481,15.9426,17.4767,16.7739,16.4347,16.2766,51.045,40.6437,0.705167,0.549221,0.41491,0.30125,0.634091,0.450352,0.333322,0.264522,236146033604990208,17.9316,17.1392,16.6849,16.3689
CFA3S,17.9824,17.1359,16.538,16.0399,17.4809,16.7838,16.5162,16.3959,51.0444,40.5817,0.668311,0.520479,0.392966,0.285375,0.601209,0.426634,0.315582,0.250921,236144693575200640,17.8719,17.1493,16.7338,16.4731
CFA3S,17.0521,16.3153,15.7864,15.3309,16.6158,16.0609,15.8163,15.7476,50.9962,40.6227,0.695548,0.542098,0.408924,0.29725,0.626278,0.444352,0.328452,0.261222,236145754430961920,16.9681,16.3382,15.9977,15.7863
CFA3S,17.7774,16.9679,16.3796,15.8895,17.2634,16.6013,16.3422,16.2425,50.9938,40.605,0.682929,0.53185,0.400952,0.291375,0.61465,0.435493,0.322452,0.256222,236145690007612032,17.6776,16.9393,16.5337,16.2931
CFA3S,16.2764,15.6273,15.1607,14.7603,15.8583,15.3997,15.2159,15.148,50.9761,40.4964,0.629455,0.489736,0.370035,0.268375,0.566326,0.401775,0.297712,0.23602,236120538679138304,16.1754,15.6359,15.3476,15.1775
CFA3S,18.3218,17.6743,17.1504,16.7569,17.9658,17.5654,17.314,17.29,50.958,40.6014,0.671311,0.522602,0.394966,0.286375,0.604023,0.428493,0.317452,0.251921,-999,-999,-999,-999,-999
CFA3S,18.3494,17.7643,17.3384,16.9503,17.9648,17.621,17.375,17.3667,50.9114,40.4942,0.605837,0.472118,0.356063,0.258375,0.545257,0.386915,0.285972,0.227419,-999,-999,-999,-999,-999
CFA3S,16.2104,15.5733,15.1144,14.7283,15.8407,15.3499,15.1747,15.1133,50.8913,40.5807,0.616837,0.480365,0.363049,0.263375,0.554885,0.393915,0.291842,0.231719,236309654679751168,16.1149,15.5811,15.3083,15.1498
CFA3S,17.4657,16.4729,15.73,15.1325,16.8825,16.0399,15.6405,15.4505,50.8828,40.5852,0.616837,0.480365,0.363049,0.263375,0.554885,0.393915,0.291842,0.231719,236309654679839616,17.3655,16.4957,15.9275,15.5583
CFA3S,17.2558,16.5383,16.025,15.6209,16.8171,16.2629,16.0523,15.9652,50.8743,40.503,0.575599,0.448499,0.338119,0.2455,0.518189,0.367197,0.272102,0.216118,236120057642803456,17.1639,16.5231,16.2064,16.0104
CFA3S,17.4475,16.8762,16.474,16.108,17.0868,16.7095,16.574,16.5337,27.5359,32.5891,0.163423,0.127465,0.0957484,0.069875,0.146785,0.104014,0.0769605,0.0613054,305288444359254656,17.3875,16.9113,16.6804,16.5568
CFA3S,16.9058,16.3032,15.882,15.5197,16.5337,16.1221,15.9749,15.9303,27.5229,32.7087,0.157423,0.122465,0.0927484,0.066875,0.141785,0.100873,0.0739605,0.0590049,305313836205899264,16.8382,16.3187,16.0833,15.9441
CFA3S,17.2325,16.5575,16.1046,15.7216,16.8097,16.3388,16.1705,16.1259,27.5197,32.5946,0.160423,0.124465,0.0937624,0.06875,0.143785,0.102014,0.0759605,0.0600049,305288650517684224,17.174,16.5845,16.2929,16.1429
CFA3S,17.1819,16.3989,15.843,15.3954,16.7084,16.1089,15.887,15.7752,27.5027,32.6716,0.155804,0.121341,0.0917624,0.06675,0.139971,0.0998732,0.0739605,0.0587044,305290265425381632,17.1164,16.4261,16.0415,15.8237
CFA3S,17.216,16.4642,15.9505,15.543,16.7018,16.1453,15.9498,15.8784,27.4743,32.5417,0.161804,0.126465,0.0947624,0.068875,0.145785,0.103014,0.0768305,0.0610049,305286966890508416,17.1103,16.4389,16.0974,15.9238
CFA3S,15.5682,14.9902,14.6313,14.3607,15.1848,14.8484,14.7342,14.7162,27.3999,32.7009,0.155804,0.121341,0.0917624,0.06675,0.139971,0.0998732,0.0739605,0.0587044,305293838838050688,15.4454,15.0056,14.8083,14.7205
CFA3S,16.8578,16.0962,15.6103,15.2457,16.3646,15.8561,15.6373,15.5583,27.3499,32.6042,0.168423,0.130713,0.0987484,0.071875,0.151413,0.107873,0.0798305,0.0633054,305291227497950080,16.7167,16.0999,15.7854,15.5973
CFA3S,16.7399,16.0995,15.6322,15.2387,16.3622,15.8839,15.6939,15.6283,29.5653,36.2608,0.324846,0.253054,0.191497,0.138625,0.292384,0.207746,0.153791,0.12201,330341053020672000,16.6926,16.1302,15.838,15.6608
CFA3S,16,15.2612,14.7489,14.3294,15.5668,15.0042,14.7909,14.714,29.5644,36.3952,0.307609,0.239682,0.180525,0.131625,0.276942,0.196028,0.145051,0.115709,330369232302072448,15.9371,15.2904,14.9458,14.7577
CFA3S,16.7859,15.9505,15.3815,14.927,16.2945,15.6541,15.3918,15.2974,29.5551,36.3886,0.307609,0.239682,0.180525,0.131625,0.276942,0.196028,0.145051,0.115709,330345764600767744,16.7202,15.9759,15.5856,15.351
CFA3S,17.2346,16.3348,15.6868,15.1853,16.7265,15.9702,15.6696,15.5307,29.5534,36.2728,0.323846,0.252054,0.190497,0.138625,0.291384,0.206887,0.152921,0.12131,330344012254129152,17.1838,16.3723,15.8795,15.6068
CFA3S,18.4686,17.9015,17.4798,17.088,18.0962,17.708,17.5192,17.469,29.5242,36.2701,0.323846,0.252054,0.190497,0.138625,0.291384,0.206887,0.152921,0.12131,-999,-999,-999,-999,-999
CFA3S,18.1572,17.5278,17.0941,16.684,17.7695,17.3214,17.1182,17.0368,29.5001,36.3654,0.311228,0.242682,0.183511,0.13275,0.279942,0.198887,0.146921,0.11701,-999,-999,-999,-999,-999
CFA3S,16.7213,15.8705,15.2832,14.7903,16.2153,15.558,15.2569,15.1134,29.4835,36.3234,0.317228,0.24693,0.186511,0.135625,0.28557,0.202887,0.149921,0.11901,330345077406011776,16.6517,15.8829,15.4686,15.1945
CFA3S,17.9156,17.0772,16.4422,15.8894,17.43,16.7465,16.3957,16.2128,29.4756,36.3989,0.309228,0.240682,0.181525,0.13175,0.277942,0.197028,0.145921,0.11601,-999,-999,-999,-999,-999
CFA3S,17.5096,16.8692,16.4139,16.0157,17.098,16.6451,16.4656,16.3955,29.4652,36.2705,0.323228,0.252054,0.190497,0.13775,0.291384,0.206746,0.152791,0.12131,-999,-999,-999,-999,-999
CFA3S,16.1926,15.5368,15.0758,14.6773,16.0175,15.325,15.1288,15.0499,29.4494,36.3698,0.311228,0.242682,0.182525,0.13275,0.279942,0.198887,0.146921,0.11701,-999,-999,-999,-999,-999
CFA3S,16.0236,15.4036,14.9762,14.6455,15.6552,15.2169,15.0646,15.0325,29.4486,36.4327,0.303609,0.236559,0.178539,0.12975,0.273129,0.194028,0.143921,0.11401,-999,-999,-999,-999,-999
CFA3S,16.355,15.8562,15.4739,15.142,16.0434,15.6939,15.5611,15.5316,29.439,36.3475,0.314228,0.244806,0.184511,0.13375,0.282756,0.200887,0.147921,0.11801,330392253326787712,16.2673,15.8605,15.6585,15.544
CFA3S,17.1136,16.2028,15.5441,15.1336,16.5842,15.8205,15.5091,15.3807,29.4292,36.3159,0.316846,0.246806,0.186511,0.135625,0.284756,0.201887,0.149921,0.11901,330343806095693952,17.0477,16.2239,15.725,15.4463
CFA3S,15.8742,15.2848,14.8655,14.5096,15.5065,15.0959,14.9385,14.9014,29.4161,36.3575,0.311609,0.242806,0.183511,0.13275,0.280756,0.198887,0.146921,0.11701,330391050735850752,15.79,15.2903,15.0441,14.917
CFA3S,17.8119,17.0708,16.5635,16.149,17.3533,16.8001,16.5912,16.5094,29.3879,36.3477,0.313228,0.243806,0.184511,0.13375,0.281756,0.199887,0.147921,0.11801,-999,-999,-999,-999,-999
CFA3S,15.9942,15.3177,14.8343,14.4466,15.5637,15.0662,14.8634,14.7952,29.3729,36.2621,0.323846,0.252054,0.190497,0.13775,0.291384,0.206887,0.152791,0.12131,-999,-999,-999,-999,-999
CFA3S,17.5161,16.7526,16.2172,15.81,17.0252,16.4604,16.2411,16.1493,29.3396,36.3687,0.313228,0.243806,0.184511,0.13375,0.281756,0.200028,0.147921,0.11801,330391978448786176,17.4011,16.7363,16.3947,16.1946
CFA3S,17.9689,17.1862,16.6232,16.1266,17.4859,16.8929,16.639,16.532,311.887,0.320382,0.337465,0.263301,0.198483,0.144625,0.304011,0.215746,0.159791,0.126611,-999,-999,-999,-999,-999
CFA3S,17.0973,16.1239,15.4789,15.0086,16.4691,15.6859,15.3884,15.2745,311.875,0.40299,0.338465,0.263425,0.199469,0.144625,0.304825,0.215887,0.159791,0.12731,-999,-999,-999,-999,-999
CFA3S,17.5979,16.8585,16.3508,15.9369,17.1443,16.6012,16.3916,16.3239,311.855,0.269474,0.330846,0.257178,0.194483,0.14075,0.297198,0.210887,0.155791,0.12431,-999,-999,-999,-999,-999
CFA3S,15.8629,15.2755,14.8518,14.4809,15.4937,15.0826,14.9274,14.8887,311.842,0.358533,0.358083,0.278796,0.210455,0.152625,0.322266,0.228606,0.169531,0.134611,-999,-999,-999,-999,-999
CFA3S,16.754,16.0429,15.5599,15.183,16.3062,15.7944,15.6134,15.5651,311.84,0.250069,0.340465,0.264425,0.199483,0.145625,0.305825,0.216746,0.160791,0.127611,4227964814046722816,16.6695,16.0452,15.7441,15.587
CFA3S,16.8079,16.0212,15.4882,15.0793,16.3301,15.7495,15.5468,15.4729,311.825,0.342352,0.360702,0.28092,0.212441,0.15375,0.32508,0.230606,0.170531,0.135911,-999,-999,-999,-999,-999
CFA3S,16.5952,15.8885,15.3961,15.0032,16.1709,15.6695,15.4708,15.4169,311.803,0.387494,0.353465,0.275672,0.207469,0.150625,0.318453,0.225746,0.167531,0.132611,-999,-999,-999,-999,-999
CFA3S,18.2003,17.5412,17.0992,16.7283,17.7737,17.3222,17.1647,17.109,311.78,0.244098,0.336846,0.262301,0.198469,0.143625,0.303011,0.214887,0.158791,0.12631,-999,-999,-999,-999,-999
CFA3S,15.8129,15.1972,14.7562,14.3906,15.4058,14.973,14.8039,14.7609,311.758,0.23683,0.343083,0.267425,0.201469,0.146625,0.308825,0.218746,0.161791,0.128611,4228011474571442816,15.708,15.1852,14.9261,14.7817
CFA3S,17.495,16.8289,16.3589,15.9543,17.0862,16.5943,16.3995,16.3282,311.757,0.324511,0.369702,0.288044,0.217427,0.157625,0.332894,0.236465,0.174531,0.138911,-999,-999,-999,-999,-999
CFA3S,18.0256,17.4029,16.9609,16.5706,17.6237,17.174,17.0045,16.9614,311.747,0.303998,0.371702,0.289044,0.218427,0.158625,0.333894,0.237465,0.175531,0.139212,-999,-999,-999,-999,-999
CFA3S,17.1146,16.1925,15.5375,15.0182,16.5714,15.8065,15.4939,15.3501,311.74,0.321144,0.371702,0.289044,0.218427,0.158625,0.333894,0.237465,0.175531,0.139212,-999,-999,-999,-999,-999
CFA3S,16.6671,15.9924,15.5073,15.0816,16.2668,15.769,15.5527,15.4924,133.599,-7.25041,0.123567,0.0957225,0.0728043,0.052875,0.110903,0.0782958,0.0582203,0.0464039,-999,-999,-999,-999,-999
CFA3S,16.9635,16.1695,15.6166,15.1816,16.484,15.8738,15.6526,15.579,133.589,-7.17555,0.131186,0.101846,0.0768043,0.055875,0.117716,0.0841549,0.0620904,0.0494039,5757148440447628544,16.905,16.1899,15.8175,15.6235
CFA3S,15.632,15.186,14.8646,14.5676,15.3563,15.0745,14.9926,15.0037,133.583,-7.15349,0.130186,0.101722,0.0767903,0.055875,0.116902,0.0831549,0.0612203,0.0487044,-999,-999,-999,-999,-999
CFA3S,17.6285,16.8365,16.2876,15.842,17.1678,16.5413,16.3076,16.2257,133.578,-7.17931,0.131186,0.101846,0.0768043,0.055875,0.117716,0.0841549,0.0620904,0.0494039,5757054599705943040,17.5713,16.8696,16.4924,16.2807
CFA3S,16.8855,16.177,15.6986,15.296,16.4111,15.9133,15.728,15.6762,133.574,-7.11737,0.128567,0.100723,0.0758043,0.054875,0.115902,0.0821549,0.0610904,0.0484039,-999,-999,-999,-999,-999
CFA3S,16.7035,16.201,15.8346,15.4995,16.3846,16.0243,15.9224,15.9132,133.565,-7.11289,0.129186,0.100723,0.0758043,0.054875,0.115902,0.0821549,0.0610904,0.0484039,-999,-999,-999,-999,-999
CFA3S,15.7665,15.146,14.7341,14.3826,15.375,14.9421,14.7933,14.7797,133.537,-7.2679,0.122567,0.0955987,0.0718183,0.052875,0.110089,0.0781549,0.0582203,0.0464039,-999,-999,-999,-999,-999
CFA3S,17.7075,16.993,16.4911,16.0736,17.226,16.7038,16.5009,16.4465,133.521,-7.19444,0.133567,0.10397,0.0787903,0.056875,0.12053,0.0851549,0.0630904,0.0504039,-999,-999,-999,-999,-999
CFA3S,18.3275,17.7645,17.3606,16.9526,17.9691,17.5431,17.3852,17.3485,133.512,-7.13619,0.132186,0.10297,0.0778043,0.056875,0.11953,0.0841549,0.0630904,0.0497044,-999,-999,-999,-999,-999
CFA3S,16.7595,16.2425,15.8741,15.5491,16.4277,16.0736,15.9679,15.9586,133.512,-7.12221,0.132186,0.10297,0.0778043,0.056875,0.11953,0.0841549,0.0630904,0.0497044,-999,-999,-999,-999,-999
CFA3S,17.382,16.661,16.1536,15.7526,17.0187,16.4211,16.1804,16.0882,133.502,-7.19517,0.134186,0.104846,0.0787903,0.05775,0.120716,0.0860141,0.0632203,0.0504039,5757054397843745152,17.4135,16.7211,16.3573,16.1451
CFA3S,16.1265,15.6055,15.2401,14.9146,15.8132,15.4474,15.3351,15.3094,133.499,-7.16614,0.135186,0.105846,0.0797903,0.057875,0.121716,0.0870141,0.0640904,0.0507044,-999,-999,-999,-999,-999
CFA3S,16.988,16.277,15.8121,15.4475,16.5407,16.0253,15.8495,15.8065,133.452,-7.2201,0.126567,0.0987225,0.0738183,0.053875,0.113902,0.0811549,0.0600904,0.0474039,-999,-999,-999,-999,-999
CFA3S,17.131,16.543,16.1326,15.792,16.7422,16.3421,16.2009,16.1639,133.429,-7.22635,0.126567,0.0987225,0.0748043,0.053875,0.113902,0.0811549,0.0600904,0.0474039,-999,-999,-999,-999,-999
CFA3S,17.6957,16.9381,16.4212,16.0032,17.2577,16.7027,16.4762,16.3994,34.6952,37.3954,0.155804,0.121341,0.0917624,0.06675,0.139971,0.0998732,0.0739605,0.0587044,-999,-999,-999,-999,-999
CFA3S,16.9564,16.3503,15.9102,15.5352,16.629,16.1893,16.002,15.9339,34.6927,37.4316,0.154804,0.120465,0.0907624,0.065875,0.139785,0.0990141,0.0729605,0.0580049,-999,-999,-999,-999,-999
CFA3S,18.2942,17.5896,17.076,16.6427,17.8958,17.3807,17.1347,17.0526,34.6883,37.4046,0.155423,0.121341,0.0917624,0.06675,0.139971,0.0990141,0.0739605,0.0580049,-999,-999,-999,-999,-999
CFA3S,18.1233,17.5674,17.148,16.803,17.7761,17.3882,17.2352,17.168,34.6833,37.5122,0.152423,0.118341,0.0897624,0.064875,0.136971,0.0970141,0.0719605,0.0570049,-999,-999,-999,-999,-999
