survey,ZTF-g,ZTF-r,ZTF-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTF-g_AV,ZTF-r_AV,ZTF-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,ZTF-G,ZTF-R,ZTF-I,ZTF-G_AV,ZTF-R_AV,ZTF-I_AV
ZTF,18.2699,17.615,17.3372,18.2832,17.6201,17.3222,17.1935,223.673,36.1596,0.03965,0.0265183098591549,0.0187627118644067,0.0386,0.0277183098591549,0.0206101694915254,0.0159014778325123,99,99,99,99,99,99
ZTF,17.2421,16.9687,16.8734,17.2601,16.9412,16.83,16.8188,244.363,44.2606,0.04755,0.0315183098591549,0.0227627118644067,0.0462,0.0327183098591549,0.0246101694915254,0.0192019704433497,99,99,99,99,99,99
ZTF,15.4377,15.18,15.0985,15.4519,15.1488,15.0477,15.0364,240.887,79.4777,0.1248,0.0825549295774648,0.0597796610169491,0.1212,0.0861549295774648,0.0640903954802259,0.0507044334975369,99,99,99,99,99,99
ZTF,17.1901,16.6147,16.3971,17.2157,16.5986,16.3669,16.2768,253.372,56.1813,0.06935,0.0460366197183098,0.0330169491525423,0.0674,0.0484366197183098,0.0354802259887005,0.0285024630541871,99,99,99,99,99,99
ZTF,16.2774,15.9321,15.8102,16.2975,15.9096,15.7573,15.7347,241.506,59.5051,0.0485,0.0317774647887324,0.0227627118644067,0.047,0.0335774647887324,0.0246101694915254,0.0199014778325123,99,99,99,99,99,99
ZTF,16.4467,16.0903,15.9413,16.4504,16.0741,15.9281,15.89,242.317,72.6355,0.0872,0.0580366197183098,0.0412711864406779,0.0848,0.0604366197183098,0.0443502824858757,0.0358029556650246,99,99,99,99,99,99
ZTF,17.8752,17.2991,17.1066,17.8745,17.2801,17.0714,16.9879,249.92,44.6414,0.04065,0.0275183098591549,0.0195084745762711,0.0396,0.0287183098591549,0.0207401129943502,0.0169014778325123,99,99,99,99,99,99
ZTF,16.2194,15.7305,15.5515,16.2442,15.7167,15.5161,15.4439,219.28,58.5695,0.0218,0.0142591549295774,0.0102542372881355,0.0212,0.0148591549295774,0.0108700564971751,0.0086009852216748,99,99,99,99,99,99
ZTF,17.553,16.9294,16.7014,17.5326,16.9128,16.6703,16.5669,235.756,79.5471,0.1278,0.0845549295774648,0.0607796610169491,0.1242,0.0881549295774648,0.065090395480226,0.0517044334975369,99,99,99,99,99,99
ZTF,16.6962,16.1879,16.013,16.7028,16.1667,15.9715,15.9012,215.573,36.5447,0.02675,0.0175183098591549,0.0125084745762711,0.026,0.0187183098591549,0.0137401129943502,0.0106009852216748,99,99,99,99,99,99
ZTF,16.2682,15.9797,15.8743,16.304,15.9425,15.8175,15.7907,221.776,21.6507,0.0852,0.0560366197183098,0.0402711864406779,0.0828,0.0584366197183098,0.0433502824858757,0.0348029556650246,99,99,99,99,99,99
ZTF,17.2395,17.034,16.953,17.2649,17.0052,16.9016,16.8827,232.902,32.7948,0.09215,0.0610366197183098,0.0442711864406779,0.0896,0.0634366197183098,0.0473502824858757,0.0378029556650246,99,99,99,99,99,99
