survey,KAIT1MO-B,KAIT1MO-V,KAIT1MO-R,KAIT1MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT1MO-B_AV,KAIT1MO-V_AV,KAIT1MO-R_AV,KAIT1MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT1MO,18.0142,17.2767,16.6269,16.1509,17.5805,16.9562,16.6804,16.5581,348.707,4.51266,0.23892307692307693,0.185465,0.13143870967741936,0.09446059113300492,0.2156,0.15345070422535215,0.1134406779661017,0.09050738916256157
KAIT1MO,16.0758,15.3901,14.8163,14.3612,15.6555,15.1215,14.9014,14.8177,348.729,4.50669,0.24092307692307693,0.1865475,0.13307096774193547,0.09502463054187192,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
KAIT1MO,16.1145,15.6018,15.1774,14.8545,15.7998,15.4388,15.3211,15.301,103.269,50.079,0.29157692307692307,0.2262075,0.16086451612903224,0.1147167487684729,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT1MO,18.6849,17.9904,17.4848,17.0351,18.4365,17.8444,17.6445,17.5888,103.269,50.0769,0.29157692307692307,0.2262075,0.16086451612903224,0.1147167487684729,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT1MO,17.2072,16.5803,16.0473,15.6067,16.8103,16.3374,16.1302,16.0474,103.321,50.0739,0.28712820512820514,0.2222075,0.15823225806451613,0.1131527093596059,0.25880000000000003,0.18416901408450706,0.13605084745762713,0.10840886699507389
KAIT1MO,17.7269,16.8752,16.2136,15.7502,17.2438,16.5645,16.3019,16.1975,103.253,50.0639,0.29157692307692307,0.2262075,0.16086451612903224,0.1147167487684729,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT1MO,16.1485,15.6726,15.2541,14.888,15.8295,15.4848,15.3689,15.3494,103.329,50.0611,0.29457692307692307,0.22829,0.1622322580645161,0.11615270935960591,0.2656,0.18902816901408453,0.1400508474576271,0.1114088669950739
KAIT1MO,17.1119,16.4174,15.8209,15.3935,16.7715,16.2447,16.0379,15.965,103.236,50.0537,0.2971282051282051,0.2303725,0.16386451612903224,0.11715270935960591,0.2684,0.19102816901408454,0.1410508474576271,0.1124088669950739
KAIT1MO,16.1317,15.6673,15.2597,14.9601,15.8235,15.5038,15.396,15.3767,103.314,50.0484,0.2961282051282051,0.22929,0.1632322580645161,0.1167167487684729,0.2666,0.19002816901408454,0.14092090395480225,0.11170935960591133
KAIT1MO,16.6551,16.1757,15.7784,15.4327,16.3591,16.0354,15.9159,15.9067,103.21,50.0338,0.2991282051282051,0.23229,0.16486451612903225,0.1177167487684729,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
