FGCM_ID,RA,DEC,FLAG,MAG_STD_G,MAG_STD_R,MAG_STD_I,MAG_STD_Z,MAG_STD_Y,MAGERR_STD_G,MAGERR_STD_R,MAGERR_STD_I,MAGERR_STD_Z,MAGERR_STD_Y,NGOOD_G,NGOOD_R,NGOOD_I,NGOOD_Z,NGOOD_Y,SOURCEID,GAIA_ATLAS-c,GAIA_ATLAS-o
919277,150.351,3.41145,0,18.6397,18.0567,17.85,17.7475,17.7648,0.00266084,0.00252083,0.00243205,0.0036575,0.00955159,2,1,1,1,1,-999,-999,-999
919275,150.346,3.40689,0,18.4637,17.4609,17.1035,16.9175,16.8801,0.00242969,0.0019748,0.0017865,0.0022566,0.00515598,2,1,1,1,1,-999,-999,-999
916954,150.413,3.3481,0,18.9136,17.8692,17.4637,17.257,17.2185,0.00308702,0.00232236,0.00204933,0.00271199,0.00647126,2,1,1,1,1,-999,-999,-999
685377,150.209,3.43102,0,18.5513,18.2958,18.2734,18.1249,18.0705,0.00254769,0.00281673,0.00301378,0.00471321,0.0120344,2,1,1,1,1,-999,-999,-999
919290,150.369,3.36272,0,18.9323,18.4853,18.3378,18.2938,18.2963,0.00311762,0.00309321,0.00311585,0.00530661,0.0143162,2,1,1,1,1,-999,-999,-999
916846,150.404,3.33962,0,18.884,17.8769,17.5457,17.3736,17.3339,0.00303574,0.00232998,0.00212116,0.002902,0.00701093,2,1,1,1,1,-999,-999,-999
685775,150.197,3.42394,0,17.8726,17.4137,17.2931,17.2476,17.2807,0.00250692,0.00194054,0.00191849,0.00269781,0.00675427,1,1,1,1,1,-999,-999,-999
687051,151.64,2.83249,0,19.7183,18.7059,18.373,18.1751,18.1323,0.00912712,0.00450957,0.00436911,0.00294722,0.00782376,1,1,1,3,3,-999,-999,-999
687080,151.681,2.81584,0,18.082,17.4387,17.2547,17.1624,17.1575,0.00320625,0.00219739,0.00230801,0.00183037,0.0045133,1,1,1,2,2,-999,-999,-999
912474,150.54,3.25208,0,18.9639,18.3757,18.1689,18.0767,18.0856,0.00156648,0.00119857,0.00119182,0.00263216,0.00618565,5,4,4,3,4,-999,-999,-999
687042,151.617,2.82189,16,18.1504,17.6462,17.507,17.4408,17.4586,0.0019005,0.0017224,0.00184395,0.0015087,0.00398412,3,2,2,4,4,-999,-999,-999
686884,151.513,2.85871,0,19.3184,18.9416,18.8419,18.7982,18.8287,0.00509147,0.00392046,0.00607792,0.00406619,0.012044,2,2,1,4,4,-999,-999,-999
912507,150.641,3.1993,0,19.899,18.951,18.6581,18.4998,18.4659,0.005009,0.00276376,0.00167149,0.00437723,0.0119012,2,2,3,2,2,-999,-999,-999
912445,150.546,3.23603,0,18.407,17.8437,17.6541,17.5673,17.5721,0.000977654,0.000774314,0.000767083,0.00163842,0.00421695,7,6,6,4,4,-999,-999,-999
7653405,197.588,-22.363,0,17.8682,17.4213,17.2786,17.2169,99,0.00120843,0.00118004,0.000625474,0.00116405,99,3,2,8,3,0,-999,-999,-999
7653285,197.538,-22.3685,0,19.0494,18.6418,18.499,18.4452,18.4724,0.00138152,0.00206356,0.0011266,0.00118831,0.00148682,8,2,10,15,28,-999,-999,-999
7654337,197.518,-22.3674,0,18.3027,17.852,17.7003,17.6413,17.665,0.000989621,0.00101219,0.000628033,0.000691471,0.000815336,7,4,12,15,29,-999,-999,-999
7654295,197.45,-22.3609,0,19.4035,18.604,18.3367,18.1746,18.1438,0.0025564,0.00221556,0.00228848,0.00228746,0.00258764,4,2,2,3,5,-999,-999,-999
7653943,197.585,-22.4271,0,19.2615,18.9318,18.8085,18.7747,18.7896,0.00180993,0.00181648,0.00129919,0.00152146,0.00189986,6,4,11,15,28,-999,-999,-999
7653353,197.58,-22.4313,0,19.7936,18.9597,18.6444,18.4741,18.4515,0.00218924,0.00184727,0.00111256,0.001214,0.00144144,8,4,12,15,29,-999,-999,-999
7653737,197.457,-22.3948,0,18.0219,17.3688,17.1622,17.0536,17.0486,0.000806954,0.000830718,0.000488824,0.000500626,0.000552736,8,4,12,15,29,-999,-999,-999
7654254,197.602,-22.4474,0,17.5538,17.0804,16.931,16.8637,16.8799,0.000664761,0.000873181,0.000447796,0.000458236,0.000490584,8,3,12,15,30,-999,-999,-999
7653516,197.318,-22.3612,16,18.5246,17.7319,17.429,17.2637,17.236,0.00150949,0.00138848,0.000984304,0.000918739,0.00334721,4,2,4,6,1,-999,-999,-999
7654237,197.519,-22.432,0,19.1885,18.5599,18.3332,18.2143,18.2091,0.00149814,0.00145572,0.000906867,0.00100723,0.00118873,8,4,12,15,30,-999,-999,-999
