survey,DES5YR_AB_g,DES5YR_AB_r,DES5YR_AB_i,DES5YR_AB_z,PS1_g,PS1_r,PS1_i,PS1_z,RA,DEC,DES5YR_AB_g_AV,DES5YR_AB_r_AV,DES5YR_AB_i_AV,DES5YR_AB_z_AV,PS1_g_AV,PS1_r_AV,PS1_i_AV,PS1_z_AV
DES5YR_AB,18.2241,17.5744,17.3493,17.2361,18.1888,17.6285,17.37,17.2659,149.353,2.82521,0.061335,0.04171830985915493,0.03001129943502825,0.023236008291382886,0.0606,0.0435774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,20.8227,20.2166,20.0114,19.9197,20.5917,20.2209,20.0505,19.7445,149.536,2.6088,0.061335,0.04095774647887324,0.03001129943502825,0.023236008291382886,0.0606,0.043436619718309866,0.031610169491525425,0.025201970443349753
DES5YR_AB,19.2724,18.9329,18.8427,18.8228,19.2343,18.953,18.8499,18.8522,150.303,2.64748,0.063335,0.041957746478873244,0.03101129943502825,0.024159609120521175,0.0626,0.04443661971830987,0.032610169491525426,0.026201970443349754
DES5YR_AB,18.9637,18.2605,18.0241,17.9059,18.9202,18.3154,18.048,17.9245,150.634,2.77774,0.064335,0.042957746478873245,0.03134839924670433,0.024159609120521175,0.0636,0.04543661971830987,0.03348022598870057,0.026502463054187193
DES5YR_AB,21.0283,20.3364,20.1103,20.0047,20.8194,20.3499,20.1474,19.9249,150.792,2.57787,0.06519625,0.04371830985915493,0.03201129943502825,0.024236008291382886,0.0644,0.0455774647887324,0.03361016949152543,0.026502463054187193
DES5YR_AB,19.6784,19.0724,18.8949,18.8134,19.6227,19.1277,18.9177,18.8546,150.74,2.42761,0.06619625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,20.1631,19.8009,19.6975,19.6686,20.1572,19.8615,19.6546,19.67,149.675,2.01416,0.061335,0.04171830985915493,0.030348399246704332,0.023236008291382886,0.0606,0.0435774647887324,0.03248022598870057,0.025502463054187192
DES5YR_AB,19.2337,18.8395,18.7328,18.7023,19.2951,18.9071,18.7485,18.6948,149.536,2.00025,0.062335,0.04171830985915493,0.030348399246704332,0.023236008291382886,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
DES5YR_AB,21.799,20.8443,20.5174,20.3362,21.5898,20.9166,20.6371,20.4922,150.419,1.56686,0.064335,0.04371830985915493,0.03134839924670433,0.024236008291382886,0.0636,0.0455774647887324,0.03348022598870057,0.026502463054187193
DES5YR_AB,18.5348,18.0451,17.9064,17.8511,18.5073,18.0547,17.9159,17.8856,150.335,3.09332,0.06619625,0.04471830985915493,0.03234839924670433,0.025159609120521172,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
DES5YR_AB,21.2079,20.8834,20.7919,20.7794,21.2691,21.0437,20.822,20.7223,150.105,2.14666,0.05847375,0.039718309859154935,0.02901129943502825,0.022236008291382885,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
DES5YR_AB,19.4339,19.092,18.9947,18.9726,19.3948,19.1091,19.0579,18.9926,150.467,2.51643,0.061335,0.04071830985915493,0.03001129943502825,0.023236008291382886,0.0606,0.0425774647887324,0.031610169491525425,0.025201970443349753
DES5YR_AB,17.0732,16.6142,16.5078,16.4792,17.037,16.6418,16.5058,16.4928,149.717,2.68094,0.06519625,0.04371830985915493,0.03201129943502825,0.024236008291382886,0.0644,0.0455774647887324,0.03361016949152543,0.026502463054187193
DES5YR_AB,21.1072,20.5672,20.4101,20.3385,21.1584,20.5707,20.4487,20.4348,149.724,2.87237,0.063335,0.04271830985915493,0.03134839924670433,0.024159609120521175,0.0626,0.0445774647887324,0.03348022598870057,0.026201970443349754
DES5YR_AB,19.6917,19.3723,19.2878,19.2725,19.6804,19.4183,19.2894,19.2269,150.734,1.62925,0.07591875000000001,0.050957746478873245,0.03734839924670433,0.02900681077879775,0.075,0.05343661971830987,0.03948022598870057,0.03150246305418719
DES5YR_AB,21.5995,20.9559,20.7453,20.651,21.5803,21.1234,20.7442,20.6412,149.606,2.00782,0.062335,0.04171830985915493,0.03101129943502825,0.024159609120521175,0.0616,0.0435774647887324,0.032610169491525426,0.026201970443349754
DES5YR_AB,18.4327,17.932,17.7689,17.6982,18.3472,17.954,17.7829,17.7064,149.984,2.84142,0.06719625,0.04495774647887324,0.03334839924670433,0.025159609120521172,0.0664,0.04743661971830987,0.03548022598870056,0.02750246305418719
DES5YR_AB,20.6525,20.3009,20.2073,20.185,20.771,20.3294,20.2287,20.1676,150.601,2.843,0.065335,0.04395774647887324,0.03234839924670433,0.025159609120521172,0.0646,0.04643661971830987,0.03448022598870057,0.02720197044334975
DES5YR_AB,20.5709,19.8293,19.5934,19.4726,20.5365,19.8778,19.627,19.5518,149.699,2.15033,0.062335,0.04171830985915493,0.030348399246704332,0.023236008291382886,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
DES5YR_AB,21.0991,20.7819,20.7149,20.7044,21.0311,20.6957,20.5591,20.7139,150.7,2.08592,0.05847375,0.038718309859154934,0.02901129943502825,0.022236008291382885,0.0578,0.0405774647887324,0.030610169491525424,0.024201970443349752
DES5YR_AB,20.8115,20.4348,20.3293,20.3079,20.7473,20.4166,20.2828,20.2119,149.546,2.90115,0.064335,0.042957746478873245,0.03134839924670433,0.024159609120521175,0.0636,0.04543661971830987,0.03348022598870057,0.026502463054187193
DES5YR_AB,20.1593,19.523,19.3125,19.2135,20.1327,19.5684,19.3894,19.2569,150.379,2.73184,0.063335,0.04271830985915493,0.03134839924670433,0.024159609120521175,0.0626,0.0445774647887324,0.03348022598870057,0.026201970443349754
DES5YR_AB,18.6094,17.8892,17.6658,17.553,18.5754,17.9368,17.6986,17.5888,149.316,2.35865,0.06519625,0.04371830985915493,0.03201129943502825,0.025159609120521172,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
DES5YR_AB,20.902,20.4347,20.2951,20.2454,21.0346,20.5362,20.3867,20.1751,150.911,2.68413,0.0740575,0.049957746478873244,0.036348399246704334,0.028083209949659464,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
DES5YR_AB,20.1056,19.8233,19.7591,19.7619,20.0834,19.867,19.7637,19.7938,149.296,2.31737,0.06619625,0.04395774647887324,0.03234839924670433,0.025159609120521172,0.0654,0.04643661971830987,0.03448022598870057,0.02720197044334975
DES5YR_AB,20.3433,20.0808,20.0238,20.0244,20.4194,20.2232,19.988,19.962,150.813,2.79405,0.0740575,0.049957746478873244,0.036348399246704334,0.028083209949659464,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
DES5YR_AB,17.0639,16.6837,16.5923,16.5693,17.0239,16.6936,16.5909,16.5814,150.015,2.78051,0.0700575,0.04695774647887324,0.03434839924670433,0.026159609120521173,0.0692,0.04943661971830987,0.036480225988700564,0.02850246305418719
DES5YR_AB,17.8669,17.4007,17.2724,17.2267,17.8365,17.4244,17.2821,17.234,150.844,1.69028,0.0730575,0.04895774647887324,0.035685499058380414,0.028006810778797752,0.0722,0.051436619718309866,0.03835028248587571,0.030502463054187193
DES5YR_AB,17.7618,17.2447,17.096,17.0367,17.7295,17.2705,17.117,17.0562,149.581,2.4412,0.06619625,0.04395774647887324,0.03234839924670433,0.025159609120521172,0.0654,0.04643661971830987,0.03448022598870057,0.02720197044334975
DES5YR_AB,20.1584,19.524,19.3273,19.2267,20.1036,19.5915,19.3596,19.3159,150.011,1.74599,0.05647375,0.03847887323943662,0.02801129943502825,0.021312407462244595,0.0558,0.039718309859154935,0.029610169491525423,0.02320197044334975
DES5YR_AB,21.1576,20.7793,20.6748,20.6469,21.1066,20.7339,20.7867,20.4311,150.742,2.82706,0.0700575,0.04695774647887324,0.03434839924670433,0.026159609120521173,0.0692,0.04943661971830987,0.036480225988700564,0.02850246305418719
DES5YR_AB,17.3308,16.9444,16.8482,16.8255,17.2984,16.9653,16.8557,16.8284,149.67,2.72026,0.064335,0.042957746478873245,0.03134839924670433,0.024159609120521175,0.0636,0.04543661971830987,0.03348022598870057,0.026502463054187193
DES5YR_AB,19.3459,18.8629,18.7021,18.6344,19.2379,18.8596,18.7123,18.6759,150.728,2.12775,0.05947375,0.039718309859154935,0.02901129943502825,0.022236008291382885,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
DES5YR_AB,20.551,19.9129,19.684,19.5703,20.4817,20.002,19.776,19.6689,149.878,2.17043,0.06719625,0.04495774647887324,0.03334839924670433,0.026083209949659462,0.0664,0.04743661971830987,0.03548022598870056,0.028201970443349753
DES5YR_AB,18.7352,18.3067,18.1967,18.1639,18.7213,18.3476,18.2018,18.1983,150.144,2.12346,0.05647375,0.03771830985915493,0.02734839924670433,0.021312407462244595,0.0558,0.0395774647887324,0.029480225988700565,0.02320197044334975
DES5YR_AB,21.1814,20.6271,20.4598,20.3832,21.1745,20.6501,20.6499,20.3589,149.938,1.93713,0.062335,0.041957746478873244,0.03101129943502825,0.024159609120521175,0.0616,0.04443661971830987,0.032610169491525426,0.026201970443349754
