survey,NICKEL1-B,NICKEL1-V,NICKEL1-R,NICKEL1-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,NICKEL1-B_AV,NICKEL1-V_AV,NICKEL1-R_AV,NICKEL1-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
NICKEL1,16.3844,15.7277,15.281,14.7736,15.9491,15.4395,15.259,15.2021,45.6261,-24.4762,0.07340384615384615,0.057690000000000005,0.04523943661971831,0.029830049261083742,0.0664,0.04743661971830987,0.03461016949152543,0.02750246305418719
NICKEL1,17.3762,16.5812,16.0451,15.4806,16.8715,16.2126,15.9797,15.8784,7.47606,31.3601,0.23864423076923078,0.18646000000000001,0.14640845070422534,0.097256157635468,0.2146,0.15245070422535215,0.11331073446327684,0.08980788177339902
NICKEL1,16.802,16.0327,15.5134,14.9651,16.3068,15.6869,15.4669,15.381,10.4575,33.0001,0.28291346153846153,0.2215,0.17402816901408452,0.11478817733990147,0.255,0.18116901408450706,0.134180790960452,0.10640886699507389
NICKEL1,16.5279,15.7939,15.2974,14.7037,16.0498,15.4496,15.1907,15.0938,21.3246,-18.191,0.08597115384615385,0.06708,0.05323943661971831,0.03483004926108374,0.07780000000000001,0.05543661971830987,0.04048022598870057,0.03250246305418719
NICKEL1,18.6506,17.8919,17.3793,16.7621,18.145,17.5061,17.2332,17.1444,8.74999,23.2458,0.10353846153846154,0.08134,0.0635492957746479,0.04236206896551724,0.0934,0.06629577464788734,0.04922033898305085,0.03910344827586207
NICKEL1,16.8265,16.2127,15.7936,15.2739,16.4158,15.9336,15.7301,15.6499,6.91189,-1.1546,0.07840384615384616,0.06082,0.048239436619718315,0.031830049261083744,0.0702,0.050436619718309865,0.037480225988700565,0.029502463054187193
NICKEL1,18.2206,17.5048,17.02,16.4668,17.7432,17.1768,16.9479,16.892,6.92397,-1.18264,0.08040384615384616,0.06295,0.049239436619718316,0.032830049261083745,0.073,0.051436619718309866,0.038480225988700566,0.030502463054187193
NICKEL1,17.3121,16.5543,16.0424,15.4493,16.8275,16.2149,15.949,15.834,52.4816,0.0955631,0.3758846153846154,0.29457999999999995,0.23126760563380283,0.15261822660098523,0.3388,0.24060563380281694,0.17853107344632768,0.1419113300492611
NICKEL1,17.5656,16.8928,16.4356,15.8764,17.1263,16.5865,16.3602,16.2649,52.4596,0.0278806,0.36988461538461537,0.28945000000000004,0.22726760563380283,0.15038423645320198,0.33299999999999996,0.23660563380281693,0.17553107344632768,0.13921182266009852
NICKEL1,17.3014,16.5216,15.9955,15.4273,16.8002,16.1592,15.9273,15.8412,20.1959,4.79107,0.09853846153846153,0.07721,0.06054929577464789,0.040362068965517243,0.0886,0.06329577464788734,0.04635028248587571,0.03710344827586207
NICKEL1,17.1854,16.5639,16.1399,15.632,16.7626,16.2815,16.0992,16.0368,332.665,-20.7806,0.12710576923076924,0.09899,0.07785915492957747,0.051128078817733985,0.1144,0.0811549295774648,0.06022033898305085,0.047403940886699504
NICKEL1,18.164,17.4415,16.9524,16.3526,17.6901,17.1295,16.8572,16.7248,27.9228,19.1413,0.24121153846153848,0.18859,0.14840845070422534,0.09825615763546797,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
NICKEL1,18.8956,18.2541,17.8173,17.2707,18.472,17.9674,17.7566,17.6817,27.9079,19.0635,0.22564423076923076,0.17620000000000002,0.13840845070422536,0.09172413793103448,0.20299999999999999,0.14445070422535214,0.1074406779661017,0.08520689655172414
NICKEL1,17.0235,16.2591,15.7428,15.1783,16.5231,15.9148,15.6791,15.5816,17.7406,15.4791,0.28391346153846153,0.22237,0.17433802816901411,0.11478817733990147,0.2552,0.18202816901408453,0.134180790960452,0.10640886699507389
NICKEL1,18.1031,17.3453,16.8334,16.2268,17.6084,16.988,16.7019,16.5733,17.6925,15.4499,0.3080480769230769,0.24102,0.1893380281690141,0.12532019704433497,0.2772,0.19702816901408454,0.14592090395480226,0.11600985221674877
NICKEL1,16.1837,15.3839,14.8447,14.2494,15.6793,15.0143,14.7546,14.6555,241.413,17.6079,0.1522403846153846,0.11951,0.09347887323943663,0.06189408866995074,0.1376,0.09787323943661974,0.07196045197740113,0.05770443349753695
NICKEL1,18.4743,17.7337,17.2328,16.652,18.0039,17.4134,17.1462,17.0505,195.766,50.6186,0.06283653846153846,0.04943,0.038929577464788735,0.026064039408866993,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.024201970443349752
NICKEL1,16.6368,15.9382,15.4644,14.9318,16.175,15.629,15.4068,15.3372,36.3798,41.8096,0.20250961538461537,0.15855,0.12409859154929578,0.08195812807881774,0.182,0.12959154929577468,0.09570056497175142,0.0759064039408867
NICKEL1,17.8222,17.074,16.5682,16.0471,17.2681,16.6452,16.4731,16.436,171.262,-9.82007,0.14467307692307693,0.11338000000000001,0.08916901408450705,0.05889408866995074,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
NICKEL1,18.4103,17.6697,17.1688,16.5943,17.9291,17.3484,17.0953,17.0345,255.034,23.1062,0.26077884615384617,0.20398,0.16071830985915495,0.10602216748768473,0.2348,0.1673098591549296,0.12418079096045198,0.09810837438423645
NICKEL1,17.6741,17.0355,16.6005,16.1023,17.2534,16.7622,16.5756,16.5205,38.5077,1.39608,0.08340384615384615,0.06495000000000001,0.05123943661971832,0.033830049261083746,0.075,0.05343661971830987,0.03948022598870057,0.03150246305418719
NICKEL1,18.2169,17.565,17.1214,16.6406,17.8149,17.2972,17.1122,17.0576,38.5083,1.37809,0.08340384615384615,0.06495000000000001,0.05123943661971832,0.033830049261083746,0.075,0.05343661971830987,0.03948022598870057,0.03150246305418719
NICKEL1,18.9847,18.3489,17.9157,17.3897,18.5877,18.0859,17.87,17.7965,38.4813,1.36663,0.08140384615384616,0.06382,0.05023943661971832,0.032830049261083745,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
NICKEL1,17.8101,17.0933,16.6079,16.0661,17.345,16.7667,16.5484,16.4563,353.7,18.1834,0.26834615384615385,0.21011,0.1650281690140845,0.10902216748768473,0.2416,0.17216901408450705,0.12718079096045198,0.10110837438423645
NICKEL1,16.3062,15.5093,14.972,14.3791,15.7991,15.1403,14.8872,14.7623,322.701,13.9969,0.3190480769230769,0.25028,0.19664788732394367,0.12932019704433498,0.2878,0.204887323943662,0.1517909604519774,0.12000985221674877
NICKEL1,17.1181,16.3097,15.7649,15.1583,16.5982,15.93,15.6694,15.5693,322.707,13.9569,0.31861538461538463,0.24928,0.19564788732394367,0.12932019704433498,0.2868,0.203887323943662,0.15092090395480226,0.12000985221674877
NICKEL1,16.7304,15.9506,15.4245,14.8511,16.2311,15.5874,15.3552,15.2551,359.184,5.47759,0.1879423076923077,0.14728999999999998,0.11578873239436621,0.07619211822660099,0.1694,0.1207323943661972,0.08883050847457627,0.07060591133004926
NICKEL1,17.8309,17.0015,16.4431,15.8427,17.3006,16.6193,16.3582,16.2442,359.218,5.53297,0.1965096153846154,0.15355,0.1207887323943662,0.07995812807881773,0.177,0.1257323943661972,0.09270056497175141,0.07390640394088671
NICKEL1,17.7616,17.0888,16.6316,16.1184,17.3,16.803,16.609,16.5205,359.198,5.54368,0.1929423076923077,0.15042,0.11878873239436621,0.07819211822660099,0.1732,0.12373239436619721,0.09170056497175141,0.07260591133004926
