survey,CSPDR3nat-B,CSPDR3nat-V,CSPDR3nat-o,CSPDR3nat-m,CSPDR3nat-n,CSPDR3nat-g,CSPDR3nat-r,CSPDR3nat-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSPDR3nat-B_AV,CSPDR3nat-V_AV,CSPDR3nat-o_AV,CSPDR3nat-m_AV,CSPDR3nat-n_AV,CSPDR3nat-g_AV,CSPDR3nat-r_AV,CSPDR3nat-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CSPDR3nat,16.5579,15.7574,15.7574,15.7574,15.7574,16.1387,15.4403,15.1675,16.0308,15.4207,15.1718,15.0701,327.227,0.423699,0.6165865384615384,0.48112,0.47670625,0.48125375000000004,0.48112,0.5607012499999999,0.3890845070422536,0.28465913370998114,0.5496,0.3910563380281691,0.2898418079096045,0.23041871921182266
CSPDR3nat,17.1083,16.3147,16.3147,16.3147,16.3147,16.702,15.9821,15.7195,16.6044,16.0015,15.7206,15.6133,80.4514,6.61863,0.7235,0.56516,0.5599625,0.5653175,0.56516,0.6588725000000001,0.45681690140845077,0.3341996233521657,0.6458,0.4592112676056339,0.3401920903954802,0.2705221674876847
CSPDR3nat,17.3138,16.7032,16.7032,16.7032,16.7032,16.9972,16.4784,16.2624,16.9296,16.5018,16.3062,16.2195,80.4017,6.69743,0.7302019230769231,0.57032,0.56508125,0.57047875,0.57032,0.6647762500000001,0.4608169014084508,0.3371996233521657,0.6516000000000001,0.4632112676056339,0.3431920903954802,0.2728226600985222
CSPDR3nat,17.654,16.7832,16.7832,16.7832,16.7832,17.2223,16.4098,16.1046,17.1218,16.4133,16.1186,15.9992,80.4098,6.66862,0.7272019230769231,0.56816,0.5629625,0.5683175,0.56816,0.6618725000000001,0.4598169014084508,0.3361996233521657,0.6488,0.4622112676056339,0.3421920903954802,0.2718226600985222
CSPDR3nat,18.004,17.4239,17.4239,17.4239,17.4239,17.7025,17.2368,17.0613,17.638,17.2456,17.0566,17.0077,80.4967,6.6229,0.7252019230769231,0.56616,0.5609625,0.5663175,0.56616,0.6598725000000001,0.45781690140845077,0.3351996233521657,0.6468,0.4602112676056339,0.3411920903954802,0.2708226600985222
CSPDR3nat,18.1369,17.4992,17.4992,17.4992,17.4992,17.8287,17.2778,17.0395,17.7309,17.2845,17.0816,17.0065,80.4958,6.65082,0.7262019230769231,0.56732,0.5620812500000001,0.56747875,0.56732,0.6617762500000001,0.4588169014084508,0.3351996233521657,0.6486000000000001,0.4612112676056339,0.3411920903954802,0.2715221674876847
CSPDR3nat,18.3467,17.6306,17.6306,17.6306,17.6306,17.9674,17.3607,17.1275,17.8788,17.3633,17.1225,17.0421,80.4272,6.71772,0.7379038461538462,0.57564,0.57031875,0.57580125,0.57564,0.67158375,0.4658169014084508,0.34090772128060265,0.6582,0.46821126760563386,0.34706214689265535,0.2758226600985222
CSPDR3nat,18.6164,17.9853,17.9853,17.9853,17.9853,18.3171,17.7343,17.5234,18.2182,17.7839,17.5661,17.4988,80.4266,6.61633,0.7135,0.55684,0.551725,0.556995,0.55684,0.649065,0.4500281690140846,0.32949152542372884,0.6362,0.4523521126760564,0.3353220338983051,0.2665221674876847
CSPDR3nat,18.7743,18.0391,18.0391,18.0391,18.0391,18.3775,17.7661,17.5085,18.3175,17.7839,17.5441,17.4581,80.3961,6.67913,0.7302019230769231,0.57032,0.56508125,0.57047875,0.57032,0.6647762500000001,0.4608169014084508,0.3371996233521657,0.6516000000000001,0.4632112676056339,0.3431920903954802,0.2728226600985222
CSPDR3nat,18.6569,17.9577,17.9577,17.9577,17.9577,18.291,17.7125,17.4894,18.2381,17.7617,17.5449,17.4548,80.5128,6.70764,0.7576057692307693,0.59112,0.585675,0.591285,0.59112,0.689295,0.47860563380281695,0.34961581920903956,0.6756,0.4810704225352113,0.3559322033898305,0.2831231527093596
CSPDR3nat,18.7041,18.1423,18.1423,18.1423,18.1423,18.4588,17.9727,17.7365,18.4164,18.0204,17.8563,17.7909,80.4055,6.70174,0.7309038461538462,0.57032,0.56508125,0.57047875,0.57032,0.6647762500000001,0.4618169014084508,0.3371996233521657,0.6516000000000001,0.46421126760563386,0.3431920903954802,0.2728226600985222
CSPDR3nat,18.8476,18.2801,18.2801,18.2801,18.2801,18.5177,18.0358,17.8584,18.4182,18.0149,17.8522,17.787,80.4919,6.64279,0.7262019230769231,0.56732,0.5620812500000001,0.56747875,0.56732,0.6617762500000001,0.4588169014084508,0.3351996233521657,0.6486000000000001,0.4612112676056339,0.3411920903954802,0.2715221674876847
CSPDR3nat,15.9506,15.205,15.205,15.205,15.205,15.5551,14.8998,14.6575,15.4761,14.8979,14.6779,14.6113,129.585,17.6303,0.10791346153846154,0.08404,0.08325625,0.08406375,0.08404,0.09817125,0.06794366197183101,0.050248587570621464,0.09620000000000001,0.06829577464788734,0.051220338983050846,0.04010344827586207
CSPDR3nat,17.1573,16.5965,16.5965,16.5965,16.5965,16.8511,16.4086,16.2413,16.7631,16.4038,16.2565,16.2213,129.565,17.5863,0.10461538461538461,0.08188000000000001,0.0811375,0.0819025,0.08188000000000001,0.0952675,0.065943661971831,0.04854048964218456,0.0934,0.06629577464788734,0.04935028248587571,0.03910344827586207
CSPDR3nat,18.2564,17.6487,17.6487,17.6487,17.6487,17.9008,17.4804,17.3263,17.8288,17.4683,17.3363,17.3259,129.553,17.6032,0.10561538461538461,0.08204,0.08125625,0.08206375,0.08204,0.09617125,0.066943661971831,0.04854048964218456,0.0942,0.06729577464788734,0.04935028248587571,0.03910344827586207
CSPDR3nat,18.5347,17.8064,17.8064,17.8064,17.8064,18.1732,17.5131,17.2515,18.0264,17.4554,17.2494,17.1797,129.55,17.6455,0.10861538461538461,0.08504,0.08425625,0.08506375000000001,0.08504,0.09917125,0.06894366197183101,0.050248587570621464,0.09720000000000001,0.06929577464788735,0.051220338983050846,0.04080295566502463
CSPDR3nat,18.4944,17.8571,17.8571,17.8571,17.8571,18.1333,17.6764,17.5273,18.0571,17.6461,17.5074,17.4713,129.605,17.5738,0.10491346153846154,0.08188000000000001,0.0811375,0.0819025,0.08188000000000001,0.0952675,0.065943661971831,0.04854048964218456,0.0934,0.06629577464788734,0.04935028248587571,0.03910344827586207
CSPDR3nat,18.1217,17.5421,17.5421,17.5421,17.5421,17.8018,17.3116,17.0844,17.7312,17.321,17.1334,17.0654,191.574,11.9661,0.09591346153846154,0.07472,0.07401875,0.07474125,0.07472,0.08736374999999999,0.060943661971830994,0.04454048964218456,0.0856,0.06129577464788734,0.045350282485875706,0.03580295566502463
CSPDR3nat,17.4836,16.7174,16.7174,16.7174,16.7174,17.0535,16.442,16.2544,16.9777,16.4928,16.3055,16.2395,191.659,11.9582,0.09221153846153846,0.07172,0.07101875,0.07174125,0.07172,0.08436374999999999,0.05815492957746479,0.042540489642184556,0.08259999999999999,0.058436619718309865,0.043350282485875705,0.034502463054187194
CSPDR3nat,16.9483,16.2812,16.2812,16.2812,16.2812,16.5892,16.0705,15.9123,16.512,16.096,15.9612,15.9343,191.667,11.8864,0.09291346153846154,0.07256,0.0719,0.07258,0.07256,0.08446,0.05894366197183099,0.042540489642184556,0.0828,0.05929577464788734,0.043350282485875705,0.03480295566502463
CSPDR3nat,15.9323,15.2368,15.2368,15.2368,15.2368,15.5587,15.0021,14.8034,15.4852,15.0112,14.8422,14.7932,224.147,9.351,0.14472115384615383,0.113,0.11196875,0.11303125,0.113,0.13159375,0.0915211267605634,0.0666647834274953,0.129,0.09201408450704227,0.06796045197740114,0.053704433497536945
CSPDR3nat,19.0833,18.1815,18.1815,18.1815,18.1815,18.6978,17.9192,17.5887,18.6088,17.9878,17.6974,17.5076,224.168,9.34903,0.14401923076923076,0.11216,0.1110875,0.1121925,0.11216,0.13149750000000002,0.09073239436619719,0.0666647834274953,0.1288,0.0911549295774648,0.06796045197740114,0.053704433497536945
CSPDR3nat,17.5257,16.8969,16.8969,16.8969,16.8969,17.2,16.6982,16.4984,17.1097,16.697,16.553,16.5008,224.219,9.37957,0.13601923076923078,0.10583999999999999,0.10485,0.10586999999999999,0.10583999999999999,0.12369,0.08573239436619719,0.06295668549905838,0.1212,0.0861549295774648,0.06409039548022599,0.05070443349753695
CSPDR3nat,16.7096,16.1958,16.1958,16.1958,16.1958,16.4415,16.0431,15.9073,16.3743,16.046,15.9358,15.9164,224.237,9.31972,0.1333173076923077,0.10384,0.10285000000000001,0.10387,0.10384,0.12169,0.08452112676056339,0.06195668549905838,0.1192,0.08501408450704226,0.06309039548022599,0.04970443349753695
CSPDR3nat,16.7367,16.0615,16.0615,16.0615,16.0615,16.3594,15.8227,15.6513,16.2724,15.8198,15.6448,15.5954,139.055,-16.3513,0.177125,0.13896,0.13768125,0.13899875,0.13896,0.16201625,0.1123098591549296,0.08237288135593221,0.1588,0.11287323943661974,0.08383050847457628,0.06630541871921182
CSPDR3nat,17.4537,16.868,16.868,16.868,16.868,17.1211,16.6825,16.5213,17.0444,16.6503,16.5286,16.5003,139.055,-16.3552,0.177125,0.13896,0.13768125,0.13899875,0.13896,0.16201625,0.1123098591549296,0.08237288135593221,0.1588,0.11287323943661974,0.08383050847457628,0.06630541871921182
CSPDR3nat,16.0261,15.5319,15.5319,15.5319,15.5319,15.7399,15.3895,15.2962,15.6669,15.3787,15.2845,15.2882,139.068,-16.3659,0.16742307692307692,0.13064,0.12944375,0.13067625,0.13064,0.15220875,0.1055211267605634,0.0773728813559322,0.1492,0.10601408450704226,0.07883050847457627,0.06230541871921182
CSPDR3nat,17.3339,16.6341,16.6341,16.6341,16.6341,16.9361,16.3548,16.1774,16.8529,16.3563,16.1785,16.1306,139.071,-16.3423,0.177125,0.13896,0.13768125,0.13899875,0.13896,0.16201625,0.1123098591549296,0.08237288135593221,0.1588,0.11287323943661974,0.08383050847457628,0.06630541871921182
CSPDR3nat,18.2042,17.3065,17.3065,17.3065,17.3065,17.6982,16.8905,16.6056,17.6346,16.8751,16.595,16.4871,139.025,-16.3328,0.18682692307692308,0.14611999999999997,0.14479999999999998,0.14615999999999998,0.14611999999999997,0.16992,0.11809859154929579,0.0863728813559322,0.1666,0.1187323943661972,0.08783050847457627,0.06960591133004926
CSPDR3nat,17.4797,16.5905,16.5905,16.5905,16.5905,17.0409,16.1847,15.8886,16.935,16.1768,15.9016,15.7946,139.079,-16.2945,0.18512499999999998,0.14428000000000002,0.14291875,0.14432125,0.14428000000000002,0.16882375,0.11709859154929579,0.0853728813559322,0.1654,0.1177323943661972,0.08683050847457627,0.06930541871921182
CSPDR3nat,16.4259,15.7268,15.7268,15.7268,15.7268,16.0622,15.4693,15.2574,15.9641,15.4698,15.2815,15.222,37.7315,-2.91993,0.10661538461538461,0.08304,0.08225625,0.08306375,0.08304,0.09717125,0.066943661971831,0.04924858757062146,0.0952,0.06729577464788734,0.050220338983050845,0.03980295566502463
CSPDR3nat,16.7763,16.1987,16.1987,16.1987,16.1987,16.4601,16.0233,15.8763,16.3942,16.0232,15.8948,15.8624,224.911,16.7187,0.1263173076923077,0.09852,0.0976125,0.09854750000000001,0.09852,0.11488250000000001,0.0797323943661972,0.058248587570621464,0.1126,0.0801549295774648,0.059220338983050846,0.047403940886699504
CSPDR3nat,16.2711,15.4172,15.4172,15.4172,15.4172,15.8291,15.0296,14.7386,15.7451,15.0484,14.7963,14.7089,184.373,16.4022,0.11061538461538462,0.0862,0.085375,0.086225,0.0862,0.101075,0.069943661971831,0.051248587570621465,0.09899999999999999,0.07029577464788733,0.05222033898305085,0.04110344827586207
CSPDR3nat,18.9894,18.2463,18.2463,18.2463,18.2463,18.577,17.8553,17.5845,18.5186,17.9068,17.6998,17.5794,181.02,20.4662,0.10161538461538461,0.07972,0.07901875,0.07974125,0.07972,0.09236375,0.063943661971831,0.04654048964218456,0.0906,0.06429577464788734,0.04735028248587571,0.03780295566502463
CSPDR3nat,18.064,17.4349,17.4349,17.4349,17.4349,17.7148,17.3,17.1084,17.6685,17.2794,17.123,17.1186,192.424,-11.1142,0.16342307692307692,0.12764,0.12644375,0.12767625,0.12764,0.14920875,0.10330985915492959,0.07566478342749529,0.1462,0.10387323943661973,0.07696045197740113,0.06100492610837439
CSPDR3nat,16.8547,16.2291,16.2291,16.2291,16.2291,16.5032,15.9833,15.7724,16.469,16.0132,15.8469,15.7825,192.395,-11.0842,0.16442307692307692,0.12764,0.12644375,0.12767625,0.12764,0.14920875,0.10330985915492959,0.07566478342749529,0.1462,0.10387323943661973,0.07696045197740113,0.06100492610837439
CSPDR3nat,17.2256,16.6986,16.6986,16.6986,16.6986,16.9469,16.5233,16.3783,16.9142,16.5596,16.4216,16.3937,192.408,-11.101,0.16342307692307692,0.12764,0.12644375,0.12767625,0.12764,0.14920875,0.10330985915492959,0.07566478342749529,0.1462,0.10387323943661973,0.07696045197740113,0.06100492610837439
CSPDR3nat,18.4285,17.9438,17.9438,17.9438,17.9438,18.1513,17.7695,17.6742,18.1754,17.8007,17.6884,17.6638,192.457,-11.0873,0.16442307692307692,0.12764,0.12644375,0.12767625,0.12764,0.14920875,0.1035211267605634,0.07566478342749529,0.1462,0.10401408450704226,0.07696045197740113,0.06100492610837439
CSPDR3nat,15.657,15.1192,15.1192,15.1192,15.1192,15.3494,14.9622,14.8243,15.3233,14.9613,14.836,14.8146,77.9266,5.197,0.4063557692307692,0.31736,0.31443125,0.31744875,0.31736,0.37016625,0.2569859154929578,0.18787005649717514,0.3628,0.25832394366197187,0.19127118644067798,0.1518128078817734
CSPDR3nat,16.8551,16.0273,16.0273,16.0273,16.0273,16.4231,15.6964,15.4195,16.3435,15.6897,15.4286,15.3307,77.9537,5.2433,0.4033557692307692,0.31436,0.31143125,0.31444875,0.31436,0.36716624999999997,0.2549859154929578,0.18616195856873824,0.3598,0.25632394366197186,0.18940112994350283,0.15051231527093595
CSPDR3nat,16.7256,16.0491,16.0491,16.0491,16.0491,16.3694,15.8383,15.6274,16.3038,15.8288,15.6354,15.5923,77.9333,5.25396,0.4033557692307692,0.3152,0.3123125,0.3152875,0.3152,0.3672625,0.2549859154929578,0.18616195856873824,0.36,0.25632394366197186,0.18940112994350283,0.15051231527093595
CSPDR3nat,16.8654,16.1718,16.1718,16.1718,16.1718,16.4877,15.93,15.7374,16.4097,15.9247,15.7293,15.6815,77.9867,5.25697,0.4023557692307692,0.3142,0.3113125,0.3142875,0.3142,0.3662625,0.2539859154929578,0.18587005649717514,0.359,0.25532394366197186,0.18927118644067797,0.15051231527093595
CSPDR3nat,17.4913,16.5517,16.5517,16.5517,16.5517,17.0282,16.1463,15.8107,16.9125,16.1281,15.8307,15.7035,77.8965,5.22543,0.4040576923076923,0.3152,0.3123125,0.3152875,0.3152,0.3672625,0.2549859154929578,0.18616195856873824,0.36,0.25632394366197186,0.18940112994350283,0.1508128078817734
CSPDR3nat,17.3318,16.7626,16.7626,16.7626,16.7626,17.022,16.5916,16.4243,16.9845,16.5826,16.4365,16.4118,77.9805,5.1725,0.4053557692307692,0.31636,0.31343125,0.31644875,0.31636,0.36916625,0.2559859154929578,0.18716195856873824,0.3618,0.25732394366197187,0.19040112994350283,0.15151231527093595
CSPDR3nat,17.8426,17.2707,17.2707,17.2707,17.2707,17.5158,17.0956,16.9293,17.4461,17.0891,16.9282,16.9065,77.9954,5.22468,0.4030576923076923,0.31436,0.31143125,0.31444875,0.31436,0.36716624999999997,0.2541971830985916,0.18587005649717514,0.3598,0.2554647887323944,0.18927118644067797,0.15051231527093595
CSPDR3nat,18.014,17.2572,17.2572,17.2572,17.2572,17.5907,16.9675,16.7434,17.5047,16.9642,16.7402,16.6631,77.8974,5.16543,0.4040576923076923,0.31536,0.31243125,0.31544875,0.31536,0.36816625,0.2549859154929578,0.18687005649717514,0.3608,0.25632394366197186,0.19027118644067798,0.1508128078817734
CSPDR3nat,17.9548,17.3284,17.3284,17.3284,17.3284,17.6447,17.092,16.9024,17.6,17.1305,16.9329,16.8549,77.9738,5.188,0.4063557692307692,0.31736,0.31443125,0.31744875,0.31736,0.37016625,0.2569859154929578,0.18787005649717514,0.3628,0.25832394366197187,0.19127118644067798,0.1518128078817734
