survey,KAIT2MO-B,KAIT2MO-V,KAIT2MO-R,KAIT2MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT2MO-B_AV,KAIT2MO-V_AV,KAIT2MO-R_AV,KAIT2MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT2MO,18.0226,17.2809,16.7559,16.2168,17.5805,16.9562,16.6804,16.5581,348.707,4.51266,0.23978846153846153,0.18578,0.1458901408450704,0.10207692307692308,0.2156,0.15345070422535215,0.1134406779661017,0.09050738916256157
KAIT2MO,16.0836,15.394,14.93,14.4214,15.6555,15.1215,14.9014,14.8177,348.729,4.50669,0.24178846153846154,0.18686999999999998,0.1468901408450704,0.10307692307692307,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
KAIT2MO,16.1204,15.6047,15.2615,14.8982,15.7998,15.4388,15.3211,15.301,103.269,50.079,0.2925865384615385,0.22659,0.1774056338028169,0.12407692307692307,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT2MO,18.6928,17.9943,17.5844,17.0909,18.4365,17.8444,17.6445,17.5888,103.269,50.0769,0.2925865384615385,0.22659,0.1774056338028169,0.12407692307692307,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT2MO,17.2143,16.5838,16.153,15.6638,16.8103,16.3374,16.1302,16.0474,103.321,50.0739,0.28818589743589745,0.22259,0.1752338028169014,0.12207692307692307,0.25880000000000003,0.18416901408450706,0.13605084745762713,0.10840886699507389
KAIT2MO,17.7366,16.88,16.3444,15.8158,17.2438,16.5645,16.3019,16.1975,103.253,50.0639,0.2925865384615385,0.22659,0.1774056338028169,0.12407692307692307,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT2MO,16.1539,15.6753,15.3372,14.934,15.8295,15.4848,15.3689,15.3494,103.329,50.0611,0.29558653846153843,0.22868,0.1794056338028169,0.12561538461538463,0.2656,0.18902816901408453,0.1400508474576271,0.1114088669950739
KAIT2MO,17.1198,16.4213,15.9392,15.4534,16.7715,16.2447,16.0379,15.965,103.236,50.0537,0.2981858974358974,0.23077,0.1814056338028169,0.12661538461538463,0.2684,0.19102816901408454,0.1410508474576271,0.1124088669950739
KAIT2MO,16.137,15.6699,15.3406,15.0015,15.8235,15.5038,15.396,15.3767,103.314,50.0484,0.2971858974358974,0.22968,0.1804056338028169,0.1260769230769231,0.2666,0.19002816901408454,0.14092090395480225,0.11170935960591133
KAIT2MO,16.6606,16.1785,15.8571,15.4762,16.3591,16.0354,15.9159,15.9067,103.21,50.0338,0.3001858974358974,0.23268,0.1824056338028169,0.12761538461538463,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT2MO,17.3162,16.7264,16.3532,15.9377,16.9439,16.5097,16.3677,16.3434,103.326,50.0255,0.3001858974358974,0.23268,0.1824056338028169,0.12761538461538463,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT2MO,18.5377,17.8702,17.3282,16.8612,18.0795,17.5711,17.3193,17.2478,103.283,50.0247,0.2997852564102564,0.23177,0.1824056338028169,0.1270769230769231,0.26940000000000003,0.19202816901408454,0.14192090395480225,0.11270935960591133
KAIT2MO,16.2327,15.7003,15.3255,14.9338,15.8929,15.4953,15.362,15.3345,103.312,50.0191,0.3001858974358974,0.23268,0.1824056338028169,0.12761538461538463,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
KAIT2MO,17.4671,16.8349,16.4049,15.9762,17.0831,16.6219,16.457,16.405,103.223,50.0188,0.3001858974358974,0.23268,0.1824056338028169,0.12761538461538463,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
