survey,ZTFS-g,ZTFS-r,ZTFS-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ZTFS-g_AV,ZTFS-r_AV,ZTFS-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ZTFS,16.8601,16.529,16.4166,16.8726,16.4977,16.3571,16.3282,243.357,65.6242,0.0911,0.06003661971830986,0.04327118644067797,0.08839999999999999,0.06243661971830987,0.04635028248587571,0.03680295566502463
ZTFS,18.1282,17.6261,17.3784,18.1466,17.608,17.3534,17.2495,244.17,22.8976,0.34669999999999995,0.22866478873239438,0.16508474576271187,0.3368,0.2394647887323944,0.17740112994350282,0.1409113300492611
ZTFS,16.2775,15.964,15.8602,16.2971,15.931,15.8094,15.7731,219.147,15.3792,0.06045,0.0397774647887324,0.02876271186440678,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
ZTFS,16.8754,16.5935,16.465,16.8969,16.5577,16.4338,16.412,251.031,54.0671,0.0862,0.05703661971830986,0.04127118644067797,0.0838,0.059436619718309866,0.044350282485875706,0.03480295566502463
ZTFS,15.9852,15.574,15.4163,16.0054,15.5571,15.3908,15.3468,263.388,30.4277,0.18525,0.12233239436619718,0.08854237288135593,0.18,0.1277323943661972,0.09470056497175142,0.0749064039408867
ZTFS,15.5763,15.2387,15.1071,15.6004,15.2171,15.0731,15.0394,248.28,79.2753,0.1149,0.07555492957746479,0.05477966101694915,0.1116,0.0791549295774648,0.05909039548022599,0.0464039408866995
ZTFS,16.6303,15.961,15.7405,16.6141,15.9548,15.7174,15.6273,243.637,47.2649,0.035649999999999994,0.023518309859154932,0.016508474576271186,0.0346,0.024718309859154936,0.01774011299435028,0.014600985221674877
ZTFS,17.9033,17.3376,17.1082,17.9008,17.3136,17.0921,16.9895,262.898,58.7262,0.0961,0.06329577464788733,0.04552542372881356,0.0934,0.06629577464788734,0.04922033898305085,0.03910344827586207
ZTFS,15.5355,15.191,15.0822,15.5513,15.17,15.0356,15.0269,250.082,33.5527,0.06735000000000001,0.044777464788732395,0.03201694915254237,0.0654,0.0465774647887324,0.03448022598870057,0.02750246305418719
ZTFS,17.6174,17.1329,16.9408,17.6381,17.1138,16.913,16.843,212.37,36.8666,0.0198,0.013259154929577466,0.009254237288135592,0.019200000000000002,0.013859154929577467,0.009870056497175142,0.00830049261083744
ZTFS,17.1588,16.6668,16.4691,17.1687,16.6399,16.4444,16.3733,255.847,73.6529,0.15155,0.10007323943661972,0.07228813559322034,0.1472,0.10487323943661973,0.07783050847457627,0.06200492610837438
ZTFS,17.7433,17.3026,17.1081,17.7642,17.2687,17.0849,17.016,257.38,51.8194,0.10105,0.06729577464788733,0.048525423728813556,0.0982,0.07029577464788733,0.05222033898305085,0.04110344827586207
ZTFS,17.5352,17.2389,17.1107,17.5586,17.2168,17.0835,17.0704,255.65,36.8976,0.07129999999999999,0.047036619718309865,0.03401694915254237,0.0692,0.04943661971830987,0.036480225988700564,0.029201970443349753
ZTFS,18.1951,17.588,17.3776,18.2201,17.5765,17.3298,17.2227,252.321,19.4963,0.2516,0.1661098591549296,0.11955932203389831,0.2444,0.1733098591549296,0.12818079096045198,0.10210837438423645
ZTFS,18.5791,17.9289,17.6862,18.5583,17.91,17.6527,17.5462,257.05,42.7397,0.08125,0.054036619718309864,0.03901694915254237,0.079,0.05643661971830987,0.04148022598870057,0.03350246305418719
ZTFS,17.3147,16.7713,16.574,17.3361,16.7532,16.5335,16.4662,216.087,58.438,0.035649999999999994,0.023518309859154932,0.017254237288135594,0.0346,0.024718309859154936,0.01787005649717514,0.014600985221674877
ZTFS,16.4625,15.9909,15.817,16.4733,15.9739,15.7832,15.7231,236.755,65.0947,0.103,0.0675549295774648,0.04927118644067797,0.09999999999999999,0.0711549295774648,0.052350282485875706,0.04210344827586207
ZTFS,16.9993,16.6745,16.5425,17.0587,16.6578,16.5126,16.4897,251.479,39.5927,0.036649999999999995,0.023518309859154932,0.017508474576271187,0.0356,0.024718309859154936,0.018740112994350282,0.014600985221674877
ZTFS,16.6272,16.0873,15.9027,16.6359,16.0809,15.8727,15.8137,247.598,29.2872,0.0931,0.061295774647887324,0.04427118644067796,0.0904,0.06429577464788734,0.04735028248587571,0.03780295566502463
ZTFS,17.8439,17.2269,16.9654,17.8217,17.2025,16.9388,16.8195,262.73,38.4079,0.11785,0.07755492957746479,0.05577966101694915,0.1144,0.0811549295774648,0.06009039548022599,0.047403940886699504
ZTFS,17.6145,16.8823,16.5162,17.6038,16.8964,16.5504,16.393,260.602,34.4891,0.1268,0.0835549295774648,0.06077966101694915,0.1232,0.0871549295774648,0.065090395480226,0.05170443349753695
ZTFS,17.126,16.7796,16.6267,17.1419,16.7577,16.611,16.5597,255.937,22.9428,0.1862,0.12259154929577465,0.08854237288135593,0.1808,0.12859154929577468,0.09470056497175142,0.07560591133004926
ZTFS,16.3703,16.1435,16.0546,16.3949,16.109,16.0094,16.0029,249.969,72.914,0.14859999999999998,0.09807323943661972,0.07103389830508475,0.1444,0.10287323943661973,0.07596045197740113,0.060004926108374386
ZTFS,18.2699,17.615,17.3372,18.2716,17.6093,17.3152,17.1976,223.673,36.1596,0.03965,0.02651830985915493,0.01876271186440678,0.0386,0.027718309859154935,0.020610169491525426,0.015901477832512313
ZTFS,17.2421,16.9687,16.8734,17.2628,16.939,16.8296,16.8063,244.363,44.2606,0.04755,0.03151830985915493,0.02276271186440678,0.0462,0.032718309859154936,0.024610169491525426,0.01920197044334975
ZTFS,15.4377,15.18,15.0985,15.4632,15.1543,15.0628,15.0464,240.887,79.4777,0.1248,0.0825549295774648,0.059779661016949155,0.1212,0.0861549295774648,0.06409039548022599,0.05070443349753695
ZTFS,17.1901,16.6147,16.3971,17.2149,16.5931,16.3598,16.2774,253.372,56.1813,0.06935000000000001,0.046036619718309864,0.03301694915254237,0.0674,0.04843661971830987,0.03548022598870056,0.02850246305418719
ZTFS,16.2774,15.9321,15.8102,16.2964,15.9152,15.7676,15.7338,241.506,59.5051,0.0485,0.0317774647887324,0.02276271186440678,0.047,0.0335774647887324,0.024610169491525426,0.019901477832512313
ZTFS,16.4467,16.0903,15.9413,16.4661,16.0775,15.9235,15.8946,242.317,72.6355,0.0872,0.05803661971830986,0.04127118644067797,0.0848,0.06043661971830987,0.044350282485875706,0.03580295566502463
ZTFS,17.8752,17.2991,17.1066,17.8747,17.2763,17.0679,16.991,249.92,44.6414,0.04065,0.027518309859154932,0.019508474576271185,0.0396,0.028718309859154936,0.020740112994350284,0.016901477832512314
ZTFS,16.2194,15.7305,15.5515,16.2473,15.721,15.5114,15.4428,219.28,58.5695,0.0218,0.014259154929577465,0.010254237288135593,0.0212,0.014859154929577467,0.01087005649717514,0.008600985221674877
ZTFS,17.553,16.9294,16.7014,17.5289,16.9172,16.6711,16.5722,235.756,79.5471,0.1278,0.0845549295774648,0.06077966101694915,0.1242,0.0881549295774648,0.065090395480226,0.05170443349753695
ZTFS,16.6962,16.1879,16.013,16.6979,16.1727,15.974,15.9098,215.573,36.5447,0.02675,0.01751830985915493,0.012508474576271187,0.026,0.018718309859154934,0.013740112994350283,0.010600985221674877
ZTFS,16.2682,15.9797,15.8743,16.3092,15.9487,15.8196,15.7915,221.776,21.6507,0.0852,0.05603661971830986,0.04027118644067797,0.0828,0.058436619718309865,0.043350282485875705,0.03480295566502463
ZTFS,17.2395,17.034,16.953,17.2717,17.0058,16.9025,16.8858,232.902,32.7948,0.09215,0.06103661971830986,0.04427118644067796,0.0896,0.06343661971830987,0.04735028248587571,0.03780295566502463
ZTFS,16.8435,16.1623,15.9144,16.8373,16.1615,15.8939,15.7866,253.716,53.2985,0.22785,0.15085070422535213,0.10905084745762711,0.2214,0.15745070422535215,0.11644067796610169,0.092807881773399
ZTFS,15.6948,15.3824,15.2643,15.719,15.3605,15.2244,15.1993,248.038,73.7595,0.09905,0.06529577464788733,0.047271186440677966,0.09620000000000001,0.06829577464788734,0.050350282485875704,0.04010344827586207
ZTFS,17.4297,16.8907,16.6361,17.4293,16.8637,16.6404,16.5519,253.342,39.9176,0.060399999999999995,0.0397774647887324,0.02876271186440678,0.0586,0.0415774647887324,0.030610169491525424,0.024201970443349752
ZTFS,16.1898,15.8827,15.7952,16.2126,15.8487,15.7385,15.7353,230.222,59.0908,0.02775,0.01851830985915493,0.013508474576271187,0.027,0.019718309859154935,0.014740112994350282,0.011600985221674876
