survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA-g,GAIA-r,GAIA-b,GAIA-r_AV,GAIA-b_AV,GAIA-g_AV,GAIA_DES-g,GAIA_DES-r,GAIA_DES-i,GAIA_DES-z,SOURCEID
DES,16.722,16.2721,16.1363,16.0717,16.7004,16.3039,16.1379,16.0952,43.0905,0.887892,0.235756,0.158113,0.115719,0.089944,0.233,0.166169,0.123181,0.0978079,16.3102,15.792,16.6541,0,0,0,16.7389,16.276,16.1403,16.06,2499087950231801472
DES,18.4896,17.7,17.4263,17.2717,18.4225,17.7473,17.4573,17.3186,42.2683,0.500099,0.180283,0.121155,0.088371,0.068708,0.1782,0.126732,0.0937006,0.0746059,17.7838,17.1197,18.3406,0,0,0,-999,-999,-999,-999,-999
DES,15.7629,15.3344,15.1996,15.1483,15.7353,15.3636,15.2065,15.1676,42.9675,0.751869,0.226895,0.151873,0.111382,0.0860968,0.2242,0.15931,0.118311,0.0938079,15.3662,14.8564,15.71,0,0,0,-999,-999,-999,-999,-999
DES,16.8644,16.0871,15.8226,15.6825,16.8093,16.0868,15.7883,15.6566,42.9638,0.702196,0.240618,0.161873,0.117719,0.090944,0.2378,0.16931,0.125181,0.0991084,16.2128,15.4731,16.6936,0,0,0,-999,-999,-999,-999,-999
DES,18.7873,18.0304,17.7755,17.6287,18.735,18.0832,17.7975,17.6877,42.1961,0.454704,0.168421,0.113155,0.082371,0.0638608,0.1664,0.118732,0.0877006,0.0696059,18.1128,17.477,18.6219,0,0,0,-999,-999,-999,-999,-999
DES,16.7288,16.2905,16.1742,16.1294,16.7055,16.3091,16.1752,16.1549,42.02,0.716069,0.142115,0.0949155,0.0696968,0.0541664,0.1404,0.0998732,0.0739605,0.0590049,16.3334,15.8213,16.6754,0,0,0,-999,-999,-999,-999,-999
DES,18.1688,17.7807,17.687,17.6556,18.1671,17.8034,17.6752,17.6712,41.8877,0.543271,0.126531,0.0846761,0.0623597,0.0483192,0.125,0.0890141,0.0660904,0.0524039,17.8144,17.3475,18.1193,0,0,0,-999,-999,-999,-999,-999
DES,17.9296,17.4785,17.3459,17.2852,17.9059,17.5026,17.3554,17.3052,41.8522,0.486161,0.12767,0.0856761,0.0623597,0.0483956,0.1262,0.0900141,0.0660904,0.0527044,17.5218,17.0063,17.8661,0,0,0,-999,-999,-999,-999,-999
DES,18.8849,18.2053,17.9953,17.8856,18.8545,18.2411,18.019,17.9178,42.1649,0.712851,0.168421,0.113155,0.082371,0.0638608,0.1664,0.118732,0.0877006,0.0696059,18.2912,17.6849,18.7749,0,0,0,-999,-999,-999,-999,-999
DES,18.2635,17.6648,17.4501,17.337,18.2266,17.7075,17.472,17.3862,42.3455,0.4256,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,17.7307,17.124,18.1009,0,0,0,-999,-999,-999,-999,-999
DES,18.969,18.6773,18.5981,18.5757,18.9587,18.678,18.5805,18.557,42.0653,0.409684,0.148976,0.0999155,0.0730339,0.05609,0.1472,0.104873,0.0778305,0.0613054,18.6806,18.2765,18.992,0,0,0,-999,-999,-999,-999,-999
DES,18.0972,17.3052,17.0596,16.9239,18.0365,17.3594,17.0858,16.9728,42.0107,0.316265,0.147976,0.0996761,0.0726968,0.05609,0.1462,0.104014,0.0769605,0.0610049,17.3989,16.7317,17.92,0,0,0,18.1335,17.307,17.0602,16.9009,2498959101212923392
DES,17.8673,17.4226,17.2739,17.2113,17.8394,17.4523,17.2856,17.2261,42.3546,0.655444,0.189866,0.127394,0.093371,0.0725552,0.1876,0.133592,0.0987006,0.0789064,17.4578,16.9174,17.7977,0,0,0,17.8755,17.4362,17.2626,17.1571,2498994697901575296
DES,17.2677,16.7173,16.5621,16.4837,17.2362,16.745,16.5701,16.5171,42.4091,0.656232,0.178282,0.120155,0.087371,0.067708,0.1762,0.125732,0.0927006,0.0739064,16.7823,16.2202,17.18,0,0,0,17.2876,16.7224,16.5692,16.4658,2498994873995764224
DES,17.6748,17.0606,16.8698,16.771,17.6299,17.1046,16.8824,16.8118,42.0479,0.43593,0.145115,0.0976761,0.0716968,0.0551664,0.1434,0.102014,0.0759605,0.0600049,17.13,16.5482,17.5791,0,0,0,-999,-999,-999,-999,-999
DES,17.084,16.5583,16.404,16.3301,17.0568,16.5871,16.4154,16.3613,42.0593,0.376698,0.150976,0.100915,0.0740339,0.05709,0.1492,0.105873,0.0788305,0.0623054,16.6142,16.057,17.0099,0,0,0,-999,-999,-999,-999,-999
DES,17.8329,17.2392,17.0376,16.9309,17.7903,17.2782,17.0542,16.9634,42.0561,0.403064,0.148976,0.0999155,0.0730339,0.05609,0.1472,0.104873,0.0778305,0.0613054,17.3011,16.697,17.722,0,0,0,17.8608,17.25,17.033,16.8938,2498960101940688128
DES,16.1582,15.4912,15.3124,15.2205,16.111,15.5309,15.3225,15.2573,42.4687,0.533949,0.173282,0.116155,0.0850339,0.0657844,0.1712,0.121732,0.0898305,0.0716059,15.5771,14.967,16.0258,0,0,0,-999,-999,-999,-999,-999
DES,17.3323,16.6743,16.4773,16.3724,17.2956,16.7177,16.4918,16.4126,42.0904,0.857607,0.16456,0.110915,0.0810339,0.0628608,0.1626,0.115873,0.0858305,0.0683054,16.7548,16.1409,17.2247,0,0,0,17.3798,16.6823,16.4826,16.3667,2499060501096044416
DES,18.2999,17.6794,17.4819,17.3787,18.2623,17.7112,17.5048,17.4253,42.0461,0.728293,0.148976,0.0999155,0.0726968,0.05609,0.1472,0.104873,0.0769605,0.0613054,17.7475,17.155,18.2058,0,0,0,-999,-999,-999,-999,-999
DES,16.2547,15.6083,15.4235,15.3253,16.2161,15.6476,15.4376,15.3531,42.4737,0.570724,0.170421,0.114915,0.0840339,0.0647844,0.1684,0.119873,0.0888305,0.0706059,15.6882,15.0824,16.1323,0,0,0,16.2687,15.6079,15.4209,15.3218,2498990063632394496
DES,16.1708,15.6741,15.512,15.4312,16.133,15.6986,15.5172,15.4523,42.6352,0.443722,0.216172,0.144634,0.106045,0.0822496,0.2136,0.151451,0.112441,0.0895074,15.712,15.1644,16.088,0,0,0,16.176,15.6648,15.5009,15.4212,2498973124281406208
DES,17.3548,16.7486,16.5344,16.4219,17.312,16.7908,16.5578,16.4554,42.4853,0.324407,0.209311,0.140634,0.102708,0.079326,0.2068,0.147451,0.108571,0.0865074,16.8547,16.2001,17.2452,0,0,0,-999,-999,-999,-999,-999
DES,16.3974,15.9397,15.8175,15.7667,16.3646,15.967,15.8113,15.7844,42.6396,0.85132,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,15.9853,15.471,16.3195,0,0,0,16.4057,15.9333,15.8175,15.767,2499097777116675200
DES,17.2522,16.667,16.5111,16.4349,17.2112,16.7024,16.537,16.451,42.6265,0.856734,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,16.7427,16.1702,17.1491,0,0,0,17.2782,16.6689,16.5067,16.4254,2499097678332966528
DES,17.3068,16.9445,16.8578,16.8293,17.2703,16.9527,16.8625,16.8475,42.185,0.0851979,0.153838,0.102915,0.0756968,0.05809,0.152,0.107873,0.0799605,0.0633054,16.9722,16.4958,17.2807,0,0,0,17.3243,16.9438,16.8534,16.811,2498936496800297856
DES,15.2763,14.8835,14.7825,14.7359,15.2463,14.8977,14.7761,14.7539,42.3599,0.357746,0.16756,0.112915,0.082371,0.0638608,0.1656,0.117873,0.0877006,0.0696059,14.9105,14.4405,15.2237,0,0,0,-999,-999,-999,-999,-999
DES,15.6944,15.1864,15.0502,14.9846,15.6656,15.2197,15.0564,15.0113,42.3573,0.440253,0.173282,0.116155,0.0850339,0.0657844,0.1712,0.121732,0.0898305,0.0716059,15.2429,14.7016,15.6167,0,0,0,-999,-999,-999,-999,-999
DES,16.1997,15.7504,15.6306,15.5746,16.177,15.7766,15.62,15.5973,42.3501,0.455717,0.176282,0.118155,0.086371,0.0667844,0.1742,0.123732,0.0917006,0.0726059,15.8521,15.2761,16.1439,0,0,0,-999,-999,-999,-999,-999
DES,16.2859,15.6004,15.3835,15.2707,16.2444,15.6391,15.4003,15.3216,42.4146,0.442563,0.174421,0.117155,0.085371,0.066708,0.1724,0.122732,0.0907006,0.0726059,15.678,15.0426,16.1463,0,0,0,-999,-999,-999,-999,-999
DES,17.6961,16.8605,16.5915,16.4394,17.6494,16.9139,16.6166,16.4954,42.4113,0.434061,0.174421,0.117155,0.085371,0.066708,0.1724,0.122732,0.0907006,0.0726059,16.9559,16.2497,17.5152,0,0,0,-999,-999,-999,-999,-999
DES,17.7618,17.4042,17.2921,17.2494,17.7297,17.4391,17.2944,17.2682,42.1076,0.0942733,0.150976,0.100915,0.0740339,0.05709,0.1492,0.105873,0.0788305,0.0623054,17.4204,16.9549,17.7177,0,0,0,17.7926,17.4164,17.2876,17.2649,2498939279939106688
DES,15.7803,15.2956,15.1648,15.1054,15.7459,15.3264,15.1707,15.1357,42.1065,0.103204,0.154838,0.103915,0.0760339,0.0590136,0.153,0.108873,0.0808305,0.0643054,15.3481,14.818,15.7032,0,0,0,15.791,15.2903,15.163,15.0969,2498939348658583296
DES,18.0806,17.5466,17.3631,17.2675,18.0444,17.5855,17.3808,17.3054,41.9895,0.616772,0.132392,0.0886761,0.0646968,0.0503192,0.1308,0.0930141,0.0689605,0.0547044,17.5985,17.0214,18.0009,0,0,0,-999,-999,-999,-999,-999
DES,17.4297,16.6873,16.4589,16.3343,17.3887,16.739,16.4753,16.3731,41.9474,0.479817,0.134392,0.0896761,0.0656968,0.0512428,0.1328,0.0940141,0.0699605,0.0557044,16.7761,16.1275,17.291,0,0,0,-999,-999,-999,-999,-999
DES,17.6573,16.8018,16.51,16.3351,17.6186,16.8661,16.5293,16.3934,42.335,0.739612,0.191866,0.128394,0.0937081,0.0725552,0.1896,0.134592,0.0995706,0.0789064,16.889,16.1708,17.4803,0,0,0,17.7016,16.8155,16.5074,16.3285,2499043286867122176
DES,18.9474,18.3768,18.1804,18.0785,18.8964,18.4101,18.1926,18.1148,42.5666,0.635943,0.175282,0.117155,0.085371,0.066708,0.1732,0.122732,0.0907006,0.0726059,18.4341,17.8758,18.8902,0,0,0,-999,-999,-999,-999,-999
DES,17.2825,16.5928,16.3698,16.2448,17.2413,16.6436,16.387,16.29,42.571,0.583759,0.173421,0.116155,0.085371,0.0657844,0.1714,0.121732,0.0907006,0.0716059,16.6727,16.0332,17.1567,0,0,0,17.3187,16.6005,16.3728,16.2473,2498984394275561344
DES,18.4662,18.0131,17.851,17.7742,18.4248,18.0521,17.8646,17.7961,42.5362,0.629609,0.169421,0.113915,0.0830339,0.0647844,0.1674,0.118873,0.0878305,0.0703054,18.0504,17.5206,18.4254,0,0,0,-999,-999,-999,-999,-999
DES,17.6276,17.3389,17.2579,17.2325,17.6059,17.3535,17.2519,17.2473,42.5994,0.587482,0.180144,0.121155,0.088371,0.068708,0.178,0.126732,0.0937006,0.0746059,17.3416,16.9273,17.5805,0,0,0,17.6382,17.3553,17.2736,17.2633,2498984458699431296
DES,17.2229,16.6355,16.466,16.3737,17.1813,16.6669,16.4591,16.3896,42.536,0.695678,0.16656,0.111155,0.081371,0.0628608,0.1646,0.116732,0.0867006,0.0686059,16.6977,16.1153,17.1109,0,0,0,17.2533,16.6352,16.45,16.3437,2498998172530642432
DES,16.7798,16.3205,16.1872,16.1287,16.7435,16.3533,16.1879,16.1479,42.5666,0.621609,0.174421,0.117155,0.085371,0.066708,0.1724,0.122732,0.0907006,0.0726059,16.3651,15.8478,16.7264,0,0,0,16.8047,16.3289,16.1936,16.1288,2498996557622942592
DES,17.7215,17.2732,17.147,17.092,17.6938,17.3061,17.1515,17.113,42.5338,0.652299,0.170421,0.114155,0.083371,0.0647844,0.1684,0.119732,0.0887006,0.0706059,17.3164,16.8012,17.6694,0,0,0,17.7577,17.2863,17.1567,17.0747,2498996901220324480
DES,18.2998,17.69,17.5051,17.4105,18.2616,17.7359,17.5256,17.4589,42.074,0.272411,0.151976,0.101915,0.0746968,0.0580136,0.1502,0.106873,0.0789605,0.0630049,17.7649,17.1904,18.2107,0,0,0,-999,-999,-999,-999,-999
DES,17.0413,16.5972,16.4704,16.4162,17.0109,16.6193,16.4773,16.4361,42.1984,0.616041,0.174421,0.117155,0.085371,0.066708,0.1724,0.122732,0.0907006,0.0726059,16.6398,16.1245,16.9899,0,0,0,17.0688,16.5957,16.4688,16.3871,2499040430713714560
DES,16.8704,16.1792,15.9705,15.8559,16.8276,16.2228,15.9852,15.8991,42.5332,0.403337,0.203589,0.136394,0.0997081,0.0774024,0.2012,0.142592,0.105571,0.0842069,16.2619,15.628,16.7397,0,0,0,-999,-999,-999,-999,-999
DES,16.9407,16.5302,16.4158,16.376,16.9006,16.553,16.4212,16.3905,41.9791,0.656907,0.135392,0.0906761,0.0663597,0.0512428,0.1338,0.0950141,0.0700904,0.0560049,16.5676,16.069,16.8988,0,0,0,-999,-999,-999,-999,-999
DES,17.774,17.3706,17.2615,17.2156,17.738,17.3874,17.263,17.2444,42.12,0.486784,0.153838,0.102915,0.0756968,0.05809,0.152,0.107873,0.0799605,0.0633054,17.4064,16.9166,17.7449,0,0,0,-999,-999,-999,-999,-999
DES,18.7341,17.9984,17.7392,17.5926,18.7109,18.06,17.7679,17.6347,42.2472,0.755411,0.183005,0.122394,0.089371,0.0696316,0.1808,0.128592,0.0947006,0.0756059,18.0741,17.3934,18.6124,0,0,0,-999,-999,-999,-999,-999
DES,17.7244,17.1367,16.9234,16.8121,17.7011,17.1882,16.9483,16.8552,42.0402,0.615329,0.142115,0.0956761,0.0696968,0.0541664,0.1404,0.100014,0.0739605,0.0590049,17.1931,16.5753,17.6296,0,0,0,-999,-999,-999,-999,-999
DES,17.8876,17.4008,17.2624,17.2026,17.8392,17.4369,17.2687,17.2314,42.0344,0.310797,0.149976,0.100915,0.0736968,0.05709,0.1482,0.105873,0.0779605,0.0620049,17.4529,16.9359,17.8271,0,0,0,17.915,17.4128,17.2687,17.1866,2498956111915684480
DES,18.1596,17.3757,17.1013,16.9455,18.1065,17.4353,17.1202,17.0088,42.1246,0.286209,0.154838,0.103915,0.0760339,0.0590136,0.153,0.108873,0.0808305,0.0643054,17.4761,16.764,17.986,0,0,0,18.2177,17.3863,17.1056,16.9194,2498955459080652800
DES,18.8666,18.0276,17.7604,17.6112,18.8256,18.0942,17.7932,17.672,42.1341,0.265039,0.153976,0.103915,0.0756968,0.0590136,0.1522,0.108873,0.0799605,0.0640049,18.1234,17.4232,18.6996,0,0,0,-999,-999,-999,-999,-999
DES,17.1595,16.832,16.7617,16.7444,17.1375,16.8504,16.7562,16.7614,42.6807,0.674388,0.185005,0.124155,0.090371,0.0706316,0.1828,0.129732,0.0957006,0.0766059,16.853,16.4341,17.1195,0,0,0,17.171,16.8467,16.7789,16.7416,2498986730737763840
DES,18.8158,18.3971,18.2622,18.2025,18.731,18.4236,18.2536,18.2198,43.026,0.933847,0.220034,0.147634,0.108045,0.0831732,0.2174,0.154451,0.114441,0.0908079,18.4306,17.9484,18.7439,0,0,0,-999,-999,-999,-999,-999
DES,16.6898,16.135,15.971,15.8845,16.6599,16.1734,15.9735,15.9146,42.611,-0.287909,0.193866,0.130394,0.0947081,0.0735552,0.1916,0.136592,0.100571,0.0802069,16.1988,15.6314,16.5936,0,0,0,-999,-999,-999,-999,-999
DES,16.9943,16.4816,16.3379,16.2674,16.9787,16.5131,16.3499,16.2895,43.5807,-0.396296,0.213172,0.142634,0.104045,0.0812496,0.2106,0.149451,0.110441,0.0882069,16.545,16.0003,16.913,0,0,0,-999,-999,-999,-999,-999
DES,17.5262,17.1181,16.9879,16.935,17.5131,17.1476,16.9965,16.9508,43.6796,-0.367611,0.225895,0.151634,0.110382,0.0860968,0.2232,0.158451,0.117311,0.0935074,17.1453,16.6388,17.4742,0,0,0,-999,-999,-999,-999,-999
DES,16.5118,15.6394,15.3679,15.2201,16.4646,15.7014,15.3955,15.2659,43.468,-0.363688,0.20945,0.140634,0.103045,0.079326,0.207,0.147451,0.109441,0.0865074,15.7381,15.0308,16.3015,0,0,0,16.5384,15.6356,15.3596,15.208,2497933050705789184
DES,18.5807,18.2486,17.99,17.9577,18.6286,18.4011,18.1333,17.9186,40.7695,0.00151735,0.111947,0.0751972,0.0550226,0.0425484,0.1106,0.0782958,0.0582203,0.0464039,18.2106,17.7049,18.5041,0,0,0,-999,-999,-999,-999,-999
DES,17.9447,17.57,17.4616,17.4344,17.9094,17.5919,17.4729,17.4574,40.4957,-0.117206,0.0876412,0.0589577,0.0426855,0.0329304,0.0866,0.0614366,0.0453503,0.035803,17.5961,17.1508,17.9006,0,0,0,17.982,17.5796,17.5013,17.4631,2498692680097089152
DES,18.7988,18.388,18.2789,18.2423,18.7845,18.4182,18.2737,18.2743,41.5762,-0.288789,0.106086,0.0711972,0.0520226,0.0406248,0.1048,0.0742958,0.0552203,0.0441034,18.4262,17.9414,18.7686,0,0,0,-999,-999,-999,-999,-999
DES,17.8007,17.1487,16.9146,16.7933,17.7588,17.19,16.9388,16.8346,40.7758,-0.394932,0.0915025,0.0611972,0.0446855,0.034854,0.0904,0.0642958,0.0473503,0.037803,17.2081,16.5614,17.675,0,0,0,17.812,17.1394,16.9093,16.7694,2498484528801762304
DES,18.8684,18.5702,18.4914,18.4723,18.8529,18.591,18.4713,18.4984,40.7763,-0.472678,0.0945025,0.0639577,0.0466855,0.0357776,0.0934,0.0664366,0.0493503,0.0391034,18.5816,18.172,18.9422,0,0,0,-999,-999,-999,-999,-999
DES,17.3715,16.933,16.8163,16.7707,17.3462,16.9611,16.8191,16.7872,41.7826,-0.0983586,0.128531,0.0864366,0.0626968,0.0483956,0.127,0.0901549,0.0669605,0.0527044,16.9742,16.4697,17.3155,0,0,0,17.4047,16.9392,16.8066,16.7471,2498555580445326976
DES,18.5181,17.7149,17.4682,17.339,18.4913,17.7776,17.4894,17.3968,40.9454,-0.534238,0.110086,0.0741972,0.0540226,0.0416248,0.1088,0.0772958,0.0572203,0.0454039,17.8139,17.1389,18.364,0,0,0,-999,-999,-999,-999,-999
DES,17.3372,16.8883,16.7733,16.7333,17.3098,16.9161,16.7866,16.7591,41.0769,-0.63962,0.108086,0.0724366,0.0530226,0.0406248,0.1068,0.0761549,0.0562203,0.0444039,16.9395,16.4517,17.2827,0,0,0,17.365,16.9133,16.785,16.7589,2498427044959501952
DES,18.9622,18.2973,18.0683,17.9489,18.9192,18.3588,18.0948,17.9929,41.0554,-0.553291,0.112947,0.0754366,0.0550226,0.0425484,0.1116,0.0791549,0.0582203,0.0464039,18.3686,17.7549,18.8455,0,0,0,-999,-999,-999,-999,-999
DES,17.0939,16.6201,16.4876,16.432,17.0613,16.6518,16.4871,16.4498,40.8466,-0.421615,0.0973637,0.0651972,0.0476855,0.0367776,0.0962,0.0682958,0.0503503,0.0401034,16.6696,16.1462,17.0263,0,0,0,17.1115,16.6153,16.4902,16.4433,2498481573864262528
DES,17.9091,17.0827,16.8185,16.6791,17.8566,17.141,16.8559,16.7259,41.6153,-0.374216,0.107086,0.0721972,0.0523597,0.0406248,0.1058,0.0752958,0.0560904,0.0441034,17.1748,16.4952,17.7371,0,0,0,-999,-999,-999,-999,-999
DES,18.7393,17.9593,17.7068,17.5715,18.7116,18.0229,17.7261,17.6207,41.5544,-0.476665,0.111947,0.0751972,0.0550226,0.0425484,0.1106,0.0782958,0.0582203,0.0464039,18.0512,17.3726,18.5707,0,0,0,-999,-999,-999,-999,-999
DES,17.0317,16.4113,16.2169,16.1219,16.9858,16.4515,16.2379,16.1436,40.4171,-0.597429,0.0975025,0.0654366,0.0480226,0.0367776,0.0964,0.0691549,0.0512203,0.0401034,16.4809,15.8803,16.9219,0,0,0,-999,-999,-999,-999,-999
DES,16.718,16.2816,16.1646,16.1273,16.6853,16.3044,16.1651,16.1412,40.3736,-0.581941,0.0993638,0.0664366,0.0486855,0.0377012,0.0982,0.0701549,0.0513503,0.0411034,16.3241,15.8227,16.6602,0,0,0,16.7326,16.2851,16.1706,16.1182,2498463084030063232
DES,18.9923,18.2173,17.981,17.8572,18.9175,18.2646,17.9761,17.9015,40.8253,-0.000509357,0.105086,0.0704366,0.0510226,0.0397012,0.1038,0.0741549,0.0542203,0.0431034,18.3137,17.647,18.8675,0,0,0,-999,-999,-999,-999,-999
DES,17.6506,17.2818,17.1765,17.1437,17.6274,17.3018,17.1829,17.1523,40.6677,-0.823995,0.106086,0.0711972,0.0520226,0.0406248,0.1048,0.0742958,0.0552203,0.0441034,17.3061,16.839,17.6052,0,0,0,-999,-999,-999,-999,-999
DES,17.2793,16.8081,16.6779,16.6233,17.2512,16.8385,16.6871,16.6463,41.1586,-0.679207,0.104225,0.0694366,0.0510226,0.0396248,0.103,0.0731549,0.0542203,0.0431034,16.8694,16.3393,17.2188,0,0,0,17.3036,16.8137,16.6818,16.6284,2498414503654997760
DES,16.9381,16.3706,16.1833,16.0912,16.8956,16.4076,16.2053,16.1206,41.1857,-0.626354,0.101225,0.0674366,0.0496855,0.0387012,0.1,0.0711549,0.0523503,0.0421034,16.4262,15.8432,16.8443,0,0,0,16.9573,16.3657,16.1849,16.0924,2498421375602668672
DES,17.7335,17.2222,17.0693,17.005,17.6986,17.2599,17.0769,17.0366,41.001,-0.664508,0.113947,0.0764366,0.0560226,0.0435484,0.1126,0.0801549,0.0592203,0.0474039,17.2792,16.7405,17.6559,0,0,0,17.7559,17.2217,17.0806,16.9895,2498425631914805760
DES,18.9648,18.2368,17.9665,17.8222,18.9523,18.28,17.9892,17.8747,40.2675,-0.582956,0.0945025,0.0631972,0.0466855,0.0357776,0.0934,0.0662958,0.0493503,0.0391034,18.3143,17.6613,18.8164,0,0,0,-999,-999,-999,-999,-999
DES,17.3019,16.7319,16.5542,16.4712,17.2626,16.7588,16.5691,16.504,40.2411,-0.5546,0.0925025,0.0621972,0.0450226,0.034854,0.0914,0.0652958,0.0482203,0.0381034,16.795,16.2103,17.2028,0,0,0,-999,-999,-999,-999,-999
DES,16.6745,16.3138,16.22,16.1982,16.6476,16.327,16.22,16.2134,40.2311,-0.588684,0.0935025,0.0629577,0.0456855,0.0357776,0.0924,0.0654366,0.0483503,0.038803,16.3381,15.882,16.6318,0,0,0,16.6799,16.3167,16.2269,16.1961,2498465046830092672
DES,17.051,16.6154,16.4975,16.4568,17.03,16.6379,16.4924,16.4884,40.205,-0.612498,0.0935025,0.0631972,0.0460226,0.0357776,0.0924,0.0662958,0.0492203,0.038803,16.6576,16.1622,16.9889,0,0,0,-999,-999,-999,-999,-999
DES,18.1001,17.6479,17.5301,17.486,18.0816,17.6623,17.5325,17.5076,40.2249,-0.600384,0.0935025,0.0631972,0.0460226,0.0357776,0.0924,0.0662958,0.0492203,0.038803,17.6953,17.1911,18.0685,0,0,0,-999,-999,-999,-999,-999
DES,17.6937,17.1612,17.0097,16.9478,17.681,17.2149,17.0153,16.9872,40.5664,0.00477806,0.103225,0.0694366,0.0510226,0.0396248,0.102,0.0731549,0.0542203,0.0431034,17.2261,16.6771,17.638,0,0,0,-999,-999,-999,-999,-999
DES,18.2316,17.5489,17.313,17.1768,18.1982,17.6047,17.3316,17.2234,43.5941,0.302097,0.24934,0.167113,0.121719,0.0947912,0.2464,0.175169,0.129181,0.103108,17.6154,16.9986,18.0946,0,0,0,18.2686,17.5565,17.3502,17.2086,2498257548370125568
DES,16.6081,16.1804,16.0513,15.9981,16.579,16.2029,16.0573,16.0193,43.7189,0.106235,0.239618,0.161113,0.117719,0.090944,0.2368,0.169169,0.125181,0.0991084,16.215,15.7116,16.5444,0,0,0,16.6258,16.1796,16.0587,15.9777,2498233526617387008
DES,17.1954,16.574,16.3811,16.2782,17.149,16.6129,16.4007,16.319,43.4319,0.960023,0.270785,0.181352,0.133056,0.102562,0.2676,0.190028,0.141051,0.111709,16.9345,16.0303,17.0699,0,0,0,-999,-999,-999,-999,-999
DES,17.8282,17.3125,17.1336,17.0413,17.7999,17.3407,17.147,17.0682,43.7406,0.778211,0.275646,0.185352,0.135394,0.104486,0.2724,0.194028,0.143921,0.11401,17.361,16.7879,17.7582,0,0,0,17.8762,17.3267,17.1411,17.02,2498345852897715200
DES,18.793,18.4395,18.3397,18.3007,18.7695,18.4673,18.3429,18.3169,43.5056,0.948041,0.285369,0.191592,0.139731,0.108333,0.282,0.200887,0.148791,0.11801,18.463,18.0404,18.7558,0,0,0,-999,-999,-999,-999,-999
DES,18.0115,17.5092,17.342,17.266,17.9807,17.544,17.3518,17.2958,41.2426,-0.53461,0.0945025,0.0639577,0.0466855,0.0357776,0.0934,0.0664366,0.0493503,0.0391034,17.5597,17.0076,17.9565,0,0,0,18.02,17.5292,17.3619,17.2489,2498423845208458112
DES,18.0318,17.3705,17.1358,17.0164,18.0124,17.4241,17.1614,17.0601,40.8209,-0.472633,0.0963637,0.0649577,0.0470226,0.0367776,0.0952,0.0674366,0.0502203,0.0401034,17.4379,16.8248,17.9101,0,0,0,18.0491,17.3819,17.1531,17.0393,2498480744935613568
DES,18.1572,17.4887,17.3005,17.211,18.1062,17.5355,17.3214,17.2532,40.9935,-0.45319,0.113947,0.0764366,0.0560226,0.0435484,0.1126,0.0801549,0.0592203,0.0474039,17.5786,16.9711,18.0344,0,0,0,18.2293,17.5113,17.3009,17.2106,2498439272731011328
DES,17.7449,17.2192,17.0313,16.9435,17.7163,17.2546,17.0455,16.9601,41.3972,-0.644065,0.0935025,0.0631972,0.0456855,0.0357776,0.0924,0.0662958,0.0483503,0.038803,17.2786,16.7093,17.654,0,0,0,17.7814,17.2431,17.047,16.9483,2498418175851586304
DES,17.1912,16.8155,16.7077,16.6734,17.1671,16.8346,16.7062,16.686,40.4622,-0.162929,0.0866412,0.0579577,0.0426855,0.032854,0.0856,0.0604366,0.0453503,0.035803,16.8412,16.3675,17.1517,0,0,0,17.2045,16.8197,16.7054,16.6484,2498691919887081728
DES,18.2085,17.8679,17.7737,17.7465,18.1612,17.8929,17.7782,17.7504,41.0257,-0.60515,0.113947,0.0764366,0.0560226,0.0435484,0.1126,0.0801549,0.0592203,0.0474039,17.8877,17.4171,18.2033,0,0,0,-999,-999,-999,-999,-999
DES,18.7356,17.9541,17.6933,17.5508,18.7028,18.0001,17.7144,17.5879,40.646,-1.06149,0.107086,0.0714366,0.0520226,0.0406248,0.1058,0.0751549,0.0552203,0.0441034,18.0396,17.3936,18.6104,0,0,0,-999,-999,-999,-999,-999
DES,18.2509,17.7987,17.656,17.5962,18.235,17.8294,17.6792,17.5996,41.2709,-0.638735,0.0915025,0.0611972,0.0446855,0.0347776,0.0904,0.0642958,0.0473503,0.037803,17.8372,17.3067,18.2149,0,0,0,-999,-999,-999,-999,-999
DES,17.1752,16.6745,16.5121,16.4383,17.1333,16.7035,16.5184,16.4472,40.9557,-0.0571681,0.0896412,0.0601972,0.0436855,0.033854,0.0886,0.0632958,0.0463503,0.0371034,16.7522,16.1577,17.1024,0,0,0,-999,-999,-999,-999,-999
DES,17.0695,16.6802,16.565,16.5258,17.0553,16.7103,16.5661,16.5524,40.7565,-0.115044,0.106225,0.0714366,0.0520226,0.0406248,0.105,0.0751549,0.0552203,0.0441034,16.7082,16.2288,17.0153,0,0,0,17.0904,16.6729,16.5744,16.5325,2498510706627532288
DES,17.5461,17.2589,17.1874,17.1753,17.5146,17.2745,17.201,17.1837,41.3227,-0.579884,0.0925025,0.0621972,0.0456855,0.034854,0.0914,0.0652958,0.0483503,0.0381034,17.265,16.8297,17.5269,0,0,0,17.566,17.2565,17.1866,17.1561,2498422505178644224
