survey,ASASSN1-B,ASASSN1-V,ASASSN1-r,ASASSN1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ASASSN1-B_AV,ASASSN1-V_AV,ASASSN1-r_AV,ASASSN1-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ASASSN1,19.4465,18.5706,18.2876,18.0266,18.896,18.2811,18.0212,17.9078,149.712,3.07425,0.07797435897435898,0.060590000000000005,0.04921126760563381,0.03658568738229755,0.0692,0.04943661971830987,0.036480225988700564,0.02850246305418719
ASASSN1,18.6908,17.9176,17.6773,17.4828,18.2066,17.6782,17.4683,17.3972,149.802,3.16807,0.08176923076923077,0.06359,0.05121126760563381,0.038585687382297555,0.0722,0.051436619718309866,0.038480225988700566,0.030502463054187193
ASASSN1,18.8722,18.0444,17.7814,17.5895,18.3253,17.7792,17.576,17.5006,149.341,2.6953,0.06497435897435898,0.051035,0.04140845070422536,0.030689265536723163,0.0578,0.0415774647887324,0.030610169491525424,0.024201970443349752
ASASSN1,18.0037,17.2668,17.0416,16.8905,17.5162,17.0576,16.8727,16.8317,149.48,2.84062,0.06997435897435897,0.05422,0.04421126760563381,0.03268926553672317,0.0616,0.04443661971830987,0.032610169491525426,0.026201970443349754
ASASSN1,18.9922,18.2162,17.9747,17.7735,18.4941,17.9838,17.7437,17.6734,149.371,2.80308,0.06697435897435898,0.05222,0.04240845070422536,0.031585687382297556,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
ASASSN1,19.5181,18.6322,18.3451,18.0901,18.9416,18.3472,18.0587,17.9569,149.578,2.82865,0.06697435897435898,0.052035,0.04140845070422536,0.030689265536723163,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
ASASSN1,18.0628,17.2639,17.0129,16.8095,17.5366,17.0024,16.8,16.7334,149.227,2.62666,0.06997435897435897,0.054404999999999995,0.04421126760563381,0.03268926553672317,0.062400000000000004,0.04443661971830987,0.032610169491525426,0.026201970443349754
ASASSN1,18.7108,17.8893,17.629,17.3886,18.1888,17.6285,17.37,17.2659,149.353,2.82521,0.06897435897435898,0.053219999999999996,0.04340845070422536,0.03168926553672317,0.0606,0.0435774647887324,0.031610169491525425,0.025201970443349753
ASASSN1,17.8395,17.1084,16.8857,16.6889,17.3578,16.877,16.6806,16.6229,149.654,2.89391,0.07097435897435897,0.05522,0.04440845070422536,0.03268926553672317,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
ASASSN1,18.4117,17.5169,17.226,16.9968,17.8461,17.2124,16.9867,16.884,149.572,2.97953,0.07876923076923077,0.061404999999999994,0.04921126760563381,0.03658568738229755,0.06939999999999999,0.04943661971830987,0.036480225988700564,0.029502463054187193
ASASSN1,17.827,17.0753,16.8439,16.6463,17.334,16.8383,16.6349,16.562,149.394,2.76023,0.06697435897435898,0.05222,0.04240845070422536,0.031585687382297556,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
ASASSN1,19.043,18.1701,17.8883,17.619,18.4844,17.8786,17.6131,17.4872,149.825,3.06419,0.08276923076923078,0.06459,0.05221126760563381,0.038585687382297555,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
ASASSN1,19.4506,18.5279,18.2254,17.9654,18.8379,18.2056,17.9361,17.8234,37.4241,1.70991,0.10356410256410256,0.08133,0.06501408450704227,0.04848210922787194,0.0924,0.06529577464788734,0.04835028248587571,0.038802955665024626
ASASSN1,18.9632,18.2281,18.0037,17.7649,18.4946,17.9854,17.7478,17.6708,37.5479,1.75564,0.10335897435897436,0.08033,0.06501408450704227,0.04848210922787194,0.0914,0.06529577464788734,0.04835028248587571,0.03810344827586207
