survey,ASASSN2-B,ASASSN2-V,ASASSN2-r,ASASSN2-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,ASASSN2-B_AV,ASASSN2-V_AV,ASASSN2-r_AV,ASASSN2-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
ASASSN2,19.0627,18.255,18.0003,17.8013,18.5364,17.997,17.7841,17.703,150.048,2.73283,0.07745217391304347,0.058202500000000004,0.04701971830985916,0.03448587570621469,0.0674,0.0475774647887324,0.03548022598870056,0.028201970443349753
ASASSN2,18.7852,17.9594,17.6972,17.481,18.2551,17.6895,17.4792,17.3902,150.641,2.82516,0.07445217391304347,0.05611,0.04569295774647888,0.03348587570621469,0.0646,0.04643661971830987,0.03448022598870057,0.02720197044334975
ASASSN2,19.0874,18.1841,17.8897,17.6381,18.5348,17.8823,17.6125,17.5558,150.306,2.07654,0.06136173913043478,0.045925,0.03734647887323944,0.02748587570621469,0.053,0.03771830985915493,0.028480225988700567,0.022201970443349754
ASASSN2,18.5726,17.8323,17.6057,17.433,18.0594,17.5922,17.4173,17.3568,150.635,1.59248,0.08949739130434782,0.06648,0.05469295774647888,0.03948587570621469,0.07780000000000001,0.05543661971830987,0.04048022598870057,0.03250246305418719
ASASSN2,18.2787,17.3992,17.1146,16.8266,17.6932,17.0813,16.7743,16.6385,150.719,1.94274,0.07240695652173912,0.05411,0.04401971830985916,0.031864406779661014,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
ASASSN2,18.0109,17.1417,16.8614,16.655,17.458,16.8608,16.6381,16.5559,150.15,2.23617,0.06236173913043478,0.046925,0.03801971830985916,0.027864406779661018,0.054,0.0385774647887324,0.028610169491525426,0.022901477832512316
ASASSN2,18.602,17.6915,17.3941,17.1346,18.015,17.3819,17.1183,17.0144,150.301,2.4472,0.07140695652173912,0.0532025,0.04369295774647888,0.031864406779661014,0.062400000000000004,0.04443661971830987,0.032610169491525426,0.026201970443349754
ASASSN2,19.4997,18.6418,18.3663,18.1139,18.952,18.3664,18.1047,17.9855,150.365,2.53311,0.07740695652173912,0.0572025,0.04701971830985916,0.03448587570621469,0.0664,0.0475774647887324,0.03548022598870056,0.028201970443349753
ASASSN2,18.5081,17.6644,17.3948,17.1692,17.9565,17.385,17.1685,17.0936,150.022,1.9426,0.06636173913043479,0.0500175,0.04001971830985916,0.02948587570621469,0.0578,0.0405774647887324,0.030480225988700566,0.024201970443349752
ASASSN2,18.9234,18.0749,17.8033,17.6165,18.367,17.8047,17.596,17.5125,149.848,1.9497,0.07240695652173912,0.05411,0.04401971830985916,0.031864406779661014,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
ASASSN2,18.2834,17.5326,17.3017,17.1294,17.7793,17.2898,17.1193,17.0574,150.179,2.73298,0.06740695652173914,0.0510175,0.04101971830985916,0.029864406779661016,0.0588,0.0415774647887324,0.030610169491525424,0.02450246305418719
ASASSN2,18.1189,17.3477,17.1083,16.9169,17.6,17.0931,16.9034,16.8465,149.253,2.31533,0.07440695652173912,0.0552025,0.04501971830985916,0.032864406779661015,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
ASASSN2,18.1991,17.3616,17.0946,16.8726,17.6617,17.0878,16.8699,16.7908,149.983,1.98035,0.06840695652173914,0.05111,0.04201971830985916,0.03048587570621469,0.0596,0.0425774647887324,0.031480225988700566,0.025201970443349753
ASASSN2,17.871,17.0625,16.8075,16.6002,17.3107,16.7824,16.59,16.5359,150.009,2.23265,0.07240695652173912,0.05411,0.04401971830985916,0.031864406779661014,0.0626,0.0445774647887324,0.032610169491525426,0.026201970443349754
ASASSN2,19.1471,18.2427,17.9479,17.6963,18.5754,17.9368,17.6986,17.5888,149.316,2.35865,0.07440695652173912,0.0552025,0.04501971830985916,0.032864406779661015,0.0644,0.0455774647887324,0.03361016949152543,0.02720197044334975
ASASSN2,19.2021,18.5037,18.2945,18.1152,18.7484,18.2924,18.0994,18.0606,149.307,2.31919,0.07645217391304347,0.0572025,0.04669295774647888,0.03448587570621469,0.0664,0.04743661971830987,0.03548022598870056,0.02750246305418719
ASASSN2,18.7278,18.0455,17.843,17.6518,18.2828,17.84,17.6346,17.5746,150.522,3.09821,0.08449739130434783,0.063295,0.051692957746478876,0.03748587570621469,0.0732,0.05243661971830987,0.038480225988700566,0.030502463054187193
ASASSN2,18.6334,17.8787,17.646,17.4699,18.1578,17.6427,17.4513,17.3836,149.661,2.53434,0.07140695652173912,0.05311,0.04301971830985916,0.031485875706214694,0.0616,0.0435774647887324,0.03248022598870057,0.026201970443349754
ASASSN2,19.4588,18.5131,18.2011,17.9398,18.854,18.2031,17.9249,17.8136,150.28,2.4474,0.07040695652173914,0.05311,0.04301971830985916,0.031485875706214694,0.0616,0.0435774647887324,0.03248022598870057,0.025502463054187192
