survey,KAIT3MO-B,KAIT3MO-V,KAIT3MO-R,KAIT3MO-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT3MO-B_AV,KAIT3MO-V_AV,KAIT3MO-R_AV,KAIT3MO-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT3MO,18.0461,17.2809,16.757,16.223,17.5805,16.9562,16.6804,16.5581,348.707,4.51266,0.24111538461538462,0.1858325,0.14595211267605634,0.10251923076923077,0.2156,0.15345070422535215,0.1134406779661017,0.09050738916256157
KAIT3MO,16.1055,15.394,14.931,14.4271,15.6555,15.1215,14.9014,14.8177,348.729,4.50669,0.24311538461538462,0.18692375,0.14695211267605635,0.10351923076923077,0.2174,0.15445070422535215,0.1144406779661017,0.090807881773399
KAIT3MO,16.1367,15.6047,15.2621,14.9023,15.7998,15.4388,15.3211,15.301,103.269,50.079,0.2941346153846154,0.22665375000000001,0.17748450704225352,0.12451923076923077,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT3MO,18.7149,17.9943,17.5852,17.0961,18.4365,17.8444,17.6445,17.5888,103.269,50.0769,0.2941346153846154,0.22665375000000001,0.17748450704225352,0.12451923076923077,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT3MO,17.2343,16.5838,16.1538,15.6691,16.8103,16.3374,16.1302,16.0474,103.321,50.0739,0.2898076923076923,0.22265375,0.17530704225352112,0.12251923076923077,0.25880000000000003,0.18416901408450706,0.13605084745762713,0.10840886699507389
KAIT3MO,17.7637,16.88,16.3454,15.822,17.2438,16.5645,16.3019,16.1975,103.253,50.0639,0.2941346153846154,0.22665375000000001,0.17748450704225352,0.12451923076923077,0.26280000000000003,0.18702816901408453,0.13805084745762713,0.10970935960591133
KAIT3MO,16.1691,15.6753,15.3379,14.9383,15.8295,15.4848,15.3689,15.3494,103.329,50.0611,0.2971346153846154,0.228745,0.17948450704225352,0.12627884615384616,0.2656,0.18902816901408453,0.1400508474576271,0.1114088669950739
KAIT3MO,17.1419,16.4213,15.9402,15.4591,16.7715,16.2447,16.0379,15.965,103.236,50.0537,0.2998076923076923,0.23083625000000002,0.18148450704225352,0.12727884615384616,0.2684,0.19102816901408454,0.1410508474576271,0.1124088669950739
KAIT3MO,16.1518,15.6699,15.3413,15.0054,15.8235,15.5038,15.396,15.3767,103.314,50.0484,0.2988076923076923,0.229745,0.18048450704225352,0.12651923076923077,0.2666,0.19002816901408454,0.14092090395480225,0.11170935960591133
KAIT3MO,16.6759,16.1785,15.8577,15.4803,16.3591,16.0354,15.9159,15.9067,103.21,50.0338,0.3018076923076923,0.232745,0.18248450704225352,0.12827884615384616,0.2696,0.19202816901408454,0.1420508474576271,0.11270935960591133
