survey,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,CSP-g,CSP-r,CSP-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,CSP-g_AV,CSP-r_AV,CSP-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CSP-u,GAIA_CSP-g,GAIA_CSP-r,GAIA_CSP-i,GAIA_CSP-B,GAIA_CSP-V,GAIA_CSP-o,GAIA_CSP-m,GAIA_CSP-n,GAIA_CSP-Y,GAIA_CSP-y
CSP,18.3591,17.5602,17.5602,17.5602,17.5602,17.9406,17.2467,17.0095,17.8327,17.2524,17.0118,16.945,29.1733,-0.264353,0.117317,0.09136,0.0904937,0.0913863,0.09136,0.106979,0.0739437,0.0542486,0.1048,0.0742958,0.0552203,0.0441034,2507696061125132160,19.417,17.9406,17.2589,17.0341,18.1841,17.5863,17.5863,17.5863,17.5863,16.8938,16.9418
CSP,16.1587,15.5419,15.5419,15.5419,15.5419,15.8226,15.3433,15.1983,15.744,15.3355,15.201,15.1684,21.7151,-1.27578,0.144019,0.112,0.110969,0.112031,0.112,0.130594,0.0907324,0.0666648,0.128,0.0911549,0.0679605,0.0537044,2485738474616485376,17.0071,15.8234,15.3396,15.1998,16.0188,15.5514,15.5514,15.5514,15.5514,15.0085,14.9953
CSP,16.7076,15.9441,15.9441,15.9441,15.9441,16.2927,15.6644,15.4494,16.1972,15.6533,15.4483,15.3863,21.6995,-1.27685,0.142019,0.11084,0.10985,0.11087,0.11084,0.12869,0.0895211,0.0656648,0.1262,0.0900141,0.0669605,0.0527044,2485738474616485504,17.8269,16.2958,15.659,15.4523,16.5471,15.9501,15.9501,15.9501,15.9501,15.2318,15.2454
CSP,16.8583,16.0898,16.0898,16.0898,16.0898,16.4589,15.8197,15.5825,16.3518,15.799,15.5995,15.518,7.00481,-1.19149,0.0772115,0.06024,0.0596625,0.0602575,0.06024,0.0706525,0.0491549,0.0358324,0.0692,0.0494366,0.0364802,0.0285025,2541906716884825216,17.9565,16.4585,15.8082,15.5922,16.6995,16.114,16.114,16.114,16.114,15.292,15.2559
CSP,18.1087,17.2382,17.2382,17.2382,17.2382,17.683,16.8226,16.4697,17.5464,16.8077,16.5153,16.3825,6.94925,-1.23336,0.0842115,0.0654,0.0647812,0.0654187,0.0654,0.0765563,0.0531549,0.0388324,0.075,0.0534366,0.0394802,0.0315025,2541906167129011968,19.8169,17.7042,16.8054,16.5014,17.9952,17.2626,17.2626,17.2626,17.2626,16.2961,16.3718
CSP,16.9549,16.0778,16.0778,16.0778,16.0778,16.5248,15.7503,15.4805,16.4165,15.746,15.4853,15.3859,359.578,-18.75,0.0735096,0.05708,0.0565437,0.0570963,0.05708,0.0667487,0.0463662,0.0338324,0.0654,0.0465775,0.0344802,0.0275025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.9788,16.4687,16.4687,16.4687,16.4687,16.6851,16.3191,16.1833,16.6009,16.3004,16.1913,16.1874,359.579,-18.7173,0.0782115,0.06108,0.0605437,0.0610962,0.06108,0.0707487,0.0491549,0.0358324,0.0694,0.0494366,0.0364802,0.0295025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.9493,17.0313,17.0313,17.0313,17.0313,17.4723,16.7295,16.4426,17.3278,16.7122,16.4476,16.3374,359.698,-18.713,0.0745096,0.05808,0.0575437,0.0580963,0.05808,0.0677487,0.0471549,0.0341243,0.0664,0.0474366,0.0346102,0.0275025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.5663,17.0039,17.0039,17.0039,17.0039,17.2621,16.8202,16.6783,17.1791,16.829,16.7078,16.6905,359.601,-18.7589,0.0735096,0.05708,0.0565437,0.0570963,0.05708,0.0667487,0.0463662,0.0338324,0.0654,0.0465775,0.0344802,0.0275025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.729,17.2638,17.2638,17.2638,17.2638,17.455,17.1661,17.0313,17.3748,17.1194,17.019,17.0035,359.636,-18.7677,0.0742115,0.05808,0.0575437,0.0580963,0.05808,0.0677487,0.0471549,0.0341243,0.0664,0.0474366,0.0346102,0.0275025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.2953,17.7227,17.7227,17.7227,17.7227,17.9778,17.4899,17.3084,17.8848,17.4885,17.3095,17.2741,359.667,-18.6457,0.0775096,0.06024,0.0596625,0.0602575,0.06024,0.0706525,0.0491549,0.0358324,0.0692,0.0494366,0.0364802,0.029202,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.1205,15.5606,15.5606,15.5606,15.5606,15.8079,15.386,15.2573,15.7342,15.3793,15.2565,15.2403,19.2457,0.768966,0.113615,0.0892,0.088375,0.089225,0.0892,0.104075,0.0719437,0.0522486,0.102,0.0722958,0.0532203,0.0424039,2535066551968123520,16.8642,15.7979,15.3831,15.2683,15.9656,15.5601,15.5601,15.5601,15.5601,15.1931,15.2198
CSP,17.4184,16.7555,16.7555,16.7555,16.7555,17.0546,16.5078,16.3274,16.953,16.5015,16.3296,16.2741,19.1249,0.848585,0.103913,0.08088,0.0801375,0.0809025,0.08088,0.0942675,0.0659437,0.0482486,0.0924,0.0662958,0.0492203,0.038803,2535255530529255552,18.4047,17.0658,16.5129,16.3393,17.289,16.7524,16.7524,16.7524,16.7524,16.0143,15.949
CSP,18.2774,17.4967,17.4967,17.4967,17.4967,17.8781,17.224,16.9735,17.747,17.1941,16.9873,16.9162,19.2337,0.802941,0.111317,0.08704,0.0862563,0.0870637,0.08704,0.101171,0.0699437,0.0512486,0.0992,0.0702958,0.0522203,0.0411034,2535066929925245312,19.3305,17.8735,17.2047,17.0027,18.1158,17.5105,17.5105,17.5105,17.5105,16.8855,16.9312
CSP,18.8453,18.3154,18.3154,18.3154,18.3154,18.5473,18.1672,17.9614,18.4556,18.1169,17.997,17.9757,19.1738,0.863179,0.103615,0.08088,0.0801375,0.0809025,0.08088,0.0942675,0.0651549,0.0475405,0.0924,0.0654366,0.0483503,0.038803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.4077,18.5315,18.5315,18.5315,18.5315,18.9534,18.2084,17.8667,18.8489,18.1368,17.8707,17.7631,19.1818,0.832264,0.106615,0.08304,0.0822563,0.0830638,0.08304,0.0971713,0.0669437,0.0492486,0.0952,0.0672958,0.0502203,0.039803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.9941,16.9339,16.9339,16.9339,16.9339,17.4306,16.4539,16.0797,17.2809,16.4408,16.0981,15.9454,338.555,5.62246,0.466865,0.36396,0.360619,0.364061,0.36396,0.424204,0.294352,0.214994,0.4158,0.295901,0.218881,0.174015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.9617,17.3668,17.3668,17.3668,17.3668,17.6835,17.1426,16.9145,17.5828,17.1466,16.9569,16.8991,338.552,5.5308,0.463865,0.36196,0.358619,0.362061,0.36196,0.422204,0.293352,0.213994,0.4138,0.294901,0.217881,0.173015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.1804,17.3973,17.3973,17.3973,17.3973,17.7336,17.1154,16.9004,17.6255,17.1025,16.9069,16.8233,338.527,5.62921,0.469865,0.36612,0.362737,0.366223,0.36612,0.427107,0.296352,0.216994,0.4186,0.297901,0.220881,0.175015,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.1941,17.557,17.557,17.557,17.557,17.8226,17.3476,17.1195,17.755,17.3121,17.1323,17.0704,338.571,5.51807,0.463865,0.36196,0.358619,0.362061,0.36196,0.422204,0.293352,0.213994,0.4138,0.294901,0.217881,0.173015,2706060023339382912,18.9654,17.8374,17.3195,17.1442,18.0404,17.5394,17.5394,17.5394,17.5394,16.7475,16.6859
CSP,18.0798,18.0546,18.0546,18.0546,18.0546,18.3625,17.7472,17.6063,18.192,17.7071,17.5106,17.4255,338.483,5.5312,0.480567,0.37528,0.371856,0.375384,0.37528,0.437011,0.303352,0.221702,0.4284,0.304901,0.225751,0.179315,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.1819,18.4585,18.4585,18.4585,18.4585,18.8817,18.182,17.8666,18.7013,18.1749,17.94,17.846,338.594,5.56554,0.460163,0.3588,0.3555,0.3589,0.3588,0.4183,0.290563,0.212286,0.41,0.292042,0.216011,0.171714,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.0087,15.4506,15.4506,15.4506,15.4506,15.6948,15.277,15.1483,15.6271,15.2613,15.1383,15.1256,53.8122,-25.0057,0.0675096,0.05192,0.051425,0.051935,0.05192,0.060845,0.0423662,0.0311243,0.0596,0.0425775,0.0316102,0.025202,5085056152491323648,16.7177,15.6905,15.2682,15.1433,15.8622,15.4523,15.4523,15.4523,15.4523,14.9948,14.9882
CSP,16.6238,15.8638,15.8638,15.8638,15.8638,16.2205,15.5361,15.3384,16.0967,15.5485,15.3476,15.2711,53.7642,-24.9573,0.0872115,0.0684,0.0677813,0.0684188,0.0684,0.0795562,0.0551549,0.0405405,0.078,0.0554366,0.0413503,0.0325025,5085103431491317760,17.7605,16.2128,15.5595,15.3373,16.4686,15.8634,15.8634,15.8634,15.8634,15.0453,15.0161
CSP,16.6106,15.9932,15.9932,15.9932,15.9932,16.2526,15.7805,15.6243,16.1788,15.7556,15.6159,15.6072,53.6958,-24.9664,0.0822115,0.06424,0.0636625,0.0642575,0.06424,0.0746525,0.0521549,0.0378324,0.0732,0.0524366,0.0384802,0.0305025,5085103259692629632,17.4826,16.2508,15.7574,15.6186,16.4572,15.9698,15.9698,15.9698,15.9698,15.4456,15.4343
CSP,17.5342,16.8559,16.8559,16.8559,16.8559,17.169,16.5913,16.3834,17.0782,16.5629,16.3809,16.3297,53.7971,-24.9797,0.0685096,0.05376,0.0533062,0.0537737,0.05376,0.0619413,0.0433662,0.0318324,0.0608,0.0435775,0.0324802,0.0255025,5085056461728968320,18.4844,17.1615,16.567,16.3861,17.3911,16.8351,16.8351,16.8351,16.8351,16.2174,16.2175
CSP,18.1973,17.3133,17.3133,17.3133,17.3133,17.7383,16.9992,16.6697,17.6323,16.9861,16.697,16.5641,160.159,9.14287,0.103615,0.08088,0.0801375,0.0809025,0.08088,0.0942675,0.0649437,0.0475405,0.0924,0.0652958,0.0483503,0.038803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.937,18.1046,18.1046,18.1046,18.1046,18.7283,17.691,17.5643,18.5967,17.8932,17.6154,17.5017,344.987,0.0142195,0.194827,0.15144,0.150037,0.151482,0.15144,0.176727,0.123099,0.090081,0.1732,0.123732,0.0917006,0.0726059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.63,16.0794,16.0794,16.0794,16.0794,16.3168,15.9025,15.7433,16.2461,15.8937,15.7554,15.7298,39.0295,-17.3185,0.0919135,0.07156,0.0709,0.07158,0.07156,0.08346,0.0579437,0.0425405,0.0818,0.0582958,0.0433503,0.033803,5132379098588990848,17.3632,16.3238,15.9014,15.7641,16.4937,16.0808,16.0808,16.0808,16.0808,15.4733,15.4124
CSP,19.041,18.3691,18.3691,18.3691,18.3691,18.6692,18.0788,17.7107,18.6378,18.1596,17.8236,17.7529,38.9969,-17.2499,0.0902115,0.07056,0.0699,0.07058,0.07056,0.08246,0.0571549,0.0415405,0.0808,0.0574366,0.0423503,0.033803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.2267,16.5684,16.5684,16.5684,16.5684,16.8593,16.3361,16.1424,16.7898,16.3319,16.1649,16.1237,126.826,21.6832,0.160423,0.12548,0.124325,0.125515,0.12548,0.146305,0.10131,0.0743729,0.1434,0.101873,0.0758305,0.0600049,664257275474474112,18.335,16.8826,16.3395,16.1722,17.1044,16.575,16.575,16.575,16.575,16.0533,16.0929
CSP,17.5775,16.8869,16.8869,16.8869,16.8869,17.2533,16.6589,16.4145,17.1515,16.65,16.4517,16.3809,126.722,21.655,0.163423,0.12748,0.126325,0.127515,0.12748,0.148305,0.10331,0.0756648,0.1454,0.103873,0.0769605,0.0610049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.934,17.0634,17.0634,17.0634,17.0634,17.4945,16.6665,16.3816,17.387,16.673,16.3825,16.2723,126.852,21.612,0.150721,0.11732,0.116206,0.117354,0.11732,0.137401,0.0955211,0.0696648,0.1346,0.0960141,0.0709605,0.0560049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.4247,16.9128,16.9128,16.9128,16.9128,17.1679,16.7439,16.6252,17.0936,16.7506,16.6285,16.6102,126.748,21.6441,0.155721,0.12132,0.120206,0.121354,0.12132,0.141401,0.0985211,0.0716648,0.1386,0.0990141,0.0729605,0.0580049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.1782,17.2792,17.2792,17.2792,17.2792,17.7339,16.8794,16.6006,17.6271,16.8931,16.6196,16.5175,126.79,21.6662,0.157721,0.12332,0.122206,0.123354,0.12332,0.143401,0.0995211,0.0726648,0.1406,0.100014,0.0739605,0.0590049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.3404,17.7849,17.7849,17.7849,17.7849,18.0787,17.5224,17.3673,17.9829,17.5394,17.375,17.3224,126.746,21.7012,0.164423,0.12864,0.127444,0.128676,0.12864,0.150209,0.10431,0.0763729,0.1472,0.104873,0.0778305,0.0613054,664258203187414528,19.4173,18.0901,17.5486,17.3701,18.3017,17.7848,17.7848,17.7848,17.7848,17.094,17.0916
CSP,18.0201,17.2682,17.2682,17.2682,17.2682,17.6112,16.9492,16.6805,17.5434,16.9461,16.6929,16.573,144.438,23.2279,0.123317,0.09636,0.0954938,0.0963863,0.09636,0.111979,0.0777324,0.0569567,0.1098,0.0781549,0.0580904,0.0461034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.5688,16.0004,16.0004,16.0004,16.0004,16.2523,15.7994,15.6463,16.1778,15.7961,15.664,15.6423,144.362,23.2389,0.114615,0.0902,0.089375,0.090225,0.0902,0.105075,0.0727324,0.0532486,0.103,0.0731549,0.0542203,0.0431034,644209227128547840,17.4614,16.2568,15.8007,15.67,16.4465,15.995,15.995,15.995,15.995,15.4905,15.4892
CSP,16.0581,15.4643,15.4643,15.4643,15.4643,15.7213,15.2677,15.0943,15.6436,15.2566,15.1129,15.0841,105.377,14.1362,0.274038,0.21368,0.2117,0.21374,0.21368,0.24938,0.173254,0.125913,0.2444,0.174169,0.128181,0.102108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.4846,15.843,15.843,15.843,15.843,16.1315,15.5915,15.3694,16.049,15.6029,15.394,15.3304,105.429,14.1441,0.282038,0.21984,0.217819,0.219901,0.21984,0.256284,0.178254,0.129913,0.2512,0.179169,0.132181,0.105409,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.1266,16.277,16.277,16.277,16.277,16.665,15.9456,15.6566,16.5563,15.9407,15.684,15.5744,105.423,14.1745,0.279038,0.21768,0.2157,0.21774,0.21768,0.25338,0.176254,0.128913,0.2484,0.177169,0.131181,0.104108,3353619178930752128,18.1906,16.6788,15.9485,15.6838,16.9601,16.2851,16.2851,16.2851,16.2851,15.3207,15.2875
CSP,16.955,16.3001,16.3001,16.3001,16.3001,16.5832,16.0649,15.8794,16.4841,16.0467,15.9021,15.8583,105.35,14.1207,0.270038,0.21052,0.208581,0.210579,0.21052,0.245476,0.170465,0.124913,0.2406,0.17131,0.127181,0.101108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.8649,16.268,16.268,16.268,16.268,16.5071,16.0696,15.9043,16.4302,16.0596,15.9371,15.9061,105.446,14.1789,0.28474,0.222,0.219938,0.222062,0.222,0.259188,0.180042,0.131621,0.254,0.181028,0.134051,0.106409,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.7134,16.7768,16.7768,16.7768,16.7768,17.2242,16.3452,16.0147,17.12,16.3503,16.0504,15.9245,105.39,14.1319,0.27474,0.21452,0.212581,0.214579,0.21452,0.249476,0.173254,0.126913,0.2446,0.174169,0.129181,0.102409,3353618427312735104,18.9701,17.2449,16.3506,16.0483,17.526,16.7995,16.7995,16.7995,16.7995,15.7248,15.735
CSP,17.4251,16.7856,16.7856,16.7856,16.7856,17.0529,16.5536,16.3913,16.9681,16.546,16.4095,16.3731,105.438,14.1151,0.29174,0.22716,0.225056,0.227224,0.22716,0.265091,0.184042,0.134621,0.2598,0.185028,0.137051,0.108709,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.2454,16.7433,16.7433,16.7433,16.7433,16.9389,16.5849,16.4652,16.8591,16.5728,16.4795,16.4822,105.417,14.1878,0.27574,0.21468,0.2127,0.21474,0.21468,0.25038,0.174254,0.126913,0.2454,0.175169,0.129181,0.103108,3353619247650249856,17.9685,16.9366,16.5842,16.4854,17.084,16.7375,16.7375,16.7375,16.7375,16.4786,16.4941
CSP,17.5633,17.0605,17.0605,17.0605,17.0605,17.2792,16.9084,16.7593,17.1933,16.8825,16.7826,16.7789,105.355,14.1522,0.272337,0.21268,0.2107,0.21274,0.21268,0.24838,0.172254,0.125913,0.2434,0.173169,0.128181,0.102108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.7954,17.2975,17.2975,17.2975,17.2975,17.5248,17.1066,16.9423,17.4301,17.0925,16.9494,16.9167,105.392,14.154,0.276038,0.21568,0.2137,0.21574,0.21568,0.25138,0.174254,0.127913,0.2464,0.175169,0.130181,0.103108,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,15.8373,15.1578,15.1578,15.1578,15.1578,15.4514,14.915,14.7234,15.3768,14.912,14.7304,14.6883,27.6997,21.7872,0.254635,0.19904,0.197225,0.199095,0.19904,0.231765,0.160676,0.117205,0.2272,0.161451,0.119311,0.0948079,98130661160418176,16.7655,15.4681,14.913,14.7303,15.6858,15.1601,15.1601,15.1601,15.1601,14.4937,14.4913
CSP,18.1549,17.6366,17.6366,17.6366,17.6366,17.9125,17.4424,17.2244,17.851,17.4336,17.2519,17.2051,170.954,-12.328,0.170423,0.1328,0.131562,0.132837,0.1328,0.155112,0.10731,0.0783729,0.152,0.107873,0.0798305,0.0633054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.1812,17.7401,17.7401,17.7401,17.7401,17.9484,17.5604,17.4103,17.847,17.5379,17.4605,17.4297,171.025,-12.3038,0.168423,0.13164,0.130444,0.131676,0.13164,0.153209,0.10631,0.0776648,0.1502,0.106873,0.0789605,0.0630049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.1911,18.5839,18.5839,18.5839,18.5839,18.8253,18.373,18.1854,18.7906,18.3659,18.2333,18.2055,170.991,-12.2479,0.181125,0.14112,0.1398,0.14116,0.14112,0.16492,0.11431,0.0833729,0.1616,0.114873,0.0848305,0.0673054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.9918,18.612,18.612,18.612,18.612,18.7835,18.531,18.4661,18.8062,18.5283,18.4023,18.4247,170.972,-12.3179,0.177125,0.1388,0.137563,0.138838,0.1388,0.161112,0.11231,0.082081,0.158,0.112873,0.0837006,0.0663054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.8458,18.2186,18.2186,18.2186,18.2186,18.5149,17.9429,17.8252,18.4404,17.9975,17.8518,17.7981,174.616,20.4909,0.0969135,0.07572,0.0750187,0.0757412,0.07572,0.0883637,0.0611549,0.0445405,0.0866,0.0614366,0.0453503,0.035803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.0219,15.324,15.324,15.324,15.324,15.641,15.0637,14.8315,15.5634,15.0672,14.8783,14.8189,202.515,13.4768,0.0862115,0.0674,0.0667813,0.0674187,0.0674,0.0785562,0.0541549,0.0398324,0.077,0.0544366,0.0404802,0.0325025,3740106247761888768,16.9409,15.6626,15.0697,14.8747,15.8874,15.3416,15.3416,15.3416,15.3416,14.6556,14.6453
CSP,16.7441,15.7994,15.7994,15.7994,15.7994,16.2514,15.4305,15.0817,16.1433,15.432,15.1138,14.9728,202.529,13.3712,0.0822115,0.06424,0.0636625,0.0642575,0.06424,0.0746525,0.0521549,0.0378324,0.0732,0.0524366,0.0384802,0.0305025,3740100647124531968,17.9971,16.2761,15.443,15.1078,16.5989,15.8234,15.8234,15.8234,15.8234,14.7756,14.7771
CSP,17.6126,16.9979,16.9979,16.9979,16.9979,17.2588,16.7659,16.5804,17.1786,16.7643,16.6081,16.5491,202.57,13.4637,0.0775096,0.06024,0.0596625,0.0602575,0.06024,0.0706525,0.0491549,0.0358324,0.0692,0.0494366,0.0364802,0.029202,3740106041603458304,18.3448,17.2616,16.7876,16.5992,17.4496,16.9933,16.9933,16.9933,16.9933,16.3139,16.2834
CSP,17.6917,17.2254,17.2254,17.2254,17.2254,17.4504,17.0629,16.9452,17.3658,17.0746,16.9672,16.9562,202.509,13.3733,0.0822115,0.06424,0.0636625,0.0642575,0.06424,0.0746525,0.0513662,0.0378324,0.0732,0.0515775,0.0384802,0.0305025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.87,18.1577,18.1577,18.1577,18.1577,18.4928,17.6452,17.3795,18.4358,17.6939,17.4008,17.2911,202.484,13.4596,0.0832115,0.0654,0.0647812,0.0654187,0.0654,0.0765563,0.0531549,0.0388324,0.075,0.0534366,0.0394802,0.0315025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.9163,18.0757,18.0757,18.0757,18.0757,18.4932,17.7581,17.4975,18.3489,17.7344,17.507,17.4475,202.518,13.4081,0.0852115,0.0664,0.0657812,0.0664187,0.0664,0.0775562,0.0541549,0.0395405,0.076,0.0544366,0.0403503,0.0315025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.3477,17.9385,17.9385,17.9385,17.9385,18.1047,17.7636,17.7281,18.0258,17.7823,17.7046,17.7195,202.542,13.378,0.0792115,0.06208,0.0615437,0.0620962,0.06208,0.0717488,0.0501549,0.0368324,0.0704,0.0504366,0.0374802,0.0295025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.0202,18.1876,18.1876,18.1876,18.1876,18.6223,18.0238,17.7216,18.4693,17.9441,17.7527,17.6798,202.48,13.3704,0.0765096,0.06008,0.0595437,0.0600962,0.06008,0.0697487,0.0483662,0.0358324,0.0684,0.0485775,0.0364802,0.0285025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.1911,15.6829,15.6829,15.6829,15.6829,15.9211,15.5527,15.4472,15.866,15.5779,15.4792,15.4772,239.133,20.0178,0.175125,0.1368,0.135563,0.136838,0.1368,0.159112,0.11031,0.0813729,0.156,0.110873,0.0828305,0.0653054,1204183627209018368,16.9083,15.9234,15.5873,15.4801,16.0681,15.7217,15.7217,15.7217,15.7217,15.3134,15.2918
CSP,16.8946,16.0712,16.0712,16.0712,16.0712,16.4562,15.794,15.5395,16.3668,15.7972,15.5681,15.4861,239.072,20.0257,0.174423,0.13596,0.134681,0.135999,0.13596,0.159016,0.11031,0.0803729,0.1558,0.110873,0.0818305,0.0653054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.0442,16.5395,16.5395,16.5395,16.5395,16.759,16.3962,16.2563,16.701,16.4095,16.3016,16.2834,239.072,20.0069,0.172125,0.1348,0.133563,0.134837,0.1348,0.157112,0.10831,0.0793729,0.154,0.108873,0.0808305,0.0643054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.5334,16.8123,16.8123,16.8123,16.8123,17.1383,16.5385,16.3154,17.0532,16.5557,16.3662,16.2947,239.138,20.0819,0.181125,0.14112,0.1398,0.14116,0.14112,0.16492,0.11431,0.0833729,0.1616,0.114873,0.0848305,0.0676059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.6714,17.1109,17.1109,17.1109,17.1109,17.35,16.9194,16.7663,17.2842,16.9366,16.8092,16.7825,239.181,20.0263,0.171423,0.1338,0.132562,0.133837,0.1338,0.156112,0.10831,0.0793729,0.153,0.108873,0.0808305,0.0643054,1204204139972817280,18.4262,17.3694,16.9549,16.8064,17.5396,17.1258,17.1258,17.1258,17.1258,16.7937,16.8704
CSP,18.1576,17.4429,17.4429,17.4429,17.4429,17.7967,17.1716,16.8806,17.7403,17.1884,16.9353,16.8475,239.166,20.0398,0.176125,0.1378,0.136563,0.137838,0.1378,0.160112,0.11131,0.0813729,0.157,0.111873,0.0828305,0.0656059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.1064,17.46,17.46,17.46,17.46,17.7573,17.2343,17.0234,17.6829,17.2363,17.0616,16.9948,239.083,20.1024,0.180827,0.14096,0.139681,0.140999,0.14096,0.164016,0.114099,0.0833729,0.1608,0.114732,0.0848305,0.0673054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.169,17.6204,17.6204,17.6204,17.6204,17.8751,17.4339,17.2484,17.7859,17.4445,17.3105,17.2656,239.198,20.0805,0.178125,0.13896,0.137681,0.138999,0.13896,0.162016,0.11231,0.0823729,0.1588,0.112873,0.0838305,0.0663054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.4804,17.7724,17.7724,17.7724,17.7724,18.0981,17.5129,17.3284,17.9767,17.517,17.3574,17.3199,239.13,20.0105,0.175125,0.1368,0.135563,0.136838,0.1368,0.159112,0.11031,0.0813729,0.156,0.110873,0.0828305,0.0653054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.2155,17.7135,17.7135,17.7135,17.7135,17.9755,17.5821,17.4493,17.9213,17.6116,17.5027,17.5155,239.174,20.0035,0.166423,0.12964,0.128444,0.129676,0.12964,0.151209,0.10531,0.0766648,0.1482,0.105873,0.0779605,0.0620049,1204180431753340544,19.3469,18.0152,17.6441,17.5368,18.1718,17.7978,17.7978,17.7978,17.7978,17.387,17.3662
CSP,18.7116,18.1029,18.1029,18.1029,18.1029,18.3717,17.8879,17.5756,18.3511,18.0588,17.7828,17.758,239.135,20.0049,0.169423,0.13264,0.131444,0.132676,0.13264,0.154209,0.10731,0.0783729,0.1512,0.107873,0.0798305,0.0633054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.1136,18.3967,18.3967,18.3967,18.3967,18.6707,18.189,17.8746,18.642,18.1718,17.9582,17.8825,239.101,20.0462,0.178125,0.13896,0.137681,0.138999,0.13896,0.162016,0.11231,0.0823729,0.1588,0.112873,0.0838305,0.0663054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.4384,15.7628,15.7628,15.7628,15.7628,16.0687,15.5158,15.2745,15.9902,15.5074,15.2878,15.2081,193.214,-9.81641,0.163423,0.12764,0.126444,0.127676,0.12764,0.149209,0.10331,0.0756648,0.1462,0.103873,0.0769605,0.0610049,3626689389973610496,17.2537,16.0748,15.5145,15.2939,16.2848,15.7701,15.7701,15.7701,15.7701,14.974,14.9542
