survey,CSP-B,CSP-V,CSP-o,CSP-m,CSP-n,CSP-g,CSP-r,CSP-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CSP-B_AV,CSP-V_AV,CSP-o_AV,CSP-m_AV,CSP-n_AV,CSP-g_AV,CSP-r_AV,CSP-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CSP-u,GAIA_CSP-g,GAIA_CSP-r,GAIA_CSP-i,GAIA_CSP-B,GAIA_CSP-V,GAIA_CSP-o,GAIA_CSP-m,GAIA_CSP-n,GAIA_CSP-Y,GAIA_CSP-y
CSP,16.5579,15.7574,15.7574,15.7574,15.7574,16.1387,15.4403,15.1675,16.0308,15.4207,15.1718,15.0701,327.227,0.423703,0.616587,0.48112,0.476706,0.481254,0.48112,0.560701,0.389085,0.284659,0.5496,0.391056,0.289842,0.230419,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.1083,16.3147,16.3147,16.3147,16.3147,16.702,15.9821,15.7195,16.6044,16.0015,15.7206,15.6133,80.4514,6.61864,0.7235,0.56516,0.559963,0.565318,0.56516,0.658873,0.456817,0.3342,0.6458,0.459211,0.340192,0.270522,3240959682791018496,18.1808,16.7233,16.0011,15.7338,16.9873,16.3406,16.3406,16.3406,16.3406,15.4135,15.3904
CSP,17.3138,16.7032,16.7032,16.7032,16.7032,16.9972,16.4784,16.2624,16.9296,16.5018,16.3062,16.2195,80.4017,6.69743,0.730202,0.57032,0.565081,0.570479,0.57032,0.664776,0.460817,0.3372,0.6516,0.463211,0.343192,0.272823,3240969230502592384,18.1299,17.017,16.5001,16.3202,17.2106,16.7332,16.7332,16.7332,16.7332,16.0981,16.0914
CSP,17.654,16.7832,16.7832,16.7832,16.7832,17.2223,16.4098,16.1046,17.1218,16.4133,16.1186,15.9992,80.4098,6.66862,0.727202,0.56816,0.562963,0.568318,0.56816,0.661873,0.459817,0.3362,0.6488,0.462211,0.342192,0.271823,3240968925560437248,18.9751,17.2393,16.4189,16.121,17.5249,16.8125,16.8125,16.8125,16.8125,15.7308,15.7051
CSP,18.004,17.4239,17.4239,17.4239,17.4239,17.7025,17.2368,17.0613,17.638,17.2456,17.0566,17.0077,80.4967,6.6229,0.725202,0.56616,0.560963,0.566318,0.56616,0.659873,0.457817,0.3352,0.6468,0.460211,0.341192,0.270823,3240964768032293760,18.7527,17.7086,17.243,17.0801,17.8833,17.4449,17.4449,17.4449,17.4449,16.862,16.816
CSP,18.1369,17.4992,17.4992,17.4992,17.4992,17.8287,17.2778,17.0395,17.7309,17.2845,17.0816,17.0065,80.4958,6.65082,0.726202,0.56732,0.562081,0.567479,0.56732,0.661776,0.458817,0.3352,0.6486,0.461211,0.341192,0.271522,3240965730104965632,18.9644,17.8476,17.2991,17.0937,18.059,17.5421,17.5421,17.5421,17.5421,16.8459,16.8621
CSP,18.3467,17.6306,17.6306,17.6306,17.6306,17.9674,17.3607,17.1275,17.8788,17.3633,17.1225,17.0421,80.4272,6.71772,0.737904,0.57564,0.570319,0.575801,0.57564,0.671584,0.465817,0.340908,0.6582,0.468211,0.347062,0.275823,3240969372237025280,19.2423,17.9886,17.3605,17.1335,18.2199,17.6494,17.6494,17.6494,17.6494,16.8422,16.8327
CSP,18.6793,17.6665,17.6665,17.6665,17.6665,18.1584,17.1967,16.8367,18.1044,17.2259,16.8598,16.6844,80.5072,6.71157,0.757606,0.59112,0.585675,0.591285,0.59112,0.689295,0.478606,0.349616,0.6756,0.48107,0.355932,0.283123,3240966589098205184,20.1451,18.2173,17.2319,16.8601,18.5367,17.7208,17.7208,17.7208,17.7208,16.3876,16.3744
CSP,18.6164,17.9853,17.9853,17.9853,17.9853,18.3171,17.7343,17.5234,18.2182,17.7839,17.5661,17.4988,80.4266,6.61632,0.7135,0.55684,0.551725,0.556995,0.55684,0.649065,0.450028,0.329492,0.6362,0.452352,0.335322,0.266522,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.9258,18.0939,18.0939,18.0939,18.0939,18.4976,17.7361,17.4755,18.3997,17.7428,17.46,17.3394,80.4102,6.63893,0.738904,0.57664,0.571319,0.576801,0.57664,0.672584,0.466606,0.340908,0.6592,0.46907,0.347062,0.275823,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.7743,18.0391,18.0391,18.0391,18.0391,18.3775,17.7661,17.5085,18.3175,17.7839,17.5441,17.4581,80.3961,6.67913,0.730202,0.57032,0.565081,0.570479,0.57032,0.664776,0.460817,0.3372,0.6516,0.463211,0.343192,0.272823,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.6569,17.9577,17.9577,17.9577,17.9577,18.291,17.7125,17.4894,18.2381,17.7617,17.5449,17.4548,80.5128,6.70764,0.757606,0.59112,0.585675,0.591285,0.59112,0.689295,0.478606,0.349616,0.6756,0.48107,0.355932,0.283123,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.7041,18.1423,18.1423,18.1423,18.1423,18.4588,17.9727,17.7365,18.4164,18.0204,17.8563,17.7909,80.4055,6.70174,0.730904,0.57032,0.565081,0.570479,0.57032,0.664776,0.461817,0.3372,0.6516,0.464211,0.343192,0.272823,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.8476,18.2801,18.2801,18.2801,18.2801,18.5177,18.0358,17.8584,18.4182,18.0149,17.8522,17.787,80.4919,6.64279,0.726202,0.56732,0.562081,0.567479,0.56732,0.661776,0.458817,0.3352,0.6486,0.461211,0.341192,0.271522,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,15.9506,15.205,15.205,15.205,15.205,15.5551,14.8998,14.6575,15.4761,14.8979,14.6779,14.6113,129.585,17.6303,0.107913,0.08404,0.0832563,0.0840638,0.08404,0.0981713,0.0679437,0.0502486,0.0962,0.0682958,0.0512203,0.0401034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.1573,16.5965,16.5965,16.5965,16.5965,16.8511,16.4086,16.2413,16.7631,16.4038,16.2565,16.2213,129.565,17.5863,0.104615,0.08188,0.0811375,0.0819025,0.08188,0.0952675,0.0659437,0.0485405,0.0934,0.0662958,0.0493503,0.0391034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.2564,17.6487,17.6487,17.6487,17.6487,17.9008,17.4804,17.3263,17.8288,17.4683,17.3363,17.3259,129.553,17.6032,0.105615,0.08204,0.0812563,0.0820638,0.08204,0.0961712,0.0669437,0.0485405,0.0942,0.0672958,0.0493503,0.0391034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.5347,17.8064,17.8064,17.8064,17.8064,18.1732,17.5131,17.2515,18.0264,17.4554,17.2494,17.1797,129.55,17.6455,0.108615,0.08504,0.0842563,0.0850637,0.08504,0.0991713,0.0689437,0.0502486,0.0972,0.0692958,0.0512203,0.040803,659274284480428800,19.5528,18.1505,17.4774,17.2553,18.3961,17.7961,17.7961,17.7961,17.7961,16.9924,16.9499
CSP,18.4944,17.8571,17.8571,17.8571,17.8571,18.1333,17.6764,17.5273,18.0571,17.6461,17.5074,17.4713,129.605,17.5738,0.104913,0.08188,0.0811375,0.0819025,0.08188,0.0952675,0.0659437,0.0485405,0.0934,0.0662958,0.0493503,0.0391034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.1217,17.5421,17.5421,17.5421,17.5421,17.8018,17.3116,17.0844,17.7312,17.321,17.1334,17.0654,191.574,11.9661,0.0959135,0.07472,0.0740187,0.0747412,0.07472,0.0873637,0.0609437,0.0445405,0.0856,0.0612958,0.0453503,0.035803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.4836,16.7174,16.7174,16.7174,16.7174,17.0535,16.442,16.2544,16.9777,16.4928,16.3055,16.2395,191.659,11.9582,0.0922115,0.07172,0.0710188,0.0717413,0.07172,0.0843637,0.0581549,0.0425405,0.0826,0.0584366,0.0433503,0.0345025,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.9483,16.2812,16.2812,16.2812,16.2812,16.5892,16.0705,15.9123,16.512,16.096,15.9612,15.9343,191.667,11.8864,0.0929135,0.07256,0.0719,0.07258,0.07256,0.08446,0.0589437,0.0425405,0.0828,0.0592958,0.0433503,0.034803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,15.9323,15.2368,15.2368,15.2368,15.2368,15.5587,15.0021,14.8034,15.4852,15.0112,14.8422,14.7932,224.147,9.35101,0.144721,0.113,0.111969,0.113031,0.113,0.131594,0.0915211,0.0666648,0.129,0.0920141,0.0679605,0.0537044,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,19.0833,18.1815,18.1815,18.1815,18.1815,18.6978,17.9192,17.5887,18.6088,17.9878,17.6974,17.5076,224.168,9.34903,0.144019,0.11216,0.111088,0.112193,0.11216,0.131497,0.0907324,0.0666648,0.1288,0.0911549,0.0679605,0.0537044,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.5257,16.8969,16.8969,16.8969,16.8969,17.2,16.6982,16.4984,17.1097,16.697,16.553,16.5008,224.219,9.37957,0.136019,0.10584,0.10485,0.10587,0.10584,0.12369,0.0857324,0.0629567,0.1212,0.0861549,0.0640904,0.0507044,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.7096,16.1958,16.1958,16.1958,16.1958,16.4415,16.0431,15.9073,16.3743,16.046,15.9358,15.9164,224.237,9.31972,0.133317,0.10384,0.10285,0.10387,0.10384,0.12169,0.0845211,0.0619567,0.1192,0.0850141,0.0630904,0.0497044,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.7367,16.0615,16.0615,16.0615,16.0615,16.3594,15.8227,15.6513,16.2724,15.8198,15.6448,15.5954,139.055,-16.3512,0.177125,0.13896,0.137681,0.138999,0.13896,0.162016,0.11231,0.0823729,0.1588,0.112873,0.0838305,0.0663054,5682920307377299456,17.6477,16.3625,15.8162,15.6474,16.5824,16.0575,16.0575,16.0575,16.0575,15.4078,15.4027
CSP,17.4537,16.868,16.868,16.868,16.868,17.1211,16.6825,16.5213,17.0444,16.6503,16.5286,16.5003,139.055,-16.3552,0.177125,0.13896,0.137681,0.138999,0.13896,0.162016,0.11231,0.0823729,0.1588,0.112873,0.0838305,0.0663054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.0261,15.5319,15.5319,15.5319,15.5319,15.7399,15.3895,15.2962,15.6669,15.3787,15.2845,15.2882,139.068,-16.3659,0.167423,0.13064,0.129444,0.130676,0.13064,0.152209,0.105521,0.0773729,0.1492,0.106014,0.0788305,0.0623054,5682920096923609344,16.7086,15.7337,15.3728,15.2837,15.883,15.5187,15.5187,15.5187,15.5187,15.1616,15.1522
CSP,17.3339,16.6341,16.6341,16.6341,16.6341,16.9361,16.3548,16.1774,16.8529,16.3563,16.1785,16.1306,139.071,-16.3423,0.177125,0.13896,0.137681,0.138999,0.13896,0.162016,0.11231,0.0823729,0.1588,0.112873,0.0838305,0.0663054,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.2042,17.3065,17.3065,17.3065,17.3065,17.6982,16.8905,16.6056,17.6346,16.8751,16.595,16.4871,139.025,-16.3328,0.186827,0.14612,0.1448,0.14616,0.14612,0.16992,0.118099,0.0863729,0.1666,0.118732,0.0878305,0.0696059,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.4797,16.5905,16.5905,16.5905,16.5905,17.0409,16.1847,15.8886,16.935,16.1768,15.9016,15.7946,139.079,-16.2945,0.185125,0.14428,0.142919,0.144321,0.14428,0.168824,0.117099,0.0853729,0.1654,0.117732,0.0868305,0.0693054,5682924976006556288,18.7886,17.0436,16.1748,15.8983,17.3259,16.603,16.603,16.603,16.603,15.6205,15.6391
CSP,16.4259,15.7268,15.7268,15.7268,15.7268,16.0622,15.4693,15.2574,15.9641,15.4698,15.2815,15.222,37.7315,-2.91993,0.106615,0.08304,0.0822563,0.0830638,0.08304,0.0971713,0.0669437,0.0492486,0.0952,0.0672958,0.0502203,0.039803,2496207234062095616,17.3938,16.058,15.4674,15.2819,16.2895,15.7309,15.7309,15.7309,15.7309,15.1924,15.2537
CSP,16.7763,16.1987,16.1987,16.1987,16.1987,16.4601,16.0233,15.8763,16.3942,16.0232,15.8948,15.8624,224.911,16.7187,0.126317,0.09852,0.0976125,0.0985475,0.09852,0.114882,0.0797324,0.0582486,0.1126,0.0801549,0.0592203,0.0474039,1187248223267370240,17.5427,16.4628,16.0266,15.8916,16.6424,16.2152,16.2152,16.2152,16.2152,15.7333,15.7276
CSP,16.2711,15.4172,15.4172,15.4172,15.4172,15.8291,15.0296,14.7386,15.7451,15.0484,14.7963,14.7089,184.373,16.4022,0.110615,0.0862,0.085375,0.086225,0.0862,0.101075,0.0699437,0.0512486,0.099,0.0702958,0.0522203,0.0411034,3946339788357836544,17.5692,15.8678,15.0469,14.7966,16.1343,15.458,15.458,15.458,15.458,14.494,14.4757
CSP,18.6706,18.0272,18.0272,18.0272,18.0272,18.2918,17.8055,17.5864,18.2381,17.8208,17.6525,17.5912,184.333,16.4081,0.117317,0.09136,0.0904937,0.0913863,0.09136,0.106979,0.0739437,0.0542486,0.1048,0.0742958,0.0552203,0.0441034,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.9894,18.2463,18.2463,18.2463,18.2463,18.577,17.8553,17.5845,18.5186,17.9068,17.6998,17.5794,181.02,20.4662,0.101615,0.07972,0.0790187,0.0797412,0.07972,0.0923637,0.0639437,0.0465405,0.0906,0.0642958,0.0473503,0.037803,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.064,17.4349,17.4349,17.4349,17.4349,17.7148,17.3,17.1084,17.6685,17.2794,17.123,17.1186,192.424,-11.1142,0.163423,0.12764,0.126444,0.127676,0.12764,0.149209,0.10331,0.0756648,0.1462,0.103873,0.0769605,0.0610049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.8547,16.2291,16.2291,16.2291,16.2291,16.5032,15.9833,15.7724,16.469,16.0132,15.8469,15.7825,192.395,-11.0841,0.164423,0.12764,0.126444,0.127676,0.12764,0.149209,0.10331,0.0756648,0.1462,0.103873,0.0769605,0.0610049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.2256,16.6986,16.6986,16.6986,16.6986,16.9469,16.5233,16.3783,16.9142,16.5596,16.4216,16.3937,192.408,-11.101,0.163423,0.12764,0.126444,0.127676,0.12764,0.149209,0.10331,0.0756648,0.1462,0.103873,0.0769605,0.0610049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,18.4285,17.9438,17.9438,17.9438,17.9438,18.1513,17.7695,17.6742,18.1754,17.8007,17.6884,17.6638,192.457,-11.0873,0.164423,0.12764,0.126444,0.127676,0.12764,0.149209,0.103521,0.0756648,0.1462,0.104014,0.0769605,0.0610049,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,15.657,15.1192,15.1192,15.1192,15.1192,15.3494,14.9622,14.8243,15.3233,14.9613,14.836,14.8146,77.9266,5.197,0.406356,0.31736,0.314431,0.317449,0.31736,0.370166,0.256986,0.18787,0.3628,0.258324,0.191271,0.151813,3238928506857109120,16.3883,15.3519,14.9628,14.839,15.5092,15.1236,15.1236,15.1236,15.1236,14.6961,14.6898
CSP,16.8551,16.0273,16.0273,16.0273,16.0273,16.4231,15.6964,15.4195,16.3435,15.6897,15.4286,15.3307,77.9537,5.24329,0.403356,0.31436,0.311431,0.314449,0.31436,0.367166,0.254986,0.186162,0.3598,0.256324,0.189401,0.150512,3238929812527148800,18.0031,16.4362,15.6824,15.4355,16.704,16.0439,16.0439,16.0439,16.0439,15.1411,15.1418
CSP,16.7256,16.0491,16.0491,16.0491,16.0491,16.3694,15.8383,15.6274,16.3038,15.8288,15.6354,15.5923,77.9332,5.25395,0.403356,0.3152,0.312312,0.315287,0.3152,0.367262,0.254986,0.186162,0.36,0.256324,0.189401,0.150512,3238930087405057792,17.5977,16.3784,15.8318,15.6507,16.5903,16.069,16.069,16.069,16.069,15.4982,15.524
CSP,16.8654,16.1718,16.1718,16.1718,16.1718,16.4877,15.93,15.7374,16.4097,15.9247,15.7293,15.6815,77.9867,5.25697,0.402356,0.3142,0.311312,0.314287,0.3142,0.366262,0.253986,0.18587,0.359,0.255324,0.189271,0.150512,3238929949966092032,17.8787,16.4958,15.9262,15.7379,16.728,16.1803,16.1803,16.1803,16.1803,15.434,15.3965
CSP,17.4913,16.5517,16.5517,16.5517,16.5517,17.0282,16.1463,15.8107,16.9125,16.1281,15.8307,15.7035,77.8965,5.22545,0.404058,0.3152,0.312312,0.315287,0.3152,0.367262,0.254986,0.186162,0.36,0.256324,0.189401,0.150813,3238929537649701376,18.8942,17.045,16.1343,15.8216,17.3447,16.5933,16.5933,16.5933,16.5933,15.506,15.5195
CSP,17.3318,16.7626,16.7626,16.7626,16.7626,17.022,16.5916,16.4243,16.9845,16.5826,16.4365,16.4118,77.9805,5.1725,0.405356,0.31636,0.313431,0.316449,0.31636,0.369166,0.255986,0.187162,0.3618,0.257324,0.190401,0.151512,3238925242681958016,18.1619,17.0216,16.5949,16.4425,17.1964,16.7712,16.7712,16.7712,16.7712,16.0677,15.9831
CSP,17.8426,17.2707,17.2707,17.2707,17.2707,17.5158,17.0956,16.9293,17.4461,17.0891,16.9282,16.9065,77.9954,5.22467,0.403058,0.31436,0.311431,0.314449,0.31436,0.367166,0.254197,0.18587,0.3598,0.255465,0.189271,0.150512,3238929022253162368,18.6183,17.5129,17.0925,16.9377,17.6952,17.2729,17.2729,17.2729,17.2729,16.7351,16.7203
CSP,18.014,17.2572,17.2572,17.2572,17.2572,17.5907,16.9675,16.7434,17.5047,16.9642,16.7402,16.6631,77.8974,5.16543,0.404058,0.31536,0.312431,0.315449,0.31536,0.368166,0.254986,0.18687,0.3608,0.256324,0.190271,0.150813,3238922493902911104,19.0427,17.619,16.9754,16.748,17.8659,17.2714,17.2714,17.2714,17.2714,16.5108,16.5337
CSP,17.9548,17.3284,17.3284,17.3284,17.3284,17.6447,17.092,16.9024,17.6,17.1305,16.9329,16.8549,77.9738,5.188,0.406356,0.31736,0.314431,0.317449,0.31736,0.370166,0.256986,0.18787,0.3628,0.258324,0.191271,0.151813,3238928369418147712,18.9387,17.728,17.1507,16.9762,17.9315,17.4032,17.4032,17.4032,17.4032,16.3644,16.1857
CSP,18.9771,17.898,17.898,17.898,17.898,18.4201,17.4757,17.1137,18.2668,17.4445,17.1325,17.0006,77.9525,5.17899,0.405356,0.31636,0.313431,0.316449,0.31636,0.369166,0.255986,0.187162,0.3618,0.257324,0.190401,0.151512,3238928266338939520,20.0619,18.4224,17.4487,17.1098,18.7409,17.9268,17.9268,17.9268,17.9268,16.557,16.4755
CSP,18.5458,18.0179,18.0179,18.0179,18.0179,18.345,17.7735,17.4906,18.2852,17.7979,17.618,17.5542,77.9723,5.23289,0.403356,0.31436,0.311431,0.314449,0.31436,0.367166,0.254986,0.186162,0.3598,0.256324,0.189401,0.150512,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,16.915,16.0412,16.0412,16.0412,16.0412,16.4638,15.6832,15.4175,16.3503,15.676,15.4252,15.33,47.2443,-7.07821,0.251337,0.19604,0.194225,0.196095,0.19604,0.228765,0.158465,0.116205,0.2242,0.15931,0.118311,0.0938079,5179904251748987392,18.379,16.489,15.6804,15.4253,16.7724,16.0749,16.0749,16.0749,16.0749,15.1215,15.1254
CSP,17.7749,17.2408,17.2408,17.2408,17.2408,17.4944,17.0327,16.8613,17.4233,17.026,16.8893,16.857,47.2159,-7.08269,0.253635,0.19804,0.196225,0.198095,0.19804,0.230765,0.160465,0.117205,0.2262,0.16131,0.119311,0.0948079,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
CSP,17.7722,17.1558,17.1558,17.1558,17.1558,17.468,16.8936,16.6674,17.3697,16.8881,16.6822,16.6277,45.3439,-0.503214,0.41976,0.32768,0.324669,0.327771,0.32768,0.381974,0.264986,0.19387,0.3744,0.266324,0.197271,0.156813,5188069328176246784,18.77,17.485,16.8986,16.685,17.7059,17.1631,17.1631,17.1631,17.1631,16.2831,16.2297
CSP,16.1158,15.5446,15.5446,15.5446,15.5446,15.8018,15.3845,15.2243,15.7263,15.3583,15.2271,15.212,29.201,-0.168876,0.115615,0.0902,0.089375,0.090225,0.0902,0.105075,0.0729437,0.0532486,0.103,0.0732958,0.0542203,0.0431034,2507697645968471680,16.85,15.8076,15.3683,15.2361,15.9861,15.5527,15.5527,15.5527,15.5527,15.0557,15.0318
CSP,16.9418,16.2833,16.2833,16.2833,16.2833,16.5893,16.0637,15.8953,16.4974,16.0501,15.8932,15.8543,29.1691,-0.263526,0.117317,0.09136,0.0904937,0.0913863,0.09136,0.106979,0.0739437,0.0542486,0.1048,0.0742958,0.0552203,0.0441034,2507696065420510976,17.8109,16.5901,16.0579,15.8941,16.811,16.2872,16.2872,16.2872,16.2872,15.6193,15.5691
