survey,SDSS-g,SDSS-r,SDSS-i,SDSS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SDSS-g_AV,SDSS-r_AV,SDSS-i_AV,SDSS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,GAIA_SDSS-G,GAIA_SDSS-R,GAIA_SDSS-I,GAIA_SDSS-Z,GAIA_SDSS-g,GAIA_SDSS-r,GAIA_SDSS-i,GAIA_SDSS-z,SOURCEID
SDSS,18.2411,17.2741,16.9697,16.8043,18.1098,17.2868,16.9806,16.8544,308.508,-0.00223898,0.412903,0.283761,0.210701,0.158172,0.398473,0.282183,0.209011,0.166414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.553,16.8832,16.6633,16.5433,17.479,16.8878,16.6623,16.5718,308.509,0.663634,0.328923,0.226946,0.167983,0.126135,0.317453,0.225606,0.166661,0.132611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.3773,17.6777,17.4005,17.2521,18.2773,17.6662,17.4135,17.3026,308.509,-0.527301,0.579864,0.399203,0.296192,0.22224,0.559699,0.396915,0.293842,0.233719,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,16.9206,16.3138,16.1308,16.0246,16.8151,16.308,16.1213,16.0584,308.509,-0.0977857,0.418901,0.288699,0.213701,0.160172,0.404286,0.287042,0.212011,0.168414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.9395,18.2611,17.9973,17.8572,18.8568,18.2733,18.0109,17.9014,308.51,0.271644,0.385909,0.265761,0.196814,0.147166,0.372404,0.264183,0.195271,0.155113,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.6748,17.0814,16.8961,16.8043,17.5875,17.0776,16.8947,16.8329,308.51,-0.0271254,0.416903,0.286699,0.212701,0.159179,0.402473,0.285042,0.211011,0.167714,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.5922,18.0664,17.8844,17.7882,18.5374,18.0697,17.8768,17.8279,308.51,0.673408,0.328923,0.226946,0.167983,0.126135,0.317453,0.225606,0.166661,0.132611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.9058,17.299,17.0873,16.9785,17.831,17.3021,17.098,17.0127,308.51,1.12715,0.314926,0.217008,0.16104,0.120135,0.304011,0.215746,0.159791,0.126611,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.6245,17.0366,16.825,16.7306,17.5354,17.0254,16.8211,16.753,308.511,0.27874,0.386909,0.266761,0.197814,0.14816,0.373404,0.265183,0.196271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,17.9609,17.061,16.7469,16.5623,17.8628,17.0496,16.7442,16.6107,308.511,-0.0230465,0.412903,0.283761,0.210701,0.158172,0.398473,0.282183,0.209011,0.166414,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.3098,17.8302,17.6498,17.5772,18.2482,17.8401,17.6657,17.6196,308.511,0.284295,0.386909,0.266761,0.197814,0.14816,0.373404,0.265183,0.196271,0.155813,-999,-999,-999,-999,-999,-999,-999,-999,-999
SDSS,18.0492,17.4727,17.2218,17.0853,17.9617,17.4707,17.232,17.1303,308.512,1.19502,0.317925,0.219008,0.16204,0.121135,0.306825,0.217746,0.160791,0.127611,-999,-999,-999,-999,-999,-999,-999,-999,-999
