survey,KAIT3-B,KAIT3-V,KAIT3-R,KAIT3-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,KAIT3-B_AV,KAIT3-V_AV,KAIT3-R_AV,KAIT3-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
KAIT3,17.8528,17.0556,16.5556,16.0875,17.2681,16.6452,16.4731,16.436,171.262,-9.82007,0.14573076923076922,0.1123725,0.08824225352112676,0.061759615384615385,0.1308,0.09301408450704227,0.06896045197740114,0.054704433497536946
KAIT3,18.5046,17.7155,17.2204,16.6947,18.0039,17.4134,17.1462,17.0505,195.766,50.6186,0.06336538461538462,0.04900375,0.03853239436619718,0.027,0.056799999999999996,0.0405774647887324,0.029610169491525423,0.024201970443349752
KAIT3,16.8517,16.1976,15.7831,15.311,16.4158,15.9336,15.7301,15.6499,6.91189,-1.1546,0.07903846153846154,0.0602775,0.047709859154929576,0.03375961538461539,0.0702,0.050436619718309865,0.037480225988700565,0.029502463054187193
KAIT3,18.2499,17.4872,17.0079,16.5077,17.7432,17.1768,16.9479,16.892,6.92397,-1.18264,0.08103846153846155,0.06236875,0.04870985915492958,0.03475961538461539,0.073,0.051436619718309866,0.038480225988700566,0.030502463054187193
