survey,Foundation-g,Foundation-r,Foundation-i,Foundation-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,Foundation-g_AV,Foundation-r_AV,Foundation-i_AV,Foundation-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
Foundation,18.021499633789066,17.663700103759766,17.519500732421875,17.50349998474121,18.01499938964844,17.655000686645508,17.521699905395508,17.549999237060547,37.2455563,-3.54806494,0.0992,0.07029577464788733,0.05222033898305085,0.04110344827586207,0.09946125,0.07029577464788733,0.05222033898305085,0.04110344827586207
Foundation,18.56450080871582,18.18280029296875,18.0039005279541,17.97909927368164,18.56170082092285,18.20359992980957,18.015100479125977,17.97369956970215,37.18177046,-3.45407585,0.0924,0.06629577464788734,0.04835028248587571,0.038802955665024626,0.09264750000000001,0.06629577464788734,0.04835028248587571,0.038802955665024626
Foundation,17.410900115966793,17.105100631713867,16.98940086364746,16.964099884033207,17.42289924621582,17.107999801635742,16.988100051879886,16.957399368286133,37.23519703,-3.4634985,0.0934,0.06629577464788734,0.04935028248587571,0.03910344827586207,0.09364750000000001,0.06629577464788734,0.04935028248587571,0.03910344827586207
Foundation,18.49040031433105,17.938400268554688,17.669099807739258,17.590900421142578,18.495899200439453,17.912200927734375,17.650299072265625,17.55419921875,37.31404929999999,-3.62419141,0.0894,0.06343661971830987,0.04735028248587571,0.03710344827586207,0.0896475,0.06343661971830987,0.04735028248587571,0.03710344827586207
Foundation,18.0625,17.556499481201172,17.323799133300778,17.251399993896484,18.04450035095215,17.555500030517578,17.334600448608402,17.25160026550293,37.04337001,-3.59303385,0.1048,0.07429577464788734,0.05522033898305085,0.04410344827586207,0.10508875,0.07429577464788734,0.05522033898305085,0.04410344827586207
Foundation,18.61199951171875,18.248899459838867,18.078399658203125,18.03809928894043,18.58930015563965,18.24880027770996,18.07740020751953,18.047399520874023,37.0842999,-3.60947533,0.102,0.07229577464788733,0.05322033898305085,0.04240394088669951,0.10227499999999999,0.07229577464788733,0.05322033898305085,0.04240394088669951
Foundation,17.726499557495114,17.434499740600586,17.352100372314453,17.33690071105957,17.71299934387207,17.438600540161133,17.351499557495114,17.35689926147461,37.11207749,-3.72262884,0.09620000000000001,0.06829577464788734,0.050350282485875704,0.04010344827586207,0.09646125,0.06829577464788734,0.050350282485875704,0.04010344827586207
Foundation,18.563499450683594,18.28709983825684,18.164899826049805,18.145299911499023,18.562599182128906,18.27330017089844,18.168500900268555,18.152299880981445,37.16722302,-3.75551347,0.0924,0.06529577464788734,0.04835028248587571,0.038802955665024626,0.09264750000000001,0.06529577464788734,0.04835028248587571,0.038802955665024626
Foundation,18.53860092163086,17.990800857543945,17.78510093688965,17.7052001953125,18.56480026245117,18.00309944152832,17.776899337768555,17.71150016784668,37.2261381,-3.67380408,0.0944,0.06729577464788734,0.050220338983050845,0.03980295566502463,0.09464750000000001,0.06729577464788734,0.050220338983050845,0.03980295566502463
Foundation,18.01609992980957,17.466299057006836,17.20400047302246,17.102699279785153,18.00309944152832,17.47089958190918,17.21969985961914,17.12660026550293,37.25419819,-3.70386876,0.0856,0.06129577464788734,0.045350282485875706,0.03580295566502463,0.08583375,0.06129577464788734,0.045350282485875706,0.03580295566502463
Foundation,18.38330078125,18.076000213623047,17.94099998474121,17.93429946899414,18.38719940185547,18.07559967041016,17.947599411010742,17.92690086364746,37.32920838,-3.82647351,0.0952,0.06829577464788734,0.050220338983050845,0.04010344827586207,0.09546125,0.06829577464788734,0.050220338983050845,0.04010344827586207
Foundation,18.859899520874023,18.622499465942386,18.542400360107425,18.53219985961914,18.855600357055664,18.6289005279541,18.52869987487793,18.516599655151367,37.36740279,-3.71206861,0.0846,0.06029577464788734,0.044350282485875706,0.03580295566502463,0.08483375,0.06029577464788734,0.044350282485875706,0.03580295566502463
Foundation,18.63050079345703,18.042699813842773,17.786699295043945,17.69700050354004,18.617599487304688,18.036800384521484,17.781600952148438,17.702600479125977,37.35840521,-3.88679199,0.0944,0.06729577464788734,0.050220338983050845,0.03980295566502463,0.09464750000000001,0.06729577464788734,0.050220338983050845,0.03980295566502463
Foundation,18.439899444580078,18.100500106811523,17.941200256347656,17.901199340820312,18.377899169921875,18.086299896240234,17.903400421142578,17.906299591064453,37.33221636,-3.89418031,0.0952,0.06829577464788734,0.050220338983050845,0.04010344827586207,0.09546125,0.06829577464788734,0.050220338983050845,0.04010344827586207
Foundation,18.47909927368164,18.003599166870114,17.791400909423828,17.716999053955078,18.48780059814453,17.986900329589844,17.78580093383789,17.716699600219727,37.36976288,-3.90371151,0.0952,0.06829577464788734,0.050220338983050845,0.04010344827586207,0.09546125,0.06829577464788734,0.050220338983050845,0.04010344827586207
Foundation,18.932899475097656,18.230100631713867,17.934099197387695,17.824600219726562,18.940399169921875,18.234699249267575,17.93560028076172,17.83340072631836,37.35298089,-3.93575898,0.0952,0.06729577464788734,0.050220338983050845,0.03980295566502463,0.09546125,0.06729577464788734,0.050220338983050845,0.03980295566502463
