survey,SWIFT-B,SWIFT-V,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SWIFT-B_AV,SWIFT-V_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
swift,15.6851,15.1838,15.3364,15.0239,14.9096,14.9053,136.961,3.38637,0.12255769230769231,0.09328375,0.1078,0.0771549295774648,0.05709039548022599,0.0454039408866995
swift,17.5016,17.065,17.2152,16.942,16.8379,16.8447,136.979,3.39807,0.12555769230769231,0.09539249999999999,0.1106,0.0791549295774648,0.058220338983050846,0.0464039408866995
swift,16.4591,15.8561,16.0421,15.6531,15.5237,15.4988,136.888,3.35888,0.11371794871794873,0.08706625000000001,0.1002,0.07129577464788733,0.05322033898305085,0.04210344827586207
swift,17.0581,16.2215,16.5099,15.8922,15.6832,15.6196,136.888,3.36692,0.11471794871794873,0.087175,0.10099999999999999,0.0721549295774648,0.05322033898305085,0.04210344827586207
swift,17.1223,16.3153,16.596,16.0098,15.8071,15.7433,136.892,3.37092,0.11471794871794873,0.087175,0.10099999999999999,0.0721549295774648,0.05322033898305085,0.04210344827586207
swift,17.6035,16.9132,17.1492,16.6641,16.4703,16.4306,136.957,3.37716,0.12255769230769231,0.09328375,0.1078,0.0771549295774648,0.05709039548022599,0.0454039408866995
swift,17.7673,17.0175,17.2678,16.7167,16.4778,16.392,136.92,3.37029,0.11755769230769231,0.08928375,0.1038,0.07329577464788734,0.05422033898305085,0.04310344827586207
swift,16.2849,15.3959,15.7157,15.1135,14.8752,14.7761,138.77,29.7293,0.09303846153846154,0.07174,0.0828,0.058436619718309865,0.043350282485875705,0.03480295566502463
swift,16.7209,15.8506,16.1671,15.4857,15.2384,15.1561,138.675,29.7069,0.09087820512820513,0.06874,0.07980000000000001,0.05643661971830987,0.042350282485875704,0.03350246305418719
swift,16.4166,15.7587,15.9429,15.5203,15.3738,15.3511,138.736,29.7691,0.09303846153846154,0.07174,0.0828,0.058436619718309865,0.043350282485875705,0.03480295566502463
swift,16.6066,16.085,16.2384,15.9023,15.7647,15.7363,138.723,29.7646,0.09303846153846154,0.07174,0.0828,0.058436619718309865,0.043350282485875705,0.03480295566502463
swift,17.1866,16.5048,16.728,16.2778,16.0725,16.0052,138.699,29.7536,0.09287820512820513,0.07074,0.08180000000000001,0.058436619718309865,0.043350282485875705,0.034502463054187194
swift,17.9062,17.0274,17.327,16.6933,16.4547,16.372,138.751,29.785,0.09287820512820513,0.07074,0.08180000000000001,0.058295774647887336,0.043350282485875705,0.03380295566502463
swift,16.8343,16.2166,16.4131,15.9937,15.8347,15.7755,220.668,-17.2216,0.36283333333333334,0.27685125,0.3204,0.22774647887323948,0.16866101694915256,0.1339113300492611
swift,17.3076,16.5702,16.8105,16.2749,16.0693,16.0013,220.614,-17.2727,0.36583333333333334,0.27985125,0.3234,0.22960563380281696,0.17053107344632767,0.1349113300492611
swift,17.7473,16.7756,17.157,16.418,16.1184,15.9895,220.539,-17.2171,0.36383333333333334,0.27785125,0.3214,0.22860563380281695,0.16953107344632767,0.13461083743842364
swift,17.751,17.1559,17.1993,16.7835,16.6072,16.5382,220.642,-17.2347,0.36383333333333334,0.27785125,0.3214,0.22860563380281695,0.16953107344632767,0.13461083743842364
swift,18.2455,17.4777,17.7855,17.195,16.9674,16.8803,220.576,-17.3026,0.36967307692307694,0.28196,0.32620000000000005,0.2324647887323944,0.17166101694915253,0.1369113300492611
swift,18.075,17.4472,17.6792,17.2531,17.0962,17.0371,220.646,-17.214,0.36383333333333334,0.27785125,0.3214,0.22860563380281695,0.16953107344632767,0.13461083743842364
swift,16.425,15.5636,15.8702,15.2435,14.9955,14.8958,220.547,-17.2327,0.36783333333333335,0.28096,0.32520000000000004,0.23160563380281696,0.17153107344632768,0.1359113300492611
swift,16.8937,16.0513,16.3589,15.7564,15.5223,15.4225,220.628,-17.2826,0.36667307692307693,0.27985125,0.3234,0.23060563380281696,0.17053107344632767,0.13561083743842364
swift,17.3356,16.8555,16.9654,16.6269,16.4958,16.4572,257.619,26.4251,0.12055769230769231,0.09217499999999999,0.106,0.07529577464788734,0.05622033898305085,0.04440394088669951
swift,16.8891,16.2517,16.4153,16.0078,15.8512,15.8159,257.603,26.4293,0.12155769230769231,0.09228375,0.1068,0.0761549295774648,0.05622033898305085,0.04510344827586207
swift,15.8609,15.2582,15.4318,15.0454,14.9121,14.8911,257.589,26.4482,0.12455769230769231,0.09528375,0.10980000000000001,0.0781549295774648,0.05809039548022599,0.04610344827586207
swift,17.6747,17.1101,17.2474,16.8541,16.706,16.6675,257.614,26.398,0.11955769230769231,0.09128375,0.1058,0.07515492957746481,0.05522033898305085,0.04410344827586207
swift,17.0806,16.4953,16.6315,16.2257,16.0542,16.0077,257.61,26.3791,0.11955769230769231,0.09128375,0.1058,0.07515492957746481,0.05522033898305085,0.04410344827586207
swift,17.09,16.308,16.5433,15.9966,15.7845,15.7028,257.655,26.417,0.11971794871794872,0.09128375,0.1058,0.07529577464788734,0.05622033898305085,0.04440394088669951
swift,16.839,16.1693,16.3634,15.8925,15.7171,15.6684,257.656,26.3858,0.11955769230769231,0.09117499999999999,0.105,0.07515492957746481,0.05522033898305085,0.04410344827586207
swift,16.1526,15.3332,15.6047,14.9926,14.7694,14.7034,136.54,19.3296,0.1600769230769231,0.12204499999999999,0.1414,0.10087323943661973,0.07483050847457627,0.059004926108374385
swift,16.7698,16.0155,16.2859,15.8283,15.657,15.628,136.562,19.3114,0.1680769230769231,0.12815375,0.1482,0.10587323943661973,0.07796045197740113,0.06230541871921182
