survey,CFA4P1-B,CFA4P1-V,CFA4P1-r,CFA4P1-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA4P1-B_AV,CFA4P1-V_AV,CFA4P1-r_AV,CFA4P1-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA4P1-B,GAIA_CFA4P1-V,GAIA_CFA4P1-r,GAIA_CFA4P1-i
CFA4,16.2109,15.3837,15.076,14.8104,15.7041,15.083,14.8304,14.7059,245.593,-1.5592,0.420981,0.322122,0.263479,0.193661,0.3742,0.266183,0.197141,0.156813,4406922700974305920,16.0986,15.3795,15.0582,14.8069
CFA4,18.1025,17.504,17.3373,17.16,17.7406,17.3252,17.1666,17.0991,245.584,-1.50021,0.408981,0.312834,0.255755,0.187949,0.3628,0.258324,0.191271,0.151813,-999,-999,-999,-999,-999
CFA4,16.7635,16.085,15.8596,15.6519,16.3451,15.8868,15.6911,15.5916,245.584,-1.57779,0.425747,0.326122,0.266479,0.195661,0.3782,0.269183,0.199141,0.158113,-999,-999,-999,-999,-999
CFA4,18.1787,17.5644,17.3892,17.1784,17.7926,17.3597,17.1879,17.1075,245.579,-1.54009,0.416981,0.31993,0.260755,0.191949,0.3706,0.263324,0.195271,0.154813,-999,-999,-999,-999,-999
CFA4,17.1427,16.3304,16.0216,15.7703,16.6418,16.0244,15.7843,15.6815,245.578,-1.44758,0.406215,0.311738,0.254031,0.186949,0.361,0.256465,0.190271,0.150813,4406928576489820928,17.0417,16.322,16.014,15.7727
CFA4,17.1325,16.4355,16.194,15.9952,16.6826,16.1899,15.996,15.9169,245.578,-1.59247,0.431747,0.330219,0.270203,0.198661,0.383,0.273042,0.202141,0.160113,4406922219937966848,17.0185,16.4166,16.1744,15.9889
CFA4,18.3792,17.7732,17.5862,17.4271,17.9965,17.6094,17.4406,17.3694,245.577,-1.48661,0.409981,0.313834,0.255755,0.187949,0.3638,0.258324,0.191271,0.151813,-999,-999,-999,-999,-999
CFA4,18.3539,17.7628,17.5598,17.3707,17.9922,17.5678,17.397,17.3211,245.576,-1.45086,0.406215,0.311738,0.254031,0.186949,0.361,0.256465,0.190271,0.150813,-999,-999,-999,-999,-999
CFA4,17.1685,16.2539,15.8982,15.6478,16.6073,15.914,15.6508,15.5373,245.573,-1.60194,0.431747,0.330219,0.270203,0.198661,0.383,0.273042,0.202141,0.160113,-999,-999,-999,-999,-999
CFA4,18.8156,18.1195,17.8459,17.6474,18.3471,17.8501,17.6457,17.5517,245.568,-1.53469,0.416981,0.31993,0.260755,0.191949,0.3706,0.263324,0.195271,0.154813,-999,-999,-999,-999,-999
