survey,CFA3K-B,CFA3K-V,CFA3K-r,CFA3K-i,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3K-B_AV,CFA3K-V_AV,CFA3K-r_AV,CFA3K-i_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV,SOURCEID,GAIA_CFA3K-U,GAIA_CFA3K-B,GAIA_CFA3K-V,GAIA_CFA3K-r,GAIA_CFA3K-i
CFA3K,17.091,16.5491,16.4268,16.3368,16.6908,16.3798,16.2913,16.2751,139.011,-16.3621,0.175958,0.13695,0.110017,0.0805424,0.156413,0.110873,0.0828305,0.0653054,-999,-999,-999,-999,-999,-999
CFA3K,16.8865,16.4231,16.2983,16.1828,16.5554,16.2589,16.1641,16.1591,139.004,-16.3236,0.183958,0.14328,0.115017,0.0835424,0.16404,0.115873,0.0858305,0.0683054,5682923571552333824,17.489,16.7898,16.4079,16.2607,16.1635
CFA3K,16.39,15.4936,15.1283,14.8308,15.8304,15.1256,14.8399,14.7233,138.975,-16.2852,0.185724,0.14428,0.116017,0.0845424,0.16504,0.116873,0.0868305,0.0686059,-999,-999,-999,-999,-999,-999
CFA3K,16.6901,16.2939,16.1898,16.0821,16.4513,16.2133,16.0996,16.0821,205.284,67.7159,0.0708301,0.055145,0.0442563,0.0324633,0.0635788,0.0445775,0.0334802,0.026202,-999,-999,-999,-999,-999,-999
CFA3K,16.7728,16.0131,15.7345,15.5151,16.358,15.7593,15.5387,15.4606,78.021,5.26563,0.402215,0.31255,0.25229,0.182932,0.357963,0.254324,0.188271,0.149512,3238930705880327424,17.9257,16.7832,16.0694,15.7544,15.541
CFA3K,16.2841,15.6239,15.4106,15.2187,15.8942,15.4272,15.2353,15.1895,78.0036,5.25663,0.402215,0.31255,0.25229,0.182932,0.357963,0.254324,0.188271,0.149512,3238929228411582592,17.1494,16.2455,15.6604,15.4182,15.2397
CFA3K,16.4761,15.9706,15.8317,15.6891,16.1781,15.8335,15.7044,15.6799,77.9868,5.19093,0.406215,0.315715,0.25429,0.184932,0.361776,0.256324,0.190271,0.150813,3238928335058405632,17.2141,16.4232,15.9996,15.8346,15.7042
CFA3K,16.6671,16.0199,15.8103,15.6194,16.3038,15.8288,15.6354,15.5923,77.9332,5.25395,0.405215,0.31555,0.25429,0.184316,0.360963,0.256324,0.189401,0.150512,3238930087405057792,17.5407,16.6406,16.0663,15.829,15.6507
CFA3K,16.419,15.6722,15.4429,15.247,16.0004,15.4632,15.2864,15.2337,77.91,5.27502,0.404215,0.31455,0.25329,0.183932,0.359963,0.255324,0.189271,0.150512,3239117829015755264,17.5382,16.3961,15.7364,15.4652,15.2892
CFA3K,16.8871,16.0214,15.6833,15.4136,16.3503,15.676,15.4252,15.33,47.2443,-7.07821,0.252554,0.19626,0.158025,0.115006,0.224805,0.15931,0.118311,0.0938079,5179904251748987392,18.321,16.8456,16.063,15.6764,15.4219
CFA3K,17.8316,17.2324,17.0458,16.9027,17.4233,17.026,16.8893,16.857,47.2159,-7.08269,0.254788,0.19826,0.160025,0.116006,0.226805,0.16131,0.119311,0.0948079,-999,-999,-999,-999,-999,-999
CFA3K,15.9261,15.3245,15.1298,14.9208,15.5596,15.1245,14.9349,14.8715,36.9986,28.1121,0.466045,0.362365,0.292546,0.212164,0.414914,0.294901,0.218011,0.173714,130668680560490880,16.6751,15.8711,15.3603,15.1287,14.9287
CFA3K,16.8751,16.1315,15.8508,15.5468,16.4124,15.8352,15.5629,15.4378,36.9373,28.1874,0.477045,0.370695,0.298546,0.21678,0.424541,0.300901,0.222881,0.177015,130673383549142528,17.6696,16.7954,16.146,15.8345,15.5526
CFA3K,17.1351,16.4475,16.2238,16.0348,16.673,16.2011,16.0023,15.9461,36.9367,28.1191,0.470045,0.36553,0.294546,0.21378,0.418727,0.296901,0.219881,0.174714,130669539553678080,18.0313,17.0388,16.4679,16.2086,16.0103
CFA3K,16.2301,15.5405,15.3308,15.1438,15.7485,15.2937,15.1175,15.0558,36.879,28.0932,0.475811,0.369695,0.298546,0.216395,0.423541,0.300901,0.222751,0.177015,-999,-999,-999,-999,-999,-999
CFA3K,16.7951,16.0255,15.7498,15.5018,16.3026,15.7413,15.5118,15.4068,36.8314,28.1821,0.445513,0.346705,0.279042,0.202548,0.396659,0.281183,0.208141,0.165414,-999,-999,-999,-999,-999,-999
CFA3K,16.022,15.2999,15.0688,14.8844,15.555,15.0536,14.893,14.8495,21.8082,19.102,0.193724,0.15061,0.121769,0.0881582,0.172668,0.122732,0.0907006,0.0716059,2786188341962955264,17.0916,15.9537,15.316,15.0501,14.8912
CFA3K,15.769,15.1789,14.9888,14.8374,15.3615,14.974,14.8449,14.8135,21.7453,19.1265,0.193724,0.15061,0.121769,0.0881582,0.172668,0.122732,0.0907006,0.0719064,2786200402231296640,16.4394,15.6916,15.2242,15.0217,14.8367
CFA3K,17.401,16.8179,16.6608,16.5064,16.9869,16.6216,16.4804,16.44,21.6966,19.0968,0.197724,0.15361,0.123769,0.0901582,0.175668,0.124732,0.0927006,0.0736059,2786199921194748160,18.0842,17.2832,16.7969,16.6171,16.483
CFA3K,16.866,16.1819,15.9588,15.7934,16.386,15.9482,15.7724,15.7164,21.6935,19.0339,0.20449,0.15894,0.128521,0.0931582,0.182295,0.129592,0.0957006,0.0759064,2786186417817570176,17.7569,16.7553,16.1777,15.9411,15.7603
CFA3K,16.8077,16.2956,16.1438,15.9662,16.4666,16.1307,16.0101,15.9984,21.7322,-1.25137,0.143426,0.111125,0.0902648,0.0653107,0.127344,0.0910141,0.0670904,0.0537044,2485739986444972800,17.4971,16.7468,16.2981,16.1327,16.022
CFA3K,16.1607,15.5436,15.3518,15.1552,15.744,15.3355,15.201,15.1684,21.7151,-1.27578,0.14466,0.112125,0.0905127,0.0659266,0.128344,0.0911549,0.0679605,0.0537044,2485738474616485376,16.9593,16.0686,15.548,15.3367,15.1972
CFA3K,16.7097,15.9316,15.6688,15.4152,16.1972,15.6533,15.4483,15.3863,21.6995,-1.27685,0.14266,0.11096,0.0892648,0.0649266,0.12653,0.0900141,0.0669605,0.0527044,2485738474616485504,17.7938,16.6108,15.9442,15.6551,15.4495
CFA3K,16.8264,16.0657,15.8196,15.5775,16.3518,15.799,15.5995,15.518,7.00481,-1.19149,0.0775962,0.06031,0.0490085,0.0354633,0.0693925,0.0494366,0.0364802,0.0285025,2541906716884825216,17.9104,16.7615,16.1068,15.8039,15.5895
CFA3K,16.9067,16.4474,16.2996,16.1689,16.6084,16.268,16.1862,16.1498,6.96206,-1.13407,0.0748301,0.058145,0.0470085,0.0338475,0.0665788,0.0474366,0.0346102,0.0275025,2543409268243322880,17.5117,16.8562,16.4679,16.3001,16.1851
CFA3K,16.85,16.1737,15.9363,15.7312,16.4158,15.9336,15.7301,15.6499,6.91189,-1.15459,0.0795962,0.06131,0.0500085,0.0364633,0.0703925,0.0504366,0.0374802,0.0295025,2541907953835405952,17.7439,16.7796,16.1898,15.9328,15.7337
CFA3K,17.0433,16.527,16.4002,16.2745,16.6878,16.3556,16.2342,16.2058,6.91048,-1.28662,0.0855962,0.066475,0.0540085,0.0390791,0.0762063,0.0544366,0.0403503,0.031803,2541904346062874624,17.6329,16.9396,16.5338,16.3699,16.2433
CFA3K,16.1771,15.4414,15.209,15.0092,15.7209,15.1844,14.9997,14.934,6.88001,-1.20809,0.0845962,0.065475,0.0530085,0.0384633,0.0752063,0.0534366,0.0394802,0.0315025,2541907335360386944,17.148,16.0871,15.4588,15.1834,14.9907
CFA3K,16.8264,16.0173,15.6833,15.3838,16.3512,15.6847,15.3901,15.2669,359.68,-18.7055,0.0765962,0.05931,0.0480085,0.0344633,0.0683925,0.0484366,0.0354802,0.0285025,-999,-999,-999,-999,-999,-999
CFA3K,17.7094,17.2603,17.1533,17.0118,17.3748,17.1194,17.019,17.0035,359.636,-18.7677,0.0745962,0.058145,0.0470085,0.0338475,0.0665788,0.0474366,0.0346102,0.0275025,-999,-999,-999,-999,-999,-999
CFA3K,17.9654,17.2803,17.0513,16.8728,17.5231,17.0408,16.8714,16.8201,359.634,-18.742,0.0755962,0.059145,0.0472563,0.0344633,0.0675788,0.0475775,0.0354802,0.028202,-999,-999,-999,-999,-999,-999
CFA3K,17.7724,17.4113,17.2583,17.1708,17.5403,17.2543,17.1484,17.1417,359.582,-18.6276,0.0805962,0.06231,0.0502563,0.0364633,0.0713925,0.0505775,0.0374802,0.0295025,-999,-999,-999,-999,-999,-999
CFA3K,18.4654,17.7553,17.5473,17.3678,18.0451,17.5466,17.3615,17.3108,359.561,-18.6423,0.0805962,0.06231,0.0502563,0.0364633,0.0713925,0.0505775,0.0374802,0.0295025,-999,-999,-999,-999,-999,-999
CFA3K,16.0856,15.5072,15.3605,15.2493,15.7342,15.3793,15.2565,15.2403,19.2457,0.768966,0.114128,0.0893,0.0717606,0.0516949,0.102275,0.0722958,0.0532203,0.0424039,2535066551968123520,16.801,16.0092,15.5575,15.3816,15.2692
CFA3K,17.6069,17.1418,16.9642,16.7347,17.3935,17.0622,16.9282,16.8793,338.592,5.6365,0.465045,0.361365,0.291546,0.211164,0.413914,0.293901,0.217011,0.172714,-999,-999,-999,-999,-999,-999
CFA3K,17.9359,16.8848,16.4992,16.1347,17.2752,16.5095,16.1651,16.0112,338.539,5.57532,0.473811,0.36853,0.296546,0.21578,0.421727,0.298901,0.221881,0.176015,-999,-999,-999,-999,-999,-999
CFA3K,18.0929,17.3168,17.0832,16.8857,17.6255,17.1025,16.9069,16.8233,338.527,5.62921,0.472045,0.36653,0.295546,0.21478,0.419727,0.297901,0.220881,0.175015,-999,-999,-999,-999,-999,-999
CFA3K,18.2759,17.3028,16.9562,16.5417,17.7367,16.985,16.6038,16.42,338.523,5.64685,0.473045,0.36853,0.296546,0.21478,0.421727,0.298901,0.220881,0.176015,-999,-999,-999,-999,-999,-999
CFA3K,17.9989,17.4638,17.3022,17.0927,17.6933,17.3016,17.1354,17.0768,338.508,5.63336,0.479811,0.37286,0.300546,0.218395,0.427355,0.302901,0.224751,0.178015,-999,-999,-999,-999,-999,-999
CFA3K,17.5919,16.6158,16.2632,15.9347,17.0123,16.2719,15.9603,15.8112,338.484,5.61512,0.483811,0.37686,0.303546,0.220395,0.431355,0.305901,0.226751,0.180015,-999,-999,-999,-999,-999,-999
CFA3K,17.8859,17.3068,17.1122,16.8717,17.602,17.1254,16.9214,16.8293,338.475,5.64429,0.484811,0.377025,0.304299,0.220395,0.432169,0.306761,0.226751,0.180015,-999,-999,-999,-999,-999,-999
CFA3K,16.7809,15.9798,15.7242,15.4957,16.2734,15.711,15.4929,15.4116,338.444,5.56196,0.497577,0.38719,0.312299,0.226395,0.442983,0.314761,0.232751,0.185315,-999,-999,-999,-999,-999,-999
CFA3K,16.085,15.3929,15.1792,14.9825,15.659,15.1839,14.9897,14.9289,53.8247,-25.0256,0.0648301,0.04998,0.0402563,0.0294633,0.057765,0.0405775,0.0304802,0.024202,5085055327857603072,17.0604,16.0308,15.4358,15.1893,14.9867
CFA3K,15.983,15.4253,15.2652,15.1419,15.6271,15.2613,15.1383,15.1256,53.8122,-25.0057,0.0678301,0.05198,0.0422563,0.0308475,0.059765,0.0425775,0.0316102,0.025202,5085056152491323648,16.676,15.9063,15.4498,15.2659,15.1443
CFA3K,16.5803,15.8219,15.5545,15.3322,16.0967,15.5485,15.3476,15.2711,53.7642,-24.9573,0.0875962,0.068475,0.0550085,0.0400791,0.0782063,0.0554366,0.0413503,0.0325025,5085103431491317760,17.7406,16.5342,15.8568,15.5549,15.333
CFA3K,16.6047,15.9553,15.7802,15.6432,16.1788,15.7556,15.6159,15.6072,53.6958,-24.9664,0.0825962,0.06431,0.0520085,0.0374633,0.0733925,0.0524366,0.0384802,0.0305025,5085103259692629632,17.4573,16.5094,15.9665,15.7542,15.6185
CFA3K,16.8926,16.2969,16.1292,15.9928,16.5009,16.1251,15.9875,15.9645,53.6915,-24.9427,0.0903622,0.070475,0.0570085,0.0410791,0.0802063,0.0574366,0.0423503,0.033803,5085104393563994624,17.6469,16.8117,16.311,16.1267,15.9885
CFA3K,16.3103,15.8106,15.6655,15.5425,15.9863,15.671,15.5467,15.541,53.6886,-24.9132,0.0933622,0.07264,0.0580085,0.0420791,0.08302,0.0584366,0.0433503,0.034803,5085104702801586560,16.9179,16.233,15.8323,15.6705,15.5542
CFA3K,15.687,15.0609,14.8684,14.7151,15.258,14.846,14.6804,14.6508,53.6679,-25.0109,0.0815962,0.06331,0.0510085,0.0370791,0.0723925,0.0514366,0.0383503,0.0305025,5085101541705714176,16.4201,15.5814,15.0546,14.8409,14.6842
CFA3K,17.7165,17.1667,16.9916,16.8342,17.3366,16.969,16.8089,16.7783,160.136,9.18589,0.111894,0.087135,0.0697606,0.0506949,0.0994613,0.0702958,0.0522203,0.0411034,-999,-999,-999,-999,-999,-999
CFA3K,17.2678,16.871,16.7589,16.6058,17.0046,16.7423,16.6231,16.5954,160.133,9.22097,0.112128,0.087135,0.0697606,0.0506949,0.0994613,0.0702958,0.0522203,0.0411034,-999,-999,-999,-999,-999,-999
CFA3K,16.2162,15.3434,14.983,14.6752,15.6923,14.9842,14.6895,14.5661,160.089,9.22268,0.115128,0.0893,0.0717606,0.0526949,0.102275,0.0722958,0.0542203,0.0431034,-999,-999,-999,-999,-999,-999
CFA3K,17.1248,16.5424,16.382,16.2222,16.7478,16.3712,16.2357,16.2079,160.078,9.22793,0.116128,0.0903,0.0727606,0.0526949,0.103275,0.0732958,0.0542203,0.0431034,-999,-999,-999,-999,-999,-999
CFA3K,15.7518,15.1504,14.9776,14.8192,15.333,14.9431,14.7975,14.7589,160.07,9.12205,0.108128,0.084135,0.0677606,0.0490791,0.0964612,0.0682958,0.0503503,0.0401034,-999,-999,-999,-999,-999,-999
CFA3K,17.5538,16.9234,16.742,16.5919,17.1221,16.7122,16.5722,16.5453,160.059,9.13061,0.108128,0.084135,0.0677606,0.0490791,0.0964612,0.0682958,0.0503503,0.0401034,-999,-999,-999,-999,-999,-999
CFA3K,17.3771,16.6277,16.3926,16.1568,16.9225,16.3807,16.1592,16.0846,160.027,9.17412,0.110128,0.085135,0.0687606,0.0496949,0.0974612,0.0692958,0.0512203,0.0411034,-999,-999,-999,-999,-999,-999
CFA3K,16.1133,15.6236,15.4941,15.3877,15.8042,15.5138,15.401,15.3823,43.6244,42.6727,0.335385,0.26057,0.210282,0.152469,0.298198,0.211887,0.156791,0.12431,336609441826865536,16.7532,16.0512,15.6666,15.5096,15.3958
CFA3K,15.7766,15.1733,14.9895,14.8564,15.3866,15.0019,14.8687,14.834,43.5786,42.6527,0.324385,0.25224,0.203282,0.147469,0.28857,0.204887,0.151791,0.12031,336609098229491072,16.5776,15.7059,15.2045,15.0001,14.8632
CFA3K,15.8169,15.1569,14.9601,14.7874,15.379,14.9469,14.7907,14.7339,43.5528,42.6583,0.327385,0.254405,0.205282,0.148853,0.291384,0.206887,0.152921,0.12201,336609201308706432,16.6396,15.7199,15.1676,14.9427,14.7769
CFA3K,15.8346,15.3359,15.2054,15.0937,15.5027,15.1983,15.1017,15.0965,43.5185,42.7136,0.329385,0.256405,0.206282,0.149853,0.293384,0.207887,0.153921,0.12231,336610300820058752,16.5155,15.7559,15.3505,15.1946,15.099
CFA3K,16.2738,15.6665,15.4787,15.3264,15.9001,15.4918,15.3374,15.3094,39.0861,-17.3297,0.0983622,0.076805,0.0617606,0.0450791,0.0878338,0.0622958,0.0463503,0.036803,5132378342674746368,17.1766,16.2588,15.7212,15.5055,15.343
CFA3K,16.6268,16.063,15.8994,15.7737,16.2461,15.8937,15.7554,15.7298,39.0295,-17.3185,0.0923622,0.07164,0.0577606,0.0420791,0.08202,0.0582958,0.0433503,0.033803,5132379098588990848,17.2915,16.5357,16.0797,15.8977,15.7604
